Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Arkansas St. (Sun Belt),13,8-5,90,70,441,125,9.6
Michigan (Big Ten),13,10-3,88,66,497,121,9.3
Clemson (ACC),15,14-1,108,44,551,130,8.7
Texas A&M (SEC),13,8-5,82,58,437,111,8.5
Miami (FL) (ACC),13,9-4,77,62,409,108,8.3
Boston College (ACC),13,7-6,81,50,523,106,8.2
Virginia Tech (ACC),14,10-4,74,78,421,113,8.1
Penn St. (Big Ten),14,11-3,79,68,442,113,8.1
UCF (AAC),13,6-7,72,62,415,103,7.9
Illinois (Big Ten),12,3-9,75,40,320,95,7.9
Alabama (SEC),15,14-1,91,54,615,118,7.9
Utah (Pac-12),13,9-4,89,24,389,101,7.8
Minnesota (Big Ten),13,9-4,85,32,407,101,7.8
Tennessee (SEC),13,9-4,86,28,371,100,7.7
Houston (AAC),13,9-4,83,34,429,100,7.7
Texas (Big 12),12,5-7,81,20,427,91,7.6
Baylor (Big 12),13,7-6,82,32,391,98,7.5
Kansas (Big 12),12,2-10,84,12,340,90,7.5
Indiana (Big Ten),13,6-7,81,32,354,97,7.5
Ohio (MAC),14,8-6,82,44,442,104,7.4
Temple (AAC),14,10-4,84,38,432,103,7.4
Florida St. (ACC),13,10-3,81,28,431,95,7.3
Tulane (AAC),12,4-8,72,30,327,87,7.3
Louisville (ACC),13,9-4,79,30,391,94,7.2
Southern Miss. (C-USA),13,7-6,66,56,410,94,7.2
Wake Forest (ACC),13,7-6,74,40,419,94,7.2
Arizona St. (Pac-12),12,5-7,70,30,324,85,7.1
Troy (Sun Belt),13,10-3,77,30,358,92,7.1
South Alabama (Sun Belt),13,6-7,77,28,317,91,7.0
Ball St. (MAC),12,4-8,58,52,295,84,7.0
Oklahoma St. (Big 12),13,10-3,74,32,339,90,6.9
Pittsburgh (ACC),13,8-5,70,40,411,90,6.9
NC State (ACC),13,7-6,68,42,388,89,6.8
Maryland (Big Ten),13,6-7,70,34,368,87,6.7
Ohio St. (Big Ten),13,11-2,63,48,357,87,6.7
Iowa St. (Big 12),12,3-9,63,34,234,80,6.7
TCU (Big 12),13,6-7,72,28,408,86,6.6
Duke (ACC),12,4-8,62,34,317,79,6.6
Hawaii (Mountain West),14,7-7,83,18,328,92,6.6
Washington (Pac-12),14,12-2,72,36,346,90,6.4
LSU (SEC),12,8-4,51,52,341,77,6.4
Auburn (SEC),13,8-5,69,28,313,83,6.4
Colorado St. (Mountain West),13,7-6,63,38,324,82,6.3
Louisiana Tech (C-USA),14,9-5,70,36,406,88,6.3
Tulsa (AAC),13,10-3,68,26,348,81,6.2
Mississippi St. (SEC),13,6-7,67,28,277,81,6.2
Western Ky. (C-USA),14,11-3,62,50,312,87,6.2
Boise St. (Mountain West),13,10-3,64,32,296,80,6.2
Florida (SEC),13,9-4,55,50,341,80,6.2
NIU (MAC),12,5-7,60,26,281,73,6.1
New Mexico St. (Sun Belt),12,3-9,47,52,237,73,6.1
Old Dominion (C-USA),13,10-3,65,28,341,79,6.1
South Fla. (AAC),13,11-2,70,18,305,79,6.1
Louisiana (Sun Belt),13,6-7,63,32,347,79,6.1
SMU (AAC),12,5-7,62,20,343,72,6.0
Missouri (SEC),12,4-8,62,20,267,72,6.0
Northwestern (Big Ten),13,7-6,63,28,328,77,5.9
UTSA (C-USA),13,6-7,60,34,301,77,5.9
Cincinnati (AAC),12,4-8,54,34,225,71,5.9
App State (Sun Belt),13,10-3,64,24,286,76,5.8
Rice (C-USA),12,3-9,57,26,253,70,5.8
Massachusetts (FBS Independent),12,2-10,46,48,280,70,5.8
Marshall (C-USA),12,3-9,46,48,254,70,5.8
San Jose St. (Mountain West),12,4-8,57,24,253,69,5.8
Buffalo (MAC),12,2-10,55,28,266,69,5.8
Kent St. (MAC),12,3-9,56,26,258,69,5.8
Memphis (AAC),13,8-5,67,14,274,74,5.7
Toledo (MAC),13,9-4,61,26,294,74,5.7
