Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Vanderbilt (SEC),13,6-7,49,14,9,9,32,0.653
UCF (AAC),13,6-7,58,17,10,14,41,0.707
Michigan (Big Ten),13,10-3,28,7,7,6,20,0.714
Florida (SEC),13,9-4,39,14,4,10,28,0.718
Ohio St. (Big Ten),13,11-2,40,8,7,14,29,0.725
Rutgers (Big Ten),12,2-10,55,23,10,7,40,0.727
UConn (AAC),12,3-9,48,15,11,9,35,0.729
App State (Sun Belt),13,10-3,37,11,8,8,27,0.730
Northwestern (Big Ten),13,7-6,56,18,9,14,41,0.732
BYU (FBS Independent),13,9-4,35,13,7,6,26,0.743
Auburn (SEC),13,8-5,43,7,11,14,32,0.744
Colorado (Pac-12),14,10-4,47,12,12,11,35,0.745
Oklahoma St. (Big 12),13,10-3,48,16,12,8,36,0.750
Texas A&M (SEC),13,8-5,56,14,12,16,42,0.750
Iowa (Big Ten),13,8-5,36,8,10,9,27,0.750
South Carolina (SEC),13,6-7,53,15,16,9,40,0.755
NIU (MAC),12,5-7,49,16,14,7,37,0.755
Temple (AAC),14,10-4,34,11,8,7,26,0.765
Washington (Pac-12),14,12-2,43,13,11,9,33,0.767
Ga. Southern (Sun Belt),12,5-7,48,17,8,12,37,0.771
Kansas (Big 12),12,2-10,62,21,16,11,48,0.774
Georgia St. (Sun Belt),12,3-9,54,23,7,12,42,0.778
Kansas St. (Big 12),13,9-4,36,9,13,6,28,0.778
Wake Forest (ACC),13,7-6,45,18,9,8,35,0.778
Oklahoma (Big 12),13,11-2,46,11,11,14,36,0.783
Cincinnati (AAC),12,4-8,51,15,8,17,40,0.784
Maryland (Big Ten),13,6-7,56,25,12,7,44,0.786
Miami (OH) (MAC),13,6-7,42,17,6,10,33,0.786
Central Mich. (MAC),13,6-7,52,9,24,8,41,0.788
Wisconsin (Big Ten),14,11-3,38,9,8,13,30,0.789
Clemson (ACC),15,14-1,38,14,8,8,30,0.789
UTSA (C-USA),13,6-7,48,18,10,10,38,0.792
Miami (FL) (ACC),13,9-4,39,7,13,11,31,0.795
North Carolina (ACC),13,8-5,54,25,6,12,43,0.796
Middle Tenn. (C-USA),13,8-5,69,32,16,7,55,0.797
Stanford (Pac-12),13,10-3,45,14,12,10,36,0.800
Boston College (ACC),13,7-6,35,7,16,5,28,0.800
Troy (Sun Belt),13,10-3,35,8,12,8,28,0.800
Florida St. (ACC),13,10-3,45,15,11,10,36,0.800
Marshall (C-USA),12,3-9,55,24,12,8,44,0.800
Georgia Tech (ACC),13,9-4,46,19,9,9,37,0.804
Arkansas St. (Sun Belt),13,8-5,41,8,11,14,33,0.805
Mississippi St. (SEC),13,6-7,57,11,23,12,46,0.807
Kentucky (SEC),13,7-6,47,19,8,11,38,0.809
Notre Dame (FBS Independent),12,4-8,42,19,7,8,34,0.810
Duke (ACC),12,4-8,37,13,8,9,30,0.811
Syracuse (ACC),12,4-8,48,24,9,6,39,0.813
Air Force (Mountain West),13,10-3,43,17,10,8,35,0.814
Southern California (Pac-12),13,10-3,38,12,13,6,31,0.816
