Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Navy (AAC),14,9-5,39,341,24.36
UConn (AAC),12,3-9,43,339,28.25
Northwestern (Big Ten),13,7-6,47,389,29.92
Wisconsin (Big Ten),14,11-3,48,455,32.50
Ball St. (MAC),12,4-8,48,426,35.50
Auburn (SEC),13,8-5,61,475,36.54
San Jose St. (Mountain West),12,4-8,52,439,36.58
Purdue (Big Ten),12,3-9,52,447,37.25
Boise St. (Mountain West),13,10-3,56,491,37.77
Wake Forest (ACC),13,7-6,61,501,38.54
Georgia Tech (ACC),13,9-4,57,502,38.62
Nevada (Mountain West),12,5-7,52,482,40.17
Duke (ACC),12,4-8,62,485,40.42
LSU (SEC),12,8-4,58,492,41.00
Iowa (Big Ten),13,8-5,65,537,41.31
Georgia (SEC),13,8-5,74,547,42.08
Army West Point (FBS Independent),13,8-5,62,548,42.15
Houston (AAC),13,9-4,58,554,42.62
Rutgers (Big Ten),12,2-10,63,516,43.00
Buffalo (MAC),12,2-10,63,516,43.00
Temple (AAC),14,10-4,75,604,43.14
Ole Miss (SEC),12,5-7,59,520,43.33
East Carolina (AAC),12,3-9,60,521,43.42
Wyoming (Mountain West),14,8-6,66,615,43.93
Old Dominion (CUSA),13,10-3,66,572,44.00
Alabama (SEC),15,14-1,86,660,44.00
Vanderbilt (SEC),13,6-7,67,575,44.23
Penn St. (Big Ten),14,11-3,68,622,44.43
Washington (Pac-12),14,12-2,73,628,44.86
Kent St. (MAC),12,3-9,63,539,44.92
Cincinnati (AAC),12,4-8,55,544,45.33
ULM (Sun Belt),12,4-8,50,545,45.42
Michigan (Big Ten),13,10-3,63,593,45.62
UTEP (CUSA),12,4-8,67,550,45.83
Western Mich. (MAC),14,13-1,69,647,46.21
Kentucky (SEC),13,7-6,66,605,46.54
South Carolina (SEC),13,6-7,65,606,46.62
Virginia Tech (ACC),14,10-4,71,656,46.86
Rice (CUSA),12,3-9,69,566,47.17
Colorado (Pac-12),14,10-4,76,661,47.21
Mississippi St. (SEC),13,6-7,68,617,47.46
FIU (CUSA),12,4-8,64,574,47.83
Fla. Atlantic (CUSA),12,3-9,63,577,48.08
Louisiana Tech (CUSA),14,9-5,71,675,48.21
Georgia St. (Sun Belt),12,3-9,73,581,48.42
Central Mich. (MAC),13,6-7,62,630,48.46
Oklahoma St. (Big 12),13,10-3,69,643,49.46
Pittsburgh (ACC),13,8-5,74,647,49.77
New Mexico St. (Sun Belt),12,3-9,76,600,50.00
Ohio St. (Big Ten),13,11-2,82,658,50.62
UNLV (Mountain West),12,4-8,67,614,51.17
Arizona St. (Pac-12),12,5-7,66,624,52.00
SMU (AAC),12,5-7,69,624,52.00
Oklahoma (Big 12),13,11-2,66,679,52.23
Arkansas (SEC),13,7-6,80,680,52.31
Air Force (Mountain West),13,10-3,67,681,52.38
Tulsa (AAC),13,10-3,78,684,52.62
Texas A&M (SEC),13,8-5,81,685,52.69
Indiana (Big Ten),13,6-7,79,686,52.77
Notre Dame (FBS Independent),12,4-8,78,638,53.17
Illinois (Big Ten),12,3-9,75,639,53.25
Nebraska (Big Ten),13,9-4,75,695,53.46
Ohio (MAC),14,8-6,79,752,53.71
Colorado St. (Mountain West),13,7-6,79,704,54.15
Stanford (Pac-12),13,10-3,85,707,54.38
Kansas (Big 12),12,2-10,71,654,54.50
Kansas St. (Big 12),13,9-4,88,710,54.62
Tulane (AAC),12,4-8,77,661,55.08
Miami (OH) (MAC),13,6-7,88,720,55.38
Fresno St. (Mountain West),12,1-11,76,669,55.75
Idaho (Sun Belt),13,9-4,73,725,55.77
UCF (AAC),13,6-7,91,729,56.08
Louisiana (Sun Belt),13,6-7,94,730,56.15
Middle Tenn. (CUSA),13,8-5,78,730,56.15
Tennessee (SEC),13,9-4,80,735,56.54
New Mexico (Mountain West),13,9-4,82,737,56.69
Iowa St. (Big 12),12,3-9,76,681,56.75
Eastern Mich. (MAC),13,7-6,76,741,57.00
Missouri (SEC),12,4-8,80,685,57.08
Minnesota (Big Ten),13,9-4,88,743,57.15
Texas St. (Sun Belt),12,2-10,82,687,57.25
Boston College (ACC),13,7-6,90,746,57.38
App State (Sun Belt),13,10-3,79,750,57.69
Virginia (ACC),12,2-10,76,695,57.92
Utah St. (Mountain West),12,3-9,85,696,58.00
Clemson (ACC),15,14-1,95,870,58.00
Bowling Green (MAC),12,4-8,70,696,58.00
Florida (SEC),13,9-4,88,758,58.31
South Fla. (AAC),13,11-2,83,763,58.69
Memphis (AAC),13,8-5,82,771,59.31
UCLA (Pac-12),12,4-8,79,716,59.67
UTSA (CUSA),13,6-7,92,778,59.85
BYU (FBS Independent),13,9-4,83,782,60.15
Michigan St. (Big Ten),12,3-9,77,724,60.33
San Diego St. (Mountain West),14,11-3,98,845,60.36
Utah (Pac-12),13,9-4,90,785,60.38
Syracuse (ACC),12,4-8,96,729,60.75
Maryland (Big Ten),13,6-7,88,794,61.08
Toledo (MAC),13,9-4,91,796,61.23
North Carolina (ACC),13,8-5,99,797,61.31
TCU (Big 12),13,6-7,88,797,61.31
Troy (Sun Belt),13,10-3,88,803,61.77
Texas Tech (Big 12),12,5-7,94,744,62.00
NC State (ACC),13,7-6,78,810,62.31
West Virginia (Big 12),13,10-3,85,823,63.31
Arizona (Pac-12),12,3-9,76,768,64.00
Texas (Big 12),12,5-7,85,769,64.08
Arkansas St. (Sun Belt),13,8-5,107,835,64.23
Southern Miss. (CUSA),13,7-6,97,839,64.54
Ga. Southern (Sun Belt),12,5-7,91,778,64.83
Massachusetts (FBS Independent),12,2-10,93,794,66.17
South Alabama (Sun Belt),13,6-7,99,862,66.31
Western Ky. (CUSA),14,11-3,93,931,66.50
Southern California (Pac-12),13,10-3,99,873,67.15
Akron (MAC),12,5-7,91,807,67.25
Miami (FL) (ACC),13,9-4,95,876,67.38
Charlotte (CUSA),12,4-8,88,818,68.17
North Texas (CUSA),13,5-8,97,890,68.46
Washington St. (Pac-12),13,8-5,103,896,68.92
NIU (MAC),12,5-7,84,834,69.50
Louisville (ACC),13,9-4,101,919,70.69
Hawaii (Mountain West),14,7-7,116,1003,71.64
Oregon St. (Pac-12),12,4-8,96,862,71.83
Florida St. (ACC),13,10-3,100,948,72.92
California (Pac-12),12,5-7,89,909,75.75
Oregon (Pac-12),12,4-8,99,910,75.83
Marshall (CUSA),12,3-9,90,921,76.75
Baylor (Big 12),13,7-6,129,1068,82.15
Coastal Carolina (FBS Independent),12,10-2,59,492,41.00
