Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Alabama (SEC),15,14-1,21,19,0,1,16,0,195,13.0
Michigan (Big Ten),13,10-3,22,17,1,0,10,1,183,14.1
Ohio St. (Big Ten),13,11-2,22,21,0,0,16,0,201,15.5
Wisconsin (Big Ten),14,11-3,24,23,0,0,17,0,218,15.6
LSU (SEC),12,8-4,16,12,3,0,25,0,189,15.8
Florida (SEC),13,9-4,27,26,0,0,10,0,218,16.8
Auburn (SEC),13,8-5,23,21,0,0,21,0,222,17.1
Washington (Pac-12),14,12-2,30,28,1,0,12,1,248,17.7
App State (Sun Belt),13,10-3,28,28,0,0,12,0,232,17.8
Clemson (ACC),15,14-1,34,30,0,0,12,0,270,18.0
Temple (AAC),14,10-4,33,28,1,0,10,0,258,18.4
Miami (FL) (ACC),13,9-4,28,28,0,0,15,0,241,18.5
Iowa (Big Ten),13,8-5,30,29,0,0,12,0,245,18.8
BYU (FBS Independent),13,9-4,33,30,1,0,8,0,254,19.5
Western Mich. (MAC),14,13-1,35,34,0,0,11,0,277,19.8
Army West Point (FBS Independent),13,8-5,33,30,0,0,10,0,258,19.8
San Diego St. (Mountain West),14,11-3,37,35,0,1,8,0,283,20.2
Stanford (Pac-12),13,10-3,33,29,1,0,12,0,265,20.4
Arkansas St. (Sun Belt),13,8-5,31,28,0,0,21,1,279,21.5
Colorado (Pac-12),14,10-4,36,35,0,0,17,1,304,21.7
Troy (Sun Belt),13,10-3,36,35,0,0,12,0,287,22.1
Minnesota (Big Ten),13,9-4,35,28,1,0,15,1,287,22.1
Wake Forest (ACC),13,7-6,37,34,0,0,10,1,288,22.2
Northwestern (Big Ten),13,7-6,34,27,1,0,18,1,289,22.2
Kansas St. (Big 12),13,9-4,37,35,1,0,9,2,290,22.3
Ohio (MAC),14,8-6,38,36,1,0,17,0,317,22.6
NC State (ACC),13,7-6,34,30,1,0,20,0,296,22.8
Virginia Tech (ACC),14,10-4,41,38,1,0,11,0,319,22.8
Boise St. (Mountain West),13,10-3,35,31,3,0,18,1,303,23.3
Houston (AAC),13,9-4,37,34,1,0,15,1,305,23.5
Miami (OH) (MAC),13,6-7,39,36,0,0,13,0,309,23.8
Louisville (ACC),13,9-4,38,34,2,0,13,2,309,23.8
Utah (Pac-12),13,9-4,39,35,0,0,14,0,311,23.9
Nebraska (Big Ten),13,9-4,40,31,1,0,12,1,311,23.9
West Virginia (Big 12),13,10-3,37,32,2,0,18,0,312,24.0
Georgia (SEC),13,8-5,41,39,0,0,9,0,312,24.0
Vanderbilt (SEC),13,6-7,37,33,0,0,19,0,312,24.0
Southern California (Pac-12),13,10-3,41,39,0,0,10,0,315,24.2
Georgia Tech (ACC),13,9-4,40,38,1,0,12,1,318,24.5
Texas A&M (SEC),13,8-5,38,32,1,0,19,0,319,24.5
Western Ky. (C-USA),14,11-3,43,41,0,0,15,0,344,24.6
UCF (AAC),13,6-7,40,36,1,0,14,0,320,24.6
North Carolina (ACC),13,8-5,40,39,0,0,13,3,324,24.9
Florida St. (ACC),13,10-3,40,32,2,1,15,1,325,25.0
Boston College (ACC),13,7-6,44,43,0,0,6,0,325,25.0
Louisiana (Sun Belt),13,6-7,39,33,1,0,20,0,329,25.3
Penn St. (Big Ten),14,11-3,42,40,1,0,20,1,356,25.4
Toledo (MAC),13,9-4,41,40,0,0,16,0,334,25.7
Air Force (Mountain West),13,10-3,45,40,2,0,9,0,341,26.2
Washington St. (Pac-12),13,8-5,45,41,1,0,10,0,343,26.4
South Carolina (SEC),13,6-7,44,40,2,0,12,0,344,26.5
Ga. Southern (Sun Belt),12,5-7,39,37,0,1,15,0,318,26.5
Oklahoma St. (Big 12),13,10-3,46,37,1,0,10,0,345,26.5
Georgia St. (Sun Belt),12,3-9,37,36,1,0,19,1,319,26.6
Cincinnati (AAC),12,4-8,39,36,0,0,17,1,323,26.9
South Alabama (Sun Belt),13,6-7,44,34,4,0,15,0,351,27.0
Indiana (Big Ten),13,6-7,42,37,0,0,21,1,354,27.2
Old Dominion (C-USA),13,10-3,47,45,1,2,7,0,354,27.2
UCLA (Pac-12),12,4-8,37,34,1,0,24,0,330,27.5
Tulane (AAC),12,4-8,42,36,2,1,12,1,332,27.7
Michigan St. (Big Ten),12,3-9,42,39,1,1,12,1,333,27.8
Notre Dame (FBS Independent),12,4-8,44,37,2,0,9,1,334,27.8
UTSA (C-USA),13,6-7,46,34,4,0,15,0,363,27.9
TCU (Big 12),13,6-7,43,39,2,0,21,0,364,28.0
UConn (AAC),12,3-9,43,43,0,0,12,0,337,28.1
