Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Texas Tech (Big 12),12,5-7,1042,6774,6.50,69,
Oklahoma (Big 12),13,11-2,957,7212,7.54,73,
Louisville (ACC),13,9-4,961,6925,7.21,69,
Tulsa (AAC),13,10-3,1114,6851,6.15,66,
Western Ky. (C-USA),14,11-3,958,7324,7.65,77,
Baylor (Big 12),13,7-6,1108,6795,6.13,58,
Toledo (MAC),13,9-4,935,6731,7.20,63,
Middle Tenn. (C-USA),13,8-5,973,6730,6.92,65,
Louisiana Tech (C-USA),14,9-5,960,7206,7.51,73,
California (Pac-12),12,5-7,1035,6158,5.95,53,
South Fla. (AAC),13,11-2,928,6650,7.17,73,
Clemson (ACC),15,14-1,1220,7555,6.19,75,
Missouri (SEC),12,4-8,948,6006,6.34,49,
Oklahoma St. (Big 12),13,10-3,956,6432,6.73,61,
Oregon (Pac-12),12,4-8,892,5900,6.61,57,
Texas (Big 12),12,5-7,999,5895,5.90,48,
West Virginia (Big 12),13,10-3,983,6312,6.42,50,
Washington St. (Pac-12),13,8-5,1026,6273,6.11,63,
Western Mich. (MAC),14,13-1,1012,6737,6.66,69,
Southern California (Pac-12),13,10-3,969,6202,6.40,51,
Boise St. (Mountain West),13,10-3,899,6146,6.84,57,
Southern Miss. (C-USA),13,7-6,1022,6146,6.01,52,
East Carolina (AAC),12,3-9,958,5605,5.85,39,
Texas A&M (SEC),13,8-5,953,6071,6.37,53,
Florida St. (ACC),13,10-3,939,6063,6.46,56,
Ole Miss (SEC),12,5-7,905,5572,6.16,44,
NIU (MAC),12,5-7,949,5565,5.86,47,
Memphis (AAC),13,8-5,964,6028,6.25,57,
TCU (Big 12),13,6-7,991,6021,6.08,48,
Colorado St. (Mountain West),13,7-6,900,6012,6.68,59,
Ohio St. (Big Ten),13,11-2,992,5969,6.02,59,
Washington (Pac-12),14,12-2,937,6397,6.83,71,
New Mexico (Mountain West),13,9-4,867,5939,6.85,59,
Alabama (SEC),15,14-1,1056,6829,6.47,59,
Eastern Mich. (MAC),13,7-6,999,5917,5.92,46,
Air Force (Mountain West),13,10-3,977,5878,6.02,53,
Ball St. (MAC),12,4-8,955,5390,5.64,39,
Pittsburgh (ACC),13,8-5,866,5808,6.71,64,
Virginia Tech (ACC),14,10-4,1087,6229,5.73,58,
Tennessee (SEC),13,9-4,896,5768,6.44,59,
Houston (AAC),13,9-4,1084,5764,5.32,53,
Syracuse (ACC),12,4-8,971,5290,5.45,39,
Auburn (SEC),13,8-5,934,5730,6.13,45,
Mississippi St. (SEC),13,6-7,943,5723,6.07,48,
North Carolina (ACC),13,8-5,860,5707,6.64,51,
Navy (AAC),14,9-5,900,6136,6.82,70,
Colorado (Pac-12),14,10-4,1104,6120,5.54,51,
Wyoming (Mountain West),14,8-6,1006,6083,6.05,60,
Penn St. (Big Ten),14,11-3,931,6056,6.50,63,
Old Dominion (C-USA),13,10-3,874,5601,6.41,58,
Utah (Pac-12),13,9-4,969,5599,5.78,41,
App State (Sun Belt),13,10-3,912,5589,6.13,45,
Troy (Sun Belt),13,10-3,977,5585,5.72,53,
Arkansas (SEC),13,7-6,923,5569,6.03,47,
SMU (AAC),12,5-7,934,5127,5.49,36,
Indiana (Big Ten),13,6-7,990,5538,5.59,39,
Miami (FL) (ACC),13,9-4,861,5537,6.43,51,
Michigan (Big Ten),13,10-3,944,5524,5.85,61,
LSU (SEC),12,8-4,757,5077,6.71,42,
Iowa St. (Big 12),12,3-9,856,5059,5.91,39,
Kentucky (SEC),13,7-6,872,5463,6.26,47,
Notre Dame (FBS Independent),12,4-8,826,5011,6.07,45,
NC State (ACC),13,7-6,942,5413,5.75,43,
New Mexico St. (Sun Belt),12,3-9,914,4976,5.44,35,
Army West Point (FBS Independent),13,8-5,913,5381,5.89,53,
Temple (AAC),14,10-4,967,5790,5.99,53,
Arizona (Pac-12),12,3-9,815,4957,6.08,39,
San Diego St. (Mountain West),14,11-3,892,5703,6.39,54,
Bowling Green (MAC),12,4-8,952,4883,5.13,37,
UNLV (Mountain West),12,4-8,815,4853,5.95,44,
BYU (FBS Independent),13,9-4,956,5188,5.43,43,
Fla. Atlantic (C-USA),12,3-9,838,4779,5.70,40,
Northwestern (Big Ten),13,7-6,984,5177,5.26,44,
Idaho (Sun Belt),13,9-4,920,5161,5.61,43,
Michigan St. (Big Ten),12,3-9,841,4740,5.64,33,
Duke (ACC),12,4-8,917,4720,5.15,37,
Ohio (MAC),14,8-6,1004,5492,5.47,39,
Central Mich. (MAC),13,6-7,878,5096,5.80,41,
Hawaii (Mountain West),14,7-7,915,5478,5.99,50,
Purdue (Big Ten),12,3-9,918,4693,5.11,37,
Arizona St. (Pac-12),12,5-7,900,4689,5.21,43,
South Alabama (Sun Belt),13,6-7,884,5062,5.73,40,
Kansas St. (Big 12),13,9-4,881,5054,5.74,49,
Akron (MAC),12,5-7,776,4649,5.99,38,
Georgia Tech (ACC),13,9-4,771,5034,6.53,43,
Rice (C-USA),12,3-9,895,4618,5.16,39,
Georgia (SEC),13,8-5,919,5001,5.44,34,
