Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Bowling Green (MAC),12,4-8,39,587,0,15.05
Memphis (AAC),13,8-5,28,449,0,16.04
Arkansas St. (Sun Belt),13,8-5,53,855,1,16.13
Louisiana (Sun Belt),13,6-7,39,643,0,16.49
Purdue (Big Ten),12,3-9,44,743,0,16.89
Old Dominion (CUSA),13,10-3,67,1144,0,17.07
Navy (AAC),14,9-5,59,1008,1,17.08
Tulane (AAC),12,4-8,30,522,0,17.40
Idaho (Sun Belt),13,9-4,50,876,0,17.52
Troy (Sun Belt),13,10-3,49,867,0,17.69
Fresno St. (Mountain West),12,1-11,34,603,0,17.74
Virginia Tech (ACC),14,10-4,21,376,0,17.90
Auburn (SEC),13,8-5,19,342,0,18.00
California (Pac-12),12,5-7,48,865,2,18.02
Central Mich. (MAC),13,6-7,46,829,0,18.02
Florida St. (ACC),13,10-3,33,595,0,18.03
UConn (AAC),12,3-9,12,217,0,18.08
Minnesota (Big Ten),13,9-4,31,563,0,18.16
Oklahoma St. (Big 12),13,10-3,53,969,0,18.28
BYU (FBS Independent),13,9-4,50,915,0,18.30
Maryland (Big Ten),13,6-7,52,952,0,18.31
Oregon St. (Pac-12),12,4-8,36,661,0,18.36
Kansas St. (Big 12),13,9-4,42,773,0,18.40
Boston College (ACC),13,7-6,39,719,0,18.44
Duke (ACC),12,4-8,42,784,0,18.67
Western Ky. (CUSA),14,11-3,80,1494,0,18.68
LSU (SEC),12,8-4,49,919,0,18.76
Penn St. (Big Ten),14,11-3,50,941,0,18.82
Washington (Pac-12),14,12-2,58,1093,0,18.84
Ohio St. (Big Ten),13,11-2,52,984,1,18.92
Nevada (Mountain West),12,5-7,33,627,0,19.00
TCU (Big 12),13,6-7,46,874,0,19.00
Army West Point (FBS Independent),13,8-5,52,989,1,19.02
Arizona (Pac-12),12,3-9,35,671,0,19.17
Baylor (Big 12),13,7-6,55,1056,0,19.20
Ohio (MAC),14,8-6,68,1308,1,19.24
Southern California (Pac-12),13,10-3,39,752,0,19.28
Utah St. (Mountain West),12,3-9,32,623,0,19.47
Eastern Mich. (MAC),13,7-6,55,1072,0,19.49
San Jose St. (Mountain West),12,4-8,14,273,0,19.50
Kentucky (SEC),13,7-6,51,997,0,19.55
Washington St. (Pac-12),13,8-5,52,1018,1,19.58
Colorado St. (Mountain West),13,7-6,32,628,0,19.63
Toledo (MAC),13,9-4,66,1297,1,19.65
Pittsburgh (ACC),13,8-5,66,1297,1,19.65
Indiana (Big Ten),13,6-7,35,688,0,19.66
Ball St. (MAC),12,4-8,53,1042,0,19.66
Clemson (ACC),15,14-1,57,1123,0,19.70
Texas A&M (SEC),13,8-5,21,417,0,19.86
Wisconsin (Big Ten),14,11-3,29,579,0,19.97
UTSA (CUSA),13,6-7,38,759,2,19.97
UCF (AAC),13,6-7,32,641,0,20.03
Mississippi St. (SEC),13,6-7,42,843,0,20.07
Hawaii (Mountain West),14,7-7,44,891,0,20.25
Kent St. (MAC),12,3-9,43,871,0,20.26
UTEP (CUSA),12,4-8,19,385,0,20.26
Tennessee (SEC),13,9-4,34,689,0,20.26
Iowa (Big Ten),13,8-5,21,428,0,20.38
Stanford (Pac-12),13,10-3,25,510,0,20.40
NC State (ACC),13,7-6,47,959,0,20.40
Western Mich. (MAC),14,13-1,73,1494,0,20.47
Ole Miss (SEC),12,5-7,45,921,0,20.47
Oregon (Pac-12),12,4-8,25,513,0,20.52
Utah (Pac-12),13,9-4,39,802,1,20.56
Kansas (Big 12),12,2-10,21,432,0,20.57
Arkansas (SEC),13,7-6,54,1115,0,20.65
Charlotte (CUSA),12,4-8,50,1035,0,20.70
Cincinnati (AAC),12,4-8,35,726,0,20.74
San Diego St. (Mountain West),14,11-3,58,1209,0,20.84
Air Force (Mountain West),13,10-3,39,813,0,20.85
Louisville (ACC),13,9-4,88,1835,0,20.85
Northwestern (Big Ten),13,7-6,33,689,0,20.88
Iowa St. (Big 12),12,3-9,30,629,0,20.97
Middle Tenn. (CUSA),13,8-5,65,1365,0,21.00
Miami (OH) (MAC),13,6-7,43,908,0,21.12
Texas (Big 12),12,5-7,44,930,0,21.14
Akron (MAC),12,5-7,56,1185,0,21.16
NIU (MAC),12,5-7,44,932,0,21.18
Alabama (SEC),15,14-1,57,1212,0,21.26
Georgia Tech (ACC),13,9-4,19,404,0,21.26
Marshall (CUSA),12,3-9,22,471,1,21.41
Temple (AAC),14,10-4,73,1566,1,21.45
Ga. Southern (Sun Belt),12,5-7,18,388,1,21.56
South Alabama (Sun Belt),13,6-7,47,1017,0,21.64
North Texas (CUSA),13,5-8,25,544,1,21.76
Oklahoma (Big 12),13,11-2,51,1110,0,21.76
Michigan St. (Big Ten),12,3-9,31,678,1,21.87
East Carolina (AAC),12,3-9,47,1028,1,21.87
FIU (CUSA),12,4-8,44,967,1,21.98
Louisiana Tech (CUSA),14,9-5,77,1693,0,21.99
Michigan (Big Ten),13,10-3,42,928,0,22.10
Nebraska (Big Ten),13,9-4,38,840,0,22.11
South Fla. (AAC),13,11-2,71,1577,0,22.21
Buffalo (MAC),12,2-10,35,778,1,22.23
Notre Dame (FBS Independent),12,4-8,42,935,2,22.26
Southern Miss. (CUSA),13,7-6,52,1158,0,22.27
Boise St. (Mountain West),13,10-3,36,802,1,22.28
Massachusetts (FBS Independent),12,2-10,46,1029,0,22.37
Rutgers (Big Ten),12,2-10,37,836,2,22.59
Texas Tech (Big 12),12,5-7,41,927,1,22.61
Texas St. (Sun Belt),12,2-10,33,747,1,22.64
North Carolina (ACC),13,8-5,34,775,0,22.79
West Virginia (Big 12),13,10-3,49,1125,1,22.96
Houston (AAC),13,9-4,43,991,0,23.05
ULM (Sun Belt),12,4-8,42,968,1,23.05
Fla. Atlantic (CUSA),12,3-9,18,415,0,23.06
Miami (FL) (ACC),13,9-4,33,763,1,23.12
Vanderbilt (SEC),13,6-7,39,902,1,23.13
Rice (CUSA),12,3-9,31,722,1,23.29
Florida (SEC),13,9-4,15,354,0,23.60
New Mexico (Mountain West),13,9-4,13,307,0,23.62
Tulsa (AAC),13,10-3,64,1517,0,23.70
SMU (AAC),12,5-7,47,1118,1,23.79
App State (Sun Belt),13,10-3,27,643,0,23.81
Wake Forest (ACC),13,7-6,29,691,0,23.83
Georgia (SEC),13,8-5,42,1001,1,23.83
Illinois (Big Ten),12,3-9,28,676,0,24.14
Syracuse (ACC),12,4-8,35,847,2,24.20
Georgia St. (Sun Belt),12,3-9,31,773,1,24.94
UNLV (Mountain West),12,4-8,44,1102,0,25.05
UCLA (Pac-12),12,4-8,37,931,1,25.16
Missouri (SEC),12,4-8,21,541,1,25.76
Colorado (Pac-12),14,10-4,36,929,0,25.81
Wyoming (Mountain West),14,8-6,52,1344,2,25.85
Arizona St. (Pac-12),12,5-7,19,493,2,25.95
Virginia (ACC),12,2-10,31,807,1,26.03
New Mexico St. (Sun Belt),12,3-9,29,768,1,26.48
South Carolina (SEC),13,6-7,36,1032,3,28.67
Coastal Carolina (FBS Independent),12,10-2,66,1234,0,18.70
