Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
South Fla. (AAC),13,11-2,17,19,0.895
Western Mich. (MAC),14,13-1,15,17,0.882
Kentucky (SEC),13,7-6,12,16,0.750
California (Pac-12),12,5-7,23,31,0.742
New Mexico (Mountain West),13,9-4,16,22,0.727
Louisville (ACC),13,9-4,11,16,0.688
Marshall (C-USA),12,3-9,16,24,0.667
Troy (Sun Belt),13,10-3,17,26,0.654
Michigan (Big Ten),13,10-3,13,20,0.650
Notre Dame (FBS Independent),12,4-8,13,20,0.650
Iowa (Big Ten),13,8-5,11,17,0.647
Rice (C-USA),12,3-9,11,17,0.647
Houston (AAC),13,9-4,19,30,0.633
BYU (FBS Independent),13,9-4,12,19,0.632
Syracuse (ACC),12,4-8,17,27,0.630
Southern Miss. (C-USA),13,7-6,22,35,0.629
Oregon (Pac-12),12,4-8,18,29,0.621
Ohio St. (Big Ten),13,11-2,13,21,0.619
Eastern Mich. (MAC),13,7-6,8,13,0.615
Nevada (Mountain West),12,5-7,8,13,0.615
Navy (AAC),14,9-5,17,28,0.607
East Carolina (AAC),12,3-9,21,35,0.600
Clemson (ACC),15,14-1,15,25,0.600
Hawaii (Mountain West),14,7-7,15,25,0.600
Kansas St. (Big 12),13,9-4,9,15,0.600
Tulsa (AAC),13,10-3,9,15,0.600
Louisiana Tech (C-USA),14,9-5,6,10,0.600
Florida St. (ACC),13,10-3,3,5,0.600
Bowling Green (MAC),12,4-8,26,44,0.591
Idaho (Sun Belt),13,9-4,13,22,0.591
Utah (Pac-12),13,9-4,13,22,0.591
Memphis (AAC),13,8-5,13,22,0.591
TCU (Big 12),13,6-7,10,17,0.588
Alabama (SEC),15,14-1,10,17,0.588
Old Dominion (C-USA),13,10-3,18,31,0.581
Arkansas St. (Sun Belt),13,8-5,15,26,0.577
Nebraska (Big Ten),13,9-4,12,21,0.571
Baylor (Big 12),13,7-6,26,46,0.565
Colorado St. (Mountain West),13,7-6,13,23,0.565
UNLV (Mountain West),12,4-8,9,16,0.563
Virginia Tech (ACC),14,10-4,9,16,0.563
Tulane (AAC),12,4-8,20,36,0.556
Texas A&M (SEC),13,8-5,10,18,0.556
Wyoming (Mountain West),14,8-6,10,18,0.556
Arkansas (SEC),13,7-6,10,18,0.556
App State (Sun Belt),13,10-3,16,29,0.552
Washington St. (Pac-12),13,8-5,17,31,0.548
New Mexico St. (Sun Belt),12,3-9,13,24,0.542
Missouri (SEC),12,4-8,13,24,0.542
Army West Point (FBS Independent),13,8-5,20,37,0.541
UTSA (C-USA),13,6-7,14,26,0.538
Pittsburgh (ACC),13,8-5,7,13,0.538
Oklahoma (Big 12),13,11-2,7,13,0.538
Georgia (SEC),13,8-5,7,13,0.538
Central Mich. (MAC),13,6-7,7,13,0.538
Air Force (Mountain West),13,10-3,8,15,0.533
Boise St. (Mountain West),13,10-3,9,17,0.529
Ball St. (MAC),12,4-8,12,23,0.522
Virginia (ACC),12,2-10,12,23,0.522
South Carolina (SEC),13,6-7,13,25,0.520
Northwestern (Big Ten),13,7-6,15,30,0.500
Mississippi St. (SEC),13,6-7,14,28,0.500
ULM (Sun Belt),12,4-8,13,26,0.500
FIU (C-USA),12,4-8,13,26,0.500
Massachusetts (FBS Independent),12,2-10,12,24,0.500
Boston College (ACC),13,7-6,11,22,0.500
Georgia Tech (ACC),13,9-4,11,22,0.500
Texas (Big 12),12,5-7,11,22,0.500
Penn St. (Big Ten),14,11-3,10,20,0.500
West Virginia (Big 12),13,10-3,8,16,0.500
Southern California (Pac-12),13,10-3,7,14,0.500
Wisconsin (Big Ten),14,11-3,6,12,0.500
Stanford (Pac-12),13,10-3,6,12,0.500
Minnesota (Big Ten),13,9-4,5,10,0.500
Washington (Pac-12),14,12-2,5,10,0.500
Charlotte (C-USA),12,4-8,16,33,0.485
Texas St. (Sun Belt),12,2-10,11,23,0.478
UConn (AAC),12,3-9,11,23,0.478
Iowa St. (Big 12),12,3-9,11,23,0.478
Auburn (SEC),13,8-5,10,21,0.476
Akron (MAC),12,5-7,10,21,0.476
Michigan St. (Big Ten),12,3-9,10,21,0.476
Utah St. (Mountain West),12,3-9,9,19,0.474
NIU (MAC),12,5-7,9,19,0.474
Arizona St. (Pac-12),12,5-7,8,17,0.471
Miami (OH) (MAC),13,6-7,7,15,0.467
Florida (SEC),13,9-4,7,15,0.467
Miami (FL) (ACC),13,9-4,6,13,0.462
San Diego St. (Mountain West),14,11-3,6,13,0.462
Purdue (Big Ten),12,3-9,15,33,0.455
South Alabama (Sun Belt),13,6-7,10,22,0.455
UCLA (Pac-12),12,4-8,5,11,0.455
NC State (ACC),13,7-6,12,27,0.444
Ga. Southern (Sun Belt),12,5-7,8,18,0.444
Ohio (MAC),14,8-6,8,18,0.444
Texas Tech (Big 12),12,5-7,11,25,0.440
Rutgers (Big Ten),12,2-10,7,16,0.438
Buffalo (MAC),12,2-10,7,16,0.438
Illinois (Big Ten),12,3-9,7,16,0.438
Temple (AAC),14,10-4,10,23,0.435
San Jose St. (Mountain West),12,4-8,10,23,0.435
UCF (AAC),13,6-7,15,35,0.429
Colorado (Pac-12),14,10-4,8,19,0.421
Oklahoma St. (Big 12),13,10-3,5,12,0.417
Wake Forest (ACC),13,7-6,7,17,0.412
Cincinnati (AAC),12,4-8,7,17,0.412
Western Ky. (C-USA),14,11-3,7,17,0.412
North Carolina (ACC),13,8-5,6,15,0.400
Toledo (MAC),13,9-4,4,10,0.400
Fla. Atlantic (C-USA),12,3-9,7,18,0.389
Maryland (Big Ten),13,6-7,11,29,0.379
Duke (ACC),12,4-8,9,24,0.375
SMU (AAC),12,5-7,6,16,0.375
Ole Miss (SEC),12,5-7,6,16,0.375
North Texas (C-USA),13,5-8,8,22,0.364
Kent St. (MAC),12,3-9,5,14,0.357
Georgia St. (Sun Belt),12,3-9,5,14,0.357
Fresno St. (Mountain West),12,1-11,8,23,0.348
Vanderbilt (SEC),13,6-7,6,18,0.333
UTEP (C-USA),12,4-8,5,15,0.333
Louisiana (Sun Belt),13,6-7,7,24,0.292
Middle Tenn. (C-USA),13,8-5,4,14,0.286
Arizona (Pac-12),12,3-9,5,18,0.278
Indiana (Big Ten),13,6-7,7,27,0.259
Kansas (Big 12),12,2-10,5,20,0.250
Tennessee (SEC),13,9-4,2,9,0.222
Oregon St. (Pac-12),12,4-8,3,15,0.200
LSU (SEC),12,8-4,1,8,0.125
Coastal Carolina (FBS Independent),12,10-2,5,8,0.625
