Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
New Mexico (Mountain West),13,9-4,688,4550,6.61,48,350.0
Army West Point (FBS Independent),13,8-5,790,4414,5.59,46,339.5
Air Force (Mountain West),13,10-3,827,4126,4.99,39,317.4
Navy (AAC),14,9-5,742,4342,5.85,61,310.1
South Fla. (AAC),13,11-2,570,3709,6.51,47,285.3
Auburn (SEC),13,8-5,645,3527,5.47,33,271.3
San Diego St. (Mountain West),14,11-3,636,3680,5.79,34,262.9
Tulsa (AAC),13,10-3,665,3402,5.12,33,261.7
Georgia Tech (ACC),13,9-4,611,3355,5.49,34,258.1
App State (Sun Belt),13,10-3,578,3262,5.64,29,250.9
Ohio St. (Big Ten),13,11-2,583,3188,5.47,33,245.2
Alabama (SEC),15,14-1,639,3675,5.75,33,245.0
Louisville (ACC),13,9-4,525,3148,6.00,37,242.2
Baylor (Big 12),13,7-6,628,3143,5.00,25,241.8
UNLV (Mountain West),12,4-8,521,2898,5.56,28,241.5
NIU (MAC),12,5-7,549,2877,5.24,27,239.8
Texas (Big 12),12,5-7,597,2871,4.81,27,239.3
Oklahoma (Big 12),13,11-2,573,3078,5.37,30,236.8
Arizona (Pac-12),12,3-9,509,2820,5.54,26,235.0
Kentucky (SEC),13,7-6,560,3044,5.44,30,234.2
LSU (SEC),12,8-4,459,2796,6.09,30,233.0
Kansas St. (Big 12),13,9-4,572,3013,5.27,39,231.8
Mississippi St. (SEC),13,6-7,532,2997,5.63,24,230.5
Western Mich. (MAC),14,13-1,634,3204,5.05,36,228.9
West Virginia (Big 12),13,10-3,574,2969,5.17,24,228.4
Tulane (AAC),12,4-8,591,2737,4.63,25,228.1
Oregon (Pac-12),12,4-8,493,2717,5.51,29,226.4
Pittsburgh (ACC),13,8-5,542,2926,5.40,36,225.1
Ga. Southern (Sun Belt),12,5-7,606,2690,4.44,24,224.2
Ball St. (MAC),12,4-8,519,2640,5.09,25,220.0
Colorado St. (Mountain West),13,7-6,539,2831,5.25,30,217.8
Utah (Pac-12),13,9-4,570,2782,4.88,26,214.0
Michigan (Big Ten),13,10-3,574,2768,4.82,41,212.9
Texas A&M (SEC),13,8-5,484,2754,5.69,28,211.8
Stanford (Pac-12),13,10-3,522,2716,5.20,20,208.9
Wyoming (Mountain West),14,8-6,627,2876,4.59,31,205.4
Tennessee (SEC),13,9-4,517,2668,5.16,31,205.2
Missouri (SEC),12,4-8,500,2461,4.92,24,205.1
Wisconsin (Big Ten),14,11-3,658,2843,4.32,31,203.1
Florida St. (ACC),13,10-3,518,2630,5.08,33,202.3
BYU (FBS Independent),13,9-4,544,2615,4.81,28,201.2
Southern California (Pac-12),13,10-3,506,2609,5.16,18,200.7
Maryland (Big Ten),13,6-7,533,2594,4.87,26,199.5
Washington (Pac-12),14,12-2,529,2774,5.24,24,198.1
Old Dominion (C-USA),13,10-3,500,2559,5.12,27,196.8
Toledo (MAC),13,9-4,512,2535,4.95,17,195.0
TCU (Big 12),13,6-7,488,2535,5.19,30,195.0
Middle Tenn. (C-USA),13,8-5,417,2494,5.98,26,191.8
Oregon St. (Pac-12),12,4-8,442,2300,5.20,24,191.7
Georgia (SEC),13,8-5,533,2486,4.66,18,191.2
Fla. Atlantic (C-USA),12,3-9,472,2258,4.78,31,188.2
Western Ky. (C-USA),14,11-3,487,2609,5.36,35,186.4
UTEP (C-USA),12,4-8,409,2226,5.44,20,185.5
