Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Florida St. (ACC),13,10-3,57,26,18,11,55,0.965
Western Mich. (MAC),14,13-1,68,31,18,16,65,0.956
BYU (FBS Independent),13,9-4,55,24,9,19,52,0.945
Colorado St. (Mountain West),13,7-6,53,22,20,8,50,0.943
Vanderbilt (SEC),13,6-7,46,24,8,11,43,0.935
Middle Tenn. (C-USA),13,8-5,59,19,26,10,55,0.932
Washington (Pac-12),14,12-2,58,17,26,11,54,0.931
Iowa St. (Big 12),12,3-9,41,15,9,14,38,0.927
Toledo (MAC),13,9-4,50,14,22,10,46,0.920
Kansas St. (Big 12),13,9-4,62,36,7,14,57,0.919
Arizona St. (Pac-12),12,5-7,47,22,11,10,43,0.915
UCF (AAC),13,6-7,35,17,6,9,32,0.914
Michigan (Big Ten),13,10-3,68,32,12,18,62,0.912
Wyoming (Mountain West),14,8-6,53,28,12,8,48,0.906
Texas Tech (Big 12),12,5-7,63,20,26,11,57,0.905
UNLV (Mountain West),12,4-8,42,19,7,12,38,0.905
Wake Forest (ACC),13,7-6,40,14,6,16,36,0.900
Navy (AAC),14,9-5,69,49,6,7,62,0.899
Hawaii (Mountain West),14,7-7,49,20,13,11,44,0.898
Rice (C-USA),12,3-9,39,19,9,7,35,0.897
Eastern Mich. (MAC),13,7-6,57,18,18,15,51,0.895
Tulsa (AAC),13,10-3,66,24,17,18,59,0.894
New Mexico (Mountain West),13,9-4,47,31,4,7,42,0.894
Alabama (SEC),15,14-1,65,24,16,18,58,0.892
Louisiana (Sun Belt),13,6-7,46,19,7,15,41,0.891
Oklahoma St. (Big 12),13,10-3,69,29,14,18,61,0.884
Air Force (Mountain West),13,10-3,60,33,3,17,53,0.883
Virginia Tech (ACC),14,10-4,68,20,22,18,60,0.882
Oklahoma (Big 12),13,11-2,59,24,17,11,52,0.881
Colorado (Pac-12),14,10-4,59,28,10,14,52,0.881
UTSA (C-USA),13,6-7,50,16,18,10,44,0.880
San Diego St. (Mountain West),14,11-3,50,20,10,14,44,0.880
Idaho (Sun Belt),13,9-4,58,21,12,18,51,0.879
Iowa (Big Ten),13,8-5,41,16,11,9,36,0.878
Tennessee (SEC),13,9-4,49,23,13,7,43,0.878
Minnesota (Big Ten),13,9-4,56,30,8,11,49,0.875
Troy (Sun Belt),13,10-3,55,21,15,12,48,0.873
App State (Sun Belt),13,10-3,47,19,9,13,41,0.872
Ga. Southern (Sun Belt),12,5-7,39,16,5,13,34,0.872
Ohio St. (Big Ten),13,11-2,62,28,12,14,54,0.871
California (Pac-12),12,5-7,54,14,18,15,47,0.870
Oregon St. (Pac-12),12,4-8,38,19,7,7,33,0.868
Penn St. (Big Ten),14,11-3,67,26,11,21,58,0.866
Pittsburgh (ACC),13,8-5,59,31,14,6,51,0.864
FIU (C-USA),12,4-8,44,15,13,10,38,0.864
Western Ky. (C-USA),14,11-3,73,28,19,16,63,0.863
South Fla. (AAC),13,11-2,50,30,5,8,43,0.860
Houston (AAC),13,9-4,64,26,17,12,55,0.859
Temple (AAC),14,10-4,63,26,8,20,54,0.857
Kentucky (SEC),13,7-6,42,19,6,11,36,0.857
Louisiana Tech (C-USA),14,9-5,69,23,21,15,59,0.855
Auburn (SEC),13,8-5,55,25,6,16,47,0.855
Southern Miss. (C-USA),13,7-6,55,23,14,10,47,0.855
Georgia Tech (ACC),13,9-4,41,24,1,10,35,0.854
Texas A&M (SEC),13,8-5,54,18,15,13,46,0.852
Georgia St. (Sun Belt),12,3-9,27,7,8,8,23,0.852
Old Dominion (C-USA),13,10-3,54,18,16,12,46,0.852
Nevada (Mountain West),12,5-7,47,18,13,9,40,0.851
Akron (MAC),12,5-7,33,11,9,8,28,0.848
Stanford (Pac-12),13,10-3,39,11,8,14,33,0.846
Virginia (ACC),12,2-10,39,12,16,5,33,0.846
Boise St. (Mountain West),13,10-3,52,25,10,9,44,0.846
Wisconsin (Big Ten),14,11-3,58,26,11,12,49,0.845
Georgia (SEC),13,8-5,45,15,10,13,38,0.844
Kansas (Big 12),12,2-10,32,8,9,10,27,0.844
Ole Miss (SEC),12,5-7,57,13,18,17,48,0.842
Maryland (Big Ten),13,6-7,38,16,7,9,32,0.842
Clemson (ACC),15,14-1,76,26,29,9,64,0.842
UTEP (C-USA),12,4-8,31,8,14,4,26,0.839
Utah St. (Mountain West),12,3-9,37,17,5,9,31,0.838
North Carolina (ACC),13,8-5,55,18,18,10,46,0.836
Notre Dame (FBS Independent),12,4-8,48,14,16,10,40,0.833
Washington St. (Pac-12),13,8-5,71,22,28,9,59,0.831
Louisville (ACC),13,9-4,76,26,21,16,63,0.829
LSU (SEC),12,8-4,40,19,6,8,33,0.825
Miami (OH) (MAC),13,6-7,40,7,15,11,33,0.825
Fla. Atlantic (C-USA),12,3-9,40,23,5,5,33,0.825
Southern California (Pac-12),13,10-3,57,11,25,11,47,0.825
Army West Point (FBS Independent),13,8-5,51,35,3,4,42,0.824
Marshall (C-USA),12,3-9,34,11,14,3,28,0.824
Oregon (Pac-12),12,4-8,51,22,14,6,42,0.824
Nebraska (Big Ten),13,9-4,45,21,7,9,37,0.822
Boston College (ACC),13,7-6,39,13,9,10,32,0.821
NIU (MAC),12,5-7,50,20,12,9,41,0.820
Texas St. (Sun Belt),12,2-10,33,12,8,7,27,0.818
Ohio (MAC),14,8-6,60,14,13,22,49,0.817
Miami (FL) (ACC),13,9-4,54,15,16,13,44,0.815
Charlotte (C-USA),12,4-8,43,16,10,9,35,0.814
South Alabama (Sun Belt),13,6-7,48,21,9,9,39,0.813
Cincinnati (AAC),12,4-8,37,7,12,11,30,0.811
Michigan St. (Big Ten),12,3-9,42,12,12,10,34,0.810
West Virginia (Big 12),13,10-3,57,20,13,13,46,0.807
Duke (ACC),12,4-8,41,18,12,3,33,0.805
North Texas (C-USA),13,5-8,41,17,10,6,33,0.805
TCU (Big 12),13,6-7,60,25,8,15,48,0.800
Memphis (AAC),13,8-5,55,19,16,9,44,0.800
Texas (Big 12),12,5-7,55,20,9,15,44,0.800
San Jose St. (Mountain West),12,4-8,39,10,9,12,31,0.795
UCLA (Pac-12),12,4-8,39,11,11,9,31,0.795
Arkansas (SEC),13,7-6,58,14,21,11,46,0.793
Buffalo (MAC),12,2-10,28,7,7,8,22,0.786
Arkansas St. (Sun Belt),13,8-5,51,16,12,12,40,0.784
Syracuse (ACC),12,4-8,37,13,12,4,29,0.784
Ball St. (MAC),12,4-8,55,23,9,11,43,0.782
Massachusetts (FBS Independent),12,2-10,41,9,16,7,32,0.780
Utah (Pac-12),13,9-4,54,19,8,15,42,0.778
Arizona (Pac-12),12,3-9,40,18,5,8,31,0.775
ULM (Sun Belt),12,4-8,40,18,6,7,31,0.775
Illinois (Big Ten),12,3-9,31,8,9,7,24,0.774
Mississippi St. (SEC),13,6-7,53,18,13,10,41,0.774
Kent St. (MAC),12,3-9,35,10,7,10,27,0.771
SMU (AAC),12,5-7,52,10,14,16,40,0.769
Bowling Green (MAC),12,4-8,47,15,13,8,36,0.766
Fresno St. (Mountain West),12,1-11,34,9,8,9,26,0.765
Tulane (AAC),12,4-8,42,22,3,7,32,0.762
Purdue (Big Ten),12,3-9,37,10,9,9,28,0.757
South Carolina (SEC),13,6-7,45,18,8,8,34,0.756
Baylor (Big 12),13,7-6,60,21,15,9,45,0.750
Missouri (SEC),12,4-8,51,19,14,5,38,0.745
NC State (ACC),13,7-6,54,21,11,8,40,0.741
East Carolina (AAC),12,3-9,46,11,14,9,34,0.739
New Mexico St. (Sun Belt),12,3-9,46,11,12,11,34,0.739
Northwestern (Big Ten),13,7-6,42,14,10,7,31,0.738
UConn (AAC),12,3-9,30,9,2,11,22,0.733
Central Mich. (MAC),13,6-7,40,14,10,5,29,0.725
Florida (SEC),13,9-4,42,10,11,9,30,0.714
Indiana (Big Ten),13,6-7,49,14,10,11,35,0.714
Rutgers (Big Ten),12,2-10,25,4,5,8,17,0.680
Coastal Carolina (FBS Independent),12,10-2,55,24,10,11,45,0.818
