Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Alabama (SEC),15,14-1,476,959,2.01,5,63.9
Western Ky. (C-USA),14,11-3,456,1361,2.98,16,97.2
Wisconsin (Big Ten),14,11-3,421,1383,3.29,9,98.8
Houston (AAC),13,9-4,447,1302,2.91,16,100.2
Ohio (MAC),14,8-6,495,1462,2.95,12,104.4
San Diego St. (Mountain West),14,11-3,480,1480,3.08,10,105.7
Boston College (ACC),13,7-6,422,1411,3.34,15,108.5
NC State (ACC),13,7-6,424,1412,3.33,18,108.6
BYU (FBS Independent),13,9-4,431,1467,3.40,14,112.8
Air Force (Mountain West),13,10-3,436,1484,3.40,20,114.2
Kansas St. (Big 12),13,9-4,400,1495,3.74,11,115.0
Louisville (ACC),13,9-4,483,1497,3.10,7,115.2
LSU (SEC),12,8-4,429,1407,3.28,7,117.3
Minnesota (Big Ten),13,9-4,453,1532,3.38,12,117.8
Michigan (Big Ten),13,10-3,481,1550,3.22,9,119.2
Pittsburgh (ACC),13,8-5,436,1555,3.57,28,119.6
Troy (Sun Belt),13,10-3,462,1562,3.38,13,120.2
Army West Point (FBS Independent),13,8-5,406,1576,3.88,17,121.2
Ohio St. (Big Ten),13,11-2,481,1619,3.37,8,124.5
App State (Sun Belt),13,10-3,415,1637,3.94,15,125.9
Florida St. (ACC),13,10-3,457,1664,3.64,19,128.0
Utah (Pac-12),13,9-4,428,1673,3.91,13,128.7
Louisiana (Sun Belt),13,6-7,490,1679,3.43,19,129.2
Clemson (ACC),15,14-1,525,1944,3.70,20,129.6
Temple (AAC),14,10-4,510,1825,3.58,17,130.4
Miami (FL) (ACC),13,9-4,499,1713,3.43,10,131.8
Auburn (SEC),13,8-5,462,1726,3.74,8,132.8
Washington (Pac-12),14,12-2,514,1875,3.65,16,133.9
Washington St. (Pac-12),13,8-5,428,1745,4.08,21,134.2
Northwestern (Big Ten),13,7-6,478,1809,3.78,20,139.2
Southern California (Pac-12),13,10-3,448,1815,4.05,16,139.6
Virginia Tech (ACC),14,10-4,524,1967,3.75,22,140.5
Wake Forest (ACC),13,7-6,485,1851,3.82,20,142.4
Arkansas St. (Sun Belt),13,8-5,522,1864,3.57,13,143.4
Charlotte (C-USA),12,4-8,406,1721,4.24,24,143.4
Georgia (SEC),13,8-5,470,1868,3.97,24,143.7
Miami (OH) (MAC),13,6-7,468,1877,4.01,21,144.4
Florida (SEC),13,9-4,488,1878,3.85,16,144.5
Stanford (Pac-12),13,10-3,457,1878,4.11,15,144.5
Idaho (Sun Belt),13,9-4,445,1883,4.23,17,144.8
UConn (AAC),12,3-9,448,1753,3.91,19,146.1
Louisiana Tech (C-USA),14,9-5,524,2047,3.91,27,146.2
Nebraska (Big Ten),13,9-4,433,1922,4.44,22,147.8
Colorado (Pac-12),14,10-4,512,2085,4.07,14,148.9
Iowa (Big Ten),13,8-5,492,1947,3.96,10,149.8
Southern Miss. (C-USA),13,7-6,427,1949,4.56,28,149.9
Ball St. (MAC),12,4-8,405,1807,4.46,15,150.6
Penn St. (Big Ten),14,11-3,551,2118,3.84,22,151.3
Western Mich. (MAC),14,13-1,455,2150,4.73,17,153.6
Old Dominion (C-USA),13,10-3,503,2043,4.06,25,157.2
Michigan St. (Big Ten),12,3-9,460,1904,4.14,21,158.7
Tulane (AAC),12,4-8,472,1911,4.05,20,159.3
Indiana (Big Ten),13,6-7,554,2085,3.76,20,160.4
UTSA (C-USA),13,6-7,487,2112,4.34,21,162.5
Oklahoma (Big 12),13,11-2,465,2114,4.55,15,162.6
Arizona St. (Pac-12),12,5-7,399,1957,4.90,25,163.1
Vanderbilt (SEC),13,6-7,455,2126,4.67,14,163.5
Ga. Southern (Sun Belt),12,5-7,446,2005,4.50,21,167.1
Eastern Mich. (MAC),13,7-6,502,2178,4.34,23,167.5
West Virginia (Big 12),13,10-3,517,2187,4.23,14,168.2
Central Mich. (MAC),13,6-7,474,2197,4.64,15,169.0
UCF (AAC),13,6-7,576,2204,3.83,22,169.5
UCLA (Pac-12),12,4-8,503,2058,4.09,21,171.5
Georgia Tech (ACC),13,9-4,473,2239,4.73,24,172.2
New Mexico (Mountain West),13,9-4,471,2242,4.76,29,172.5
Duke (ACC),12,4-8,469,2099,4.48,19,174.9
Toledo (MAC),13,9-4,474,2285,4.82,15,175.8
Tulsa (AAC),13,10-3,526,2292,4.36,28,176.3
Boise St. (Mountain West),13,10-3,533,2298,4.31,12,176.8
Mississippi St. (SEC),13,6-7,485,2308,4.76,17,177.5
Navy (AAC),14,9-5,546,2519,4.61,23,179.9
Notre Dame (FBS Independent),12,4-8,529,2189,4.14,23,182.4
TCU (Big 12),13,6-7,578,2416,4.18,23,185.8
UNLV (Mountain West),12,4-8,484,2243,4.63,30,186.9
Cincinnati (AAC),12,4-8,562,2275,4.05,17,189.6
Kent St. (MAC),12,3-9,537,2277,4.24,24,189.8
Texas (Big 12),12,5-7,550,2277,4.14,23,189.8
Virginia (ACC),12,2-10,485,2280,4.70,20,190.0
Bowling Green (MAC),12,4-8,502,2291,4.56,28,190.9
Texas A&M (SEC),13,8-5,573,2493,4.35,21,191.8
Massachusetts (FBS Independent),12,2-10,492,2317,4.71,23,193.1
Oklahoma St. (Big 12),13,10-3,548,2515,4.59,22,193.5
Arizona (Pac-12),12,3-9,496,2330,4.70,27,194.2
South Fla. (AAC),13,11-2,570,2554,4.48,29,196.5
Middle Tenn. (C-USA),13,8-5,577,2583,4.48,37,198.7
FIU (C-USA),12,4-8,457,2385,5.22,26,198.8
Baylor (Big 12),13,7-6,620,2609,4.21,30,200.7
NIU (MAC),12,5-7,520,2410,4.63,24,200.8
Marshall (C-USA),12,3-9,485,2428,5.01,28,202.3
South Carolina (SEC),13,6-7,550,2642,4.80,20,203.2
Utah St. (Mountain West),12,3-9,558,2440,4.37,19,203.3
Wyoming (Mountain West),14,8-6,537,2851,5.31,34,203.6
Memphis (AAC),13,8-5,530,2664,5.03,28,204.9
Arkansas (SEC),13,7-6,452,2671,5.91,39,205.5
Georgia St. (Sun Belt),12,3-9,576,2481,4.31,25,206.8
UTEP (C-USA),12,4-8,476,2524,5.30,23,210.3
SMU (AAC),12,5-7,498,2526,5.07,30,210.5
Colorado St. (Mountain West),13,7-6,577,2782,4.82,34,214.0
Maryland (Big Ten),13,6-7,586,2792,4.76,31,214.8
South Alabama (Sun Belt),13,6-7,587,2798,4.77,26,215.2
Rice (C-USA),12,3-9,477,2602,5.45,30,216.8
Oregon St. (Pac-12),12,4-8,492,2616,5.32,25,218.0
Iowa St. (Big 12),12,3-9,526,2618,4.98,23,218.2
Tennessee (SEC),13,9-4,568,2841,5.00,28,218.5
Illinois (Big Ten),12,3-9,569,2630,4.62,35,219.2
Texas St. (Sun Belt),12,2-10,540,2668,4.94,33,222.3
Akron (MAC),12,5-7,534,2696,5.05,27,224.7
Syracuse (ACC),12,4-8,497,2700,5.43,35,225.0
North Carolina (ACC),13,8-5,659,2955,4.48,28,227.3
Kentucky (SEC),13,7-6,576,2966,5.15,25,228.2
East Carolina (AAC),12,3-9,506,2742,5.42,34,228.5
Missouri (SEC),12,4-8,531,2794,5.26,28,232.8
Hawaii (Mountain West),14,7-7,620,3279,5.29,31,234.2
Kansas (Big 12),12,2-10,549,2837,5.17,27,236.4
Purdue (Big Ten),12,3-9,545,2861,5.25,35,238.4
Texas Tech (Big 12),12,5-7,500,2863,5.73,37,238.6
North Texas (C-USA),13,5-8,588,3114,5.30,31,239.5
New Mexico St. (Sun Belt),12,3-9,549,2931,5.34,31,244.3
Fla. Atlantic (C-USA),12,3-9,537,2945,5.48,37,245.4
Ole Miss (SEC),12,5-7,546,2956,5.41,31,246.3
Oregon (Pac-12),12,4-8,522,2958,5.67,38,246.5
San Jose St. (Mountain West),12,4-8,540,2960,5.48,33,246.7
Fresno St. (Mountain West),12,1-11,600,2969,4.95,25,247.4
Buffalo (MAC),12,2-10,597,3039,5.09,29,253.3
ULM (Sun Belt),12,4-8,545,3123,5.73,31,260.3
Rutgers (Big Ten),12,2-10,556,3170,5.70,33,264.2
California (Pac-12),12,5-7,532,3274,6.15,32,272.8
Nevada (Mountain West),12,5-7,585,3571,6.10,32,297.6
Coastal Carolina (FBS Independent),12,10-2,396,1484,3.75,13,123.7
