Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Troy (Sun Belt),13,10-3,8,61,0.62
NIU (MAC),12,5-7,8,47,0.67
Pittsburgh (ACC),13,8-5,10,75,0.77
Army West Point (FBS Independent),13,8-5,10,68,0.77
UNLV (Mountain West),12,4-8,10,74,0.83
New Mexico (Mountain West),13,9-4,12,71,0.92
Southern California (Pac-12),13,10-3,12,80,0.92
Colorado St. (Mountain West),13,7-6,13,114,1.00
Eastern Mich. (MAC),13,7-6,13,89,1.00
Ga. Southern (Sun Belt),12,5-7,12,85,1.00
Middle Tenn. (C-USA),13,8-5,14,84,1.08
Toledo (MAC),13,9-4,14,89,1.08
Western Mich. (MAC),14,13-1,16,87,1.14
Nebraska (Big Ten),13,9-4,15,135,1.15
South Fla. (AAC),13,11-2,15,94,1.15
Missouri (SEC),12,4-8,14,101,1.17
Georgia Tech (ACC),13,9-4,16,110,1.23
App State (Sun Belt),13,10-3,16,96,1.23
NC State (ACC),13,7-6,17,110,1.31
Minnesota (Big Ten),13,9-4,17,95,1.31
Air Force (Mountain West),13,10-3,17,104,1.31
California (Pac-12),12,5-7,16,130,1.33
Clemson (ACC),15,14-1,20,114,1.33
Ohio (MAC),14,8-6,19,119,1.36
Mississippi St. (SEC),13,6-7,18,117,1.38
Georgia St. (Sun Belt),12,3-9,17,122,1.42
Old Dominion (C-USA),13,10-3,19,114,1.46
Auburn (SEC),13,8-5,19,137,1.46
Boise St. (Mountain West),13,10-3,19,123,1.46
North Carolina (ACC),13,8-5,20,132,1.54
Western Ky. (C-USA),14,11-3,22,128,1.57
ULM (Sun Belt),12,4-8,19,100,1.58
Ball St. (MAC),12,4-8,19,114,1.58
LSU (SEC),12,8-4,19,112,1.58
Alabama (SEC),15,14-1,24,143,1.60
Oklahoma (Big 12),13,11-2,21,134,1.62
Texas A&M (SEC),13,8-5,21,154,1.62
Navy (AAC),14,9-5,23,116,1.64
Illinois (Big Ten),12,3-9,20,143,1.67
Michigan (Big Ten),13,10-3,22,145,1.69
Hawaii (Mountain West),14,7-7,24,192,1.71
Penn St. (Big Ten),14,11-3,24,161,1.71
Wisconsin (Big Ten),14,11-3,24,149,1.71
Tulane (AAC),12,4-8,21,139,1.75
Nevada (Mountain West),12,5-7,21,152,1.75
UTEP (C-USA),12,4-8,22,186,1.83
Georgia (SEC),13,8-5,24,146,1.85
Tulsa (AAC),13,10-3,24,151,1.85
Washington (Pac-12),14,12-2,26,141,1.86
Wyoming (Mountain West),14,8-6,26,189,1.86
Buffalo (MAC),12,2-10,23,147,1.92
West Virginia (Big 12),13,10-3,25,195,1.92
Tennessee (SEC),13,9-4,25,225,1.92
Kansas St. (Big 12),13,9-4,25,147,1.92
Idaho (Sun Belt),13,9-4,25,140,1.92
Miami (FL) (ACC),13,9-4,25,173,1.92
UCLA (Pac-12),12,4-8,24,174,2.00
BYU (FBS Independent),13,9-4,26,156,2.00
Baylor (Big 12),13,7-6,26,122,2.00
Louisiana Tech (C-USA),14,9-5,28,172,2.00
San Diego St. (Mountain West),14,11-3,28,159,2.00
Temple (AAC),14,10-4,29,254,2.07
Utah (Pac-12),13,9-4,27,163,2.08
Oregon St. (Pac-12),12,4-8,25,155,2.08
Bowling Green (MAC),12,4-8,25,196,2.08
Charlotte (C-USA),12,4-8,25,169,2.08
Fla. Atlantic (C-USA),12,3-9,25,158,2.08
Boston College (ACC),13,7-6,28,184,2.15
Florida (SEC),13,9-4,28,221,2.15
Arkansas St. (Sun Belt),13,8-5,28,187,2.15
Kentucky (SEC),13,7-6,28,189,2.15
Ohio St. (Big Ten),13,11-2,28,150,2.15
Cincinnati (AAC),12,4-8,26,172,2.17
SMU (AAC),12,5-7,26,168,2.17
Akron (MAC),12,5-7,26,152,2.17
Ole Miss (SEC),12,5-7,26,153,2.17
Colorado (Pac-12),14,10-4,31,189,2.21
Indiana (Big Ten),13,6-7,29,235,2.23
Washington St. (Pac-12),13,8-5,29,196,2.23
Southern Miss. (C-USA),13,7-6,29,219,2.23
Kansas (Big 12),12,2-10,27,153,2.25
Michigan St. (Big Ten),12,3-9,27,150,2.25
Virginia Tech (ACC),14,10-4,32,162,2.29
Iowa (Big Ten),13,8-5,30,217,2.31
Utah St. (Mountain West),12,3-9,28,200,2.33
Notre Dame (FBS Independent),12,4-8,28,163,2.33
Marshall (C-USA),12,3-9,28,186,2.33
Arizona (Pac-12),12,3-9,28,192,2.33
South Alabama (Sun Belt),13,6-7,31,229,2.38
TCU (Big 12),13,6-7,31,202,2.38
Oregon (Pac-12),12,4-8,29,169,2.42
Purdue (Big Ten),12,3-9,29,194,2.42
Vanderbilt (SEC),13,6-7,32,217,2.46
Oklahoma St. (Big 12),13,10-3,32,201,2.46
Texas Tech (Big 12),12,5-7,30,273,2.50
FIU (C-USA),12,4-8,31,161,2.58
Duke (ACC),12,4-8,31,162,2.58
Fresno St. (Mountain West),12,1-11,31,186,2.58
East Carolina (AAC),12,3-9,31,222,2.58
Stanford (Pac-12),13,10-3,34,202,2.62
Iowa St. (Big 12),12,3-9,32,188,2.67
Texas (Big 12),12,5-7,32,172,2.67
Arkansas (SEC),13,7-6,35,264,2.69
Memphis (AAC),13,8-5,35,254,2.69
Rice (C-USA),12,3-9,33,209,2.75
UCF (AAC),13,6-7,36,259,2.77
Louisiana (Sun Belt),13,6-7,36,246,2.77
Florida St. (ACC),13,10-3,36,301,2.77
Rutgers (Big Ten),12,2-10,34,246,2.83
Kent St. (MAC),12,3-9,34,268,2.83
Houston (AAC),13,9-4,37,243,2.85
Central Mich. (MAC),13,6-7,38,252,2.92
Virginia (ACC),12,2-10,36,245,3.00
New Mexico St. (Sun Belt),12,3-9,36,232,3.00
Northwestern (Big Ten),13,7-6,39,224,3.00
Wake Forest (ACC),13,7-6,39,251,3.00
UConn (AAC),12,3-9,37,207,3.08
South Carolina (SEC),13,6-7,41,268,3.15
Syracuse (ACC),12,4-8,38,220,3.17
Miami (OH) (MAC),13,6-7,42,254,3.23
North Texas (C-USA),13,5-8,43,293,3.31
UTSA (C-USA),13,6-7,43,284,3.31
Arizona St. (Pac-12),12,5-7,41,260,3.42
Louisville (ACC),13,9-4,47,334,3.62
Texas St. (Sun Belt),12,2-10,44,310,3.67
Massachusetts (FBS Independent),12,2-10,45,302,3.75
Maryland (Big Ten),13,6-7,49,333,3.77
San Jose St. (Mountain West),12,4-8,50,259,4.17
Coastal Carolina (FBS Independent),12,10-2,12,55,1.00
