Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Texas Tech (Big 12),12,5-7,653,428,11,5556,8.51,12.98,47,463.0
Louisiana Tech (C-USA),14,9-5,543,362,9,5087,9.37,14.05,43,363.4
Washington St. (Pac-12),13,8-5,664,467,12,4713,7.10,10.09,40,362.5
California (Pac-12),12,5-7,621,383,12,4306,6.93,11.24,37,358.8
Western Ky. (C-USA),14,11-3,471,305,8,4715,10.01,15.46,42,336.8
East Carolina (AAC),12,3-9,554,359,12,4016,7.25,11.19,26,334.7
Clemson (ACC),15,14-1,629,422,17,5009,7.96,11.87,45,333.9
Middle Tenn. (C-USA),13,8-5,556,349,15,4236,7.62,12.14,39,325.8
Oklahoma St. (Big 12),13,10-3,465,295,4,4211,9.06,14.27,29,323.9
Toledo (MAC),13,9-4,423,291,9,4196,9.92,14.42,46,322.8
Syracuse (ACC),12,4-8,522,332,13,3855,7.39,11.61,24,321.3
Oklahoma (Big 12),13,11-2,384,271,8,4134,10.77,15.25,43,318.0
Ole Miss (SEC),12,5-7,483,289,14,3779,7.82,13.08,27,314.9
Memphis (AAC),13,8-5,477,303,10,3957,8.30,13.06,34,304.4
Boise St. (Mountain West),13,10-3,406,253,8,3878,9.55,15.33,28,298.3
Southern Miss. (C-USA),13,7-6,478,285,16,3877,8.11,13.60,26,298.2
Houston (AAC),13,9-4,523,352,15,3852,7.37,10.94,24,296.3
Eastern Mich. (MAC),13,7-6,519,309,17,3849,7.42,12.46,25,296.1
UCLA (Pac-12),12,4-8,494,273,16,3547,7.18,12.99,22,295.6
Missouri (SEC),12,4-8,448,249,10,3545,7.91,14.24,25,295.4
Purdue (Big Ten),12,3-9,557,312,25,3539,6.35,11.34,25,294.9
North Carolina (ACC),13,8-5,459,313,6,3811,8.30,12.18,30,293.2
Louisville (ACC),13,9-4,436,248,10,3777,8.66,15.23,32,290.5
Baylor (Big 12),13,7-6,480,269,15,3652,7.61,13.58,33,280.9
Southern California (Pac-12),13,10-3,463,304,11,3593,7.76,11.82,33,276.4
Central Mich. (MAC),13,6-7,471,280,16,3589,7.62,12.82,23,276.1
Miami (FL) (ACC),13,9-4,426,263,7,3564,8.37,13.55,27,274.2
Indiana (Big Ten),13,6-7,456,263,18,3559,7.80,13.53,21,273.8
TCU (Big 12),13,6-7,503,295,14,3486,6.93,11.82,18,268.2
Tulsa (AAC),13,10-3,449,267,12,3449,7.68,12.92,33,265.3
Oregon (Pac-12),12,4-8,399,257,6,3183,7.98,12.39,28,265.3
Arkansas (SEC),13,7-6,406,247,15,3434,8.46,13.90,26,264.2
Florida St. (ACC),13,10-3,421,244,8,3433,8.15,14.07,23,264.1
SMU (AAC),12,5-7,456,248,17,3168,6.95,12.77,22,264.0
Virginia Tech (ACC),14,10-4,449,279,8,3666,8.16,13.14,31,261.9
Penn St. (Big Ten),14,11-3,391,226,8,3650,9.34,16.15,29,260.7
Troy (Sun Belt),13,10-3,492,315,13,3386,6.88,10.75,25,260.5
NC State (ACC),13,7-6,438,263,12,3383,7.72,12.86,20,260.2
Arizona St. (Pac-12),12,5-7,425,257,14,3111,7.32,12.11,16,259.3
Iowa St. (Big 12),12,3-9,398,235,8,3106,7.80,13.22,21,258.8
Washington (Pac-12),14,12-2,408,254,9,3623,8.88,14.26,47,258.8
West Virginia (Big 12),13,10-3,409,249,11,3343,8.17,13.43,26,257.2
Massachusetts (FBS Independent),12,2-10,436,253,15,3080,7.06,12.17,27,256.7
Cincinnati (AAC),12,4-8,453,259,15,3071,6.78,11.86,19,255.9
Akron (MAC),12,5-7,396,217,14,3063,7.73,14.12,25,255.3
Texas A&M (SEC),13,8-5,469,255,9,3317,7.07,13.01,25,255.2
Colorado (Pac-12),14,10-4,469,289,11,3563,7.60,12.33,21,254.5
Notre Dame (FBS Independent),12,4-8,388,224,9,3051,7.86,13.62,27,254.3
Western Mich. (MAC),14,13-1,378,263,4,3533,9.35,13.43,33,252.4
Texas (Big 12),12,5-7,402,241,12,3024,7.52,12.55,21,252.0
Idaho (Sun Belt),13,9-4,432,265,11,3240,7.50,12.23,19,249.2
Georgia St. (Sun Belt),12,3-9,419,231,15,2955,7.05,12.79,17,246.3
Northwestern (Big Ten),13,7-6,483,282,9,3186,6.60,11.30,22,245.1
New Mexico St. (Sun Belt),12,3-9,461,253,15,2939,6.38,11.62,22,244.9
Colorado St. (Mountain West),13,7-6,361,218,7,3181,8.81,14.59,29,244.7
South Alabama (Sun Belt),13,6-7,416,233,14,3169,7.62,13.60,15,243.8
Arkansas St. (Sun Belt),13,8-5,402,231,9,3148,7.83,13.63,21,242.2
Marshall (C-USA),12,3-9,438,264,12,2902,6.63,10.99,28,241.8
Kansas (Big 12),12,2-10,465,278,22,2885,6.20,10.38,16,240.4
Duke (ACC),12,4-8,443,277,9,2877,6.49,10.39,18,239.8
Virginia (ACC),12,2-10,487,266,16,2872,5.90,10.80,23,239.3
Tennessee (SEC),13,9-4,379,238,12,3100,8.18,13.03,28,238.5
Temple (AAC),14,10-4,403,232,13,3324,8.25,14.33,22,237.4
Old Dominion (C-USA),13,10-3,374,220,6,3042,8.13,13.83,31,234.0
Miami (OH) (MAC),13,6-7,358,212,7,2998,8.37,14.14,27,230.6
Ball St. (MAC),12,4-8,436,263,15,2750,6.31,10.46,14,229.2
Wyoming (Mountain West),14,8-6,379,210,15,3207,8.46,15.27,29,229.1
Hawaii (Mountain West),14,7-7,438,257,15,3185,7.27,12.39,25,227.5
FIU (C-USA),12,4-8,407,238,17,2720,6.68,11.43,19,226.7
South Fla. (AAC),13,11-2,358,225,8,2941,8.22,13.07,26,226.2
Bowling Green (MAC),12,4-8,449,243,25,2713,6.04,11.16,19,226.1
Ohio (MAC),14,8-6,458,250,12,3142,6.86,12.57,22,224.4
NIU (MAC),12,5-7,400,232,13,2688,6.72,11.59,20,224.0
