Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Wisconsin (Big Ten),14,11-3,489:35,34:58
Arkansas (SEC),13,7-6,451:28,34:43
Army West Point (FBS Independent),13,8-5,449:49,34:36
Air Force (Mountain West),13,10-3,442:44,34:03
Western Mich. (MAC),14,13-1,476:36,34:02
New Mexico (Mountain West),13,9-4,440:54,33:54
Utah (Pac-12),13,9-4,439:28,33:48
Georgia (SEC),13,8-5,438:16,33:42
App State (Sun Belt),13,10-3,436:46,33:35
Temple (AAC),14,10-4,469:35,33:32
Boston College (ACC),13,7-6,435:04,33:28
Southern Miss. (CUSA),13,7-6,434:56,33:27
Ohio St. (Big Ten),13,11-2,431:15,33:10
Houston (AAC),13,9-4,429:50,33:03
Michigan (Big Ten),13,10-3,429:38,33:02
Florida St. (ACC),13,10-3,428:00,32:55
Stanford (Pac-12),13,10-3,426:09,32:46
BYU (FBS Independent),13,9-4,424:37,32:39
Ga. Southern (Sun Belt),12,5-7,391:51,32:39
Kansas St. (Big 12),13,9-4,423:42,32:35
Washington St. (Pac-12),13,8-5,421:35,32:25
Miami (OH) (MAC),13,6-7,421:12,32:24
Tulane (AAC),12,4-8,388:42,32:23
Central Mich. (MAC),13,6-7,420:17,32:19
Oklahoma (Big 12),13,11-2,419:30,32:16
Nebraska (Big Ten),13,9-4,418:07,32:09
Idaho (Sun Belt),13,9-4,417:14,32:05
Southern California (Pac-12),13,10-3,414:45,31:54
NC State (ACC),13,7-6,413:59,31:50
Vanderbilt (SEC),13,6-7,413:28,31:48
Michigan St. (Big Ten),12,3-9,380:21,31:41
Wyoming (Mountain West),14,8-6,442:02,31:34
FIU (CUSA),12,4-8,378:49,31:34
UTSA (CUSA),13,6-7,408:47,31:26
Duke (ACC),12,4-8,377:06,31:25
San Diego St. (Mountain West),14,11-3,439:18,31:22
Virginia Tech (ACC),14,10-4,437:35,31:15
Florida (SEC),13,9-4,405:51,31:13
Navy (AAC),14,9-5,436:39,31:11
LSU (SEC),12,8-4,373:33,31:07
Minnesota (Big Ten),13,9-4,404:23,31:06
Washington (Pac-12),14,12-2,434:44,31:03
Ball St. (MAC),12,4-8,372:36,31:03
Ohio (MAC),14,8-6,433:52,30:59
Troy (Sun Belt),13,10-3,402:15,30:56
Alabama (SEC),15,14-1,463:59,30:55
Pittsburgh (ACC),13,8-5,401:33,30:53
Texas Tech (Big 12),12,5-7,370:22,30:51
Colorado (Pac-12),14,10-4,431:53,30:50
Wake Forest (ACC),13,7-6,400:38,30:49
Eastern Mich. (MAC),13,7-6,400:18,30:47
San Jose St. (Mountain West),12,4-8,369:27,30:47
Oregon St. (Pac-12),12,4-8,369:24,30:47
SMU (AAC),12,5-7,367:33,30:37
Clemson (ACC),15,14-1,459:01,30:36
Rice (CUSA),12,3-9,365:04,30:25
Georgia Tech (ACC),13,9-4,393:45,30:17
Arizona St. (Pac-12),12,5-7,362:14,30:11
Toledo (MAC),13,9-4,392:20,30:10
UTEP (CUSA),12,4-8,362:08,30:10
East Carolina (AAC),12,3-9,361:56,30:09
South Carolina (SEC),13,6-7,389:17,29:56
UConn (AAC),12,3-9,358:29,29:52
Marshall (CUSA),12,3-9,358:18,29:51
Kentucky (SEC),13,7-6,388:06,29:51
Tulsa (AAC),13,10-3,386:05,29:41
Louisiana (Sun Belt),13,6-7,386:02,29:41
Old Dominion (CUSA),13,10-3,385:43,29:40
Iowa St. (Big 12),12,3-9,355:53,29:39
Hawaii (Mountain West),14,7-7,413:50,29:33
South Alabama (Sun Belt),13,6-7,383:34,29:30
ULM (Sun Belt),12,4-8,353:19,29:26
Purdue (Big Ten),12,3-9,351:53,29:19
Colorado St. (Mountain West),13,7-6,380:58,29:18
Nevada (Mountain West),12,5-7,351:27,29:17
Auburn (SEC),13,8-5,379:21,29:10
West Virginia (Big 12),13,10-3,378:36,29:07
Arkansas St. (Sun Belt),13,8-5,377:25,29:01
Virginia (ACC),12,2-10,348:05,29:00
Charlotte (CUSA),12,4-8,347:54,28:59
Kent St. (MAC),12,3-9,347:38,28:58
Notre Dame (FBS Independent),12,4-8,347:10,28:55
Mississippi St. (SEC),13,6-7,375:06,28:51
Oklahoma St. (Big 12),13,10-3,375:00,28:50
Western Ky. (CUSA),14,11-3,403:44,28:50
Fresno St. (Mountain West),12,1-11,345:44,28:48
Louisville (ACC),13,9-4,374:08,28:46
Syracuse (ACC),12,4-8,344:21,28:41
Bowling Green (MAC),12,4-8,344:00,28:40
UNLV (Mountain West),12,4-8,341:17,28:26
Louisiana Tech (CUSA),14,9-5,397:18,28:22
California (Pac-12),12,5-7,339:38,28:18
Texas (Big 12),12,5-7,339:12,28:16
Middle Tenn. (CUSA),13,8-5,365:40,28:07
Indiana (Big Ten),13,6-7,365:36,28:07
TCU (Big 12),13,6-7,365:22,28:06
Boise St. (Mountain West),13,10-3,364:17,28:01
Miami (FL) (ACC),13,9-4,363:44,27:58
Kansas (Big 12),12,2-10,333:37,27:48
Maryland (Big Ten),13,6-7,361:05,27:46
NIU (MAC),12,5-7,333:16,27:46
Penn St. (Big Ten),14,11-3,388:17,27:44
Fla. Atlantic (CUSA),12,3-9,332:36,27:43
North Texas (CUSA),13,5-8,357:33,27:30
Iowa (Big Ten),13,8-5,356:51,27:27
UCF (AAC),13,6-7,356:49,27:26
Tennessee (SEC),13,9-4,356:13,27:24
Memphis (AAC),13,8-5,353:55,27:13
Texas St. (Sun Belt),12,2-10,326:19,27:11
Rutgers (Big Ten),12,2-10,326:02,27:10
Baylor (Big 12),13,7-6,351:11,27:00
Buffalo (MAC),12,2-10,323:42,26:58
Massachusetts (FBS Independent),12,2-10,323:39,26:58
South Fla. (AAC),13,11-2,348:35,26:48
Utah St. (Mountain West),12,3-9,321:00,26:45
UCLA (Pac-12),12,4-8,320:54,26:44
New Mexico St. (Sun Belt),12,3-9,318:57,26:34
Texas A&M (SEC),13,8-5,344:38,26:30
Cincinnati (AAC),12,4-8,317:57,26:29
Northwestern (Big Ten),13,7-6,344:00,26:27
Illinois (Big Ten),12,3-9,313:20,26:06
Akron (MAC),12,5-7,311:47,25:58
Ole Miss (SEC),12,5-7,311:13,25:56
Arizona (Pac-12),12,3-9,310:05,25:50
Oregon (Pac-12),12,4-8,308:48,25:44
Georgia St. (Sun Belt),12,3-9,306:52,25:34
North Carolina (ACC),13,8-5,317:05,24:23
Missouri (SEC),12,4-8,291:38,24:18
Coastal Carolina (FBS Independent),12,10-2,363:54,30:19
