Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Michigan (Big Ten),13,10-3,143,328,1853,11,5.65,12.96,142.5
Florida (SEC),13,9-4,148,328,1931,8,5.89,13.05,148.5
Temple (AAC),14,10-4,182,342,2130,13,6.23,11.70,152.1
Nevada (Mountain West),12,5-7,142,240,1901,12,7.92,13.39,158.4
Fresno St. (Mountain West),12,1-11,160,271,2012,21,7.42,12.58,167.7
Army West Point (FBS Independent),13,8-5,191,338,2213,14,6.55,11.59,170.2
Ohio St. (Big Ten),13,11-2,196,401,2239,11,5.58,11.42,172.2
Georgia St. (Sun Belt),12,3-9,193,355,2087,8,5.88,10.81,173.9
South Alabama (Sun Belt),13,6-7,188,313,2270,14,7.25,12.07,174.6
Southern Miss. (C-USA),13,7-6,170,312,2274,19,7.29,13.38,174.9
Utah St. (Mountain West),12,3-9,181,314,2118,20,6.75,11.70,176.5
North Carolina (ACC),13,8-5,183,328,2350,11,7.16,12.84,180.8
Buffalo (MAC),12,2-10,163,284,2178,15,7.67,13.36,181.5
Clemson (ACC),15,14-1,252,483,2728,13,5.65,10.83,181.9
Washington (Pac-12),14,12-2,257,449,2561,13,5.70,9.96,182.9
Georgia (SEC),13,8-5,200,339,2389,14,7.05,11.95,183.8
Illinois (Big Ten),12,3-9,194,308,2231,11,7.24,11.50,185.9
Rutgers (Big Ten),12,2-10,172,295,2238,21,7.59,13.01,186.5
San Jose St. (Mountain West),12,4-8,160,266,2263,18,8.51,14.14,188.6
Colorado (Pac-12),14,10-4,235,472,2710,18,5.74,11.53,193.6
Notre Dame (FBS Independent),12,4-8,193,313,2357,14,7.53,12.21,196.4
Kent St. (MAC),12,3-9,183,353,2361,16,6.69,12.90,196.8
LSU (SEC),12,8-4,194,364,2366,9,6.50,12.20,197.2
Alabama (SEC),15,14-1,273,507,2968,15,5.85,10.87,197.9
Western Mich. (MAC),14,13-1,223,395,2801,17,7.09,12.56,200.1
Virginia Tech (ACC),14,10-4,216,431,2803,18,6.50,12.98,200.2
North Texas (C-USA),13,5-8,182,354,2603,20,7.35,14.30,200.2
UCF (AAC),13,6-7,223,432,2610,16,6.04,11.70,200.8
Iowa (Big Ten),13,8-5,202,401,2618,18,6.53,12.96,201.4
Wisconsin (Big Ten),14,11-3,229,436,2836,13,6.50,12.38,202.6
App State (Sun Belt),13,10-3,255,444,2649,12,5.97,10.39,203.8
Colorado St. (Mountain West),13,7-6,185,315,2668,18,8.47,14.42,205.2
Tulane (AAC),12,4-8,187,344,2463,17,7.16,13.17,205.3
Boston College (ACC),13,7-6,213,381,2673,28,7.02,12.55,205.6
Kentucky (SEC),13,7-6,202,352,2679,20,7.61,13.26,206.1
Michigan St. (Big Ten),12,3-9,198,332,2474,19,7.45,12.49,206.2
Louisville (ACC),13,9-4,224,411,2692,29,6.55,12.02,207.1
Purdue (Big Ten),12,3-9,187,315,2489,22,7.90,13.31,207.4
South Carolina (SEC),13,6-7,243,403,2713,20,6.73,11.16,208.7
Miami (OH) (MAC),13,6-7,238,408,2715,15,6.65,11.41,208.8
UTEP (C-USA),12,4-8,210,346,2508,26,7.25,11.94,209.0
San Diego St. (Mountain West),14,11-3,240,445,2936,24,6.60,12.23,209.7
UCLA (Pac-12),12,4-8,245,441,2526,12,5.73,10.31,210.5
Oregon St. (Pac-12),12,4-8,226,402,2534,15,6.30,11.21,211.2
Maryland (Big Ten),13,6-7,221,394,2760,19,7.01,12.49,212.3
Boise St. (Mountain West),13,10-3,268,442,2769,19,6.26,10.33,213.0
Miami (FL) (ACC),13,9-4,262,446,2779,17,6.23,10.61,213.8
Ole Miss (SEC),12,5-7,206,350,2579,15,7.37,12.52,214.9
Nebraska (Big Ten),13,9-4,254,422,2806,16,6.65,11.05,215.8
Penn St. (Big Ten),14,11-3,292,472,3033,18,6.43,10.39,216.6
Arkansas St. (Sun Belt),13,8-5,230,424,2853,15,6.73,12.40,219.5
Houston (AAC),13,9-4,235,419,2853,19,6.81,12.14,219.5
Indiana (Big Ten),13,6-7,219,417,2856,17,6.85,13.04,219.7
Kansas (Big 12),12,2-10,211,357,2637,26,7.39,12.50,219.8
ULM (Sun Belt),12,4-8,192,322,2641,22,8.20,13.76,220.1
Toledo (MAC),13,9-4,227,414,2870,24,6.93,12.64,220.8
Florida St. (ACC),13,10-3,224,404,2874,18,7.11,12.83,221.1
Arkansas (SEC),13,7-6,218,370,2875,12,7.77,13.19,221.2
New Mexico (Mountain West),13,9-4,201,345,2890,24,8.38,14.38,222.3
Central Mich. (MAC),13,6-7,248,414,2898,33,7.00,11.69,222.9
Stanford (Pac-12),13,10-3,239,437,2907,18,6.65,12.16,223.6
East Carolina (AAC),12,3-9,194,338,2691,17,7.96,13.87,224.3
Old Dominion (C-USA),13,10-3,245,418,2944,21,7.04,12.02,226.5
Hawaii (Mountain West),14,7-7,246,393,3183,29,8.10,12.94,227.4
Southern California (Pac-12),13,10-3,250,439,2958,24,6.74,11.83,227.5
Wake Forest (ACC),13,7-6,241,418,2966,16,7.10,12.31,228.2
Auburn (SEC),13,8-5,270,466,2979,14,6.39,11.03,229.2
Georgia Tech (ACC),13,9-4,270,434,2982,14,6.87,11.04,229.4
Ga. Southern (Sun Belt),12,5-7,210,355,2754,16,7.76,13.11,229.5
UTSA (C-USA),13,6-7,224,408,2984,22,7.31,13.32,229.5
Baylor (Big 12),13,7-6,226,412,2992,17,7.26,13.24,230.2
Tennessee (SEC),13,9-4,238,432,2999,18,6.94,12.60,230.7
Minnesota (Big Ten),13,9-4,274,487,3002,22,6.16,10.96,230.9
Cincinnati (AAC),12,4-8,239,389,2799,18,7.20,11.71,233.3
Iowa St. (Big 12),12,3-9,235,385,2817,25,7.32,11.99,234.8
FIU (C-USA),12,4-8,226,366,2830,22,7.73,12.52,235.8
TCU (Big 12),13,6-7,244,428,3106,19,7.26,12.73,238.9
Duke (ACC),12,4-8,177,322,2877,21,8.93,16.25,239.8
Akron (MAC),12,5-7,239,390,2896,22,7.43,12.12,241.3
SMU (AAC),12,5-7,239,408,2910,22,7.13,12.18,242.5
UNLV (Mountain West),12,4-8,210,395,2918,23,7.39,13.90,243.2
NC State (ACC),13,7-6,275,470,3174,16,6.75,11.54,244.2
Vanderbilt (SEC),13,6-7,271,444,3180,20,7.16,11.73,244.6
