Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Princeton (Ivy League),10,9-1,51,91,7,149
Dartmouth (Ivy League),10,9-1,57,82,17,156
Chattanooga (SoCon),11,6-5,76,72,18,166
Duquesne (NEC),10,7-3,61,92,20,173
Sacred Heart (NEC),12,8-4,93,64,16,173
Harvard (Ivy League),10,8-2,47,103,24,174
Penn (Ivy League),10,3-7,72,86,18,176
Weber St. (Big Sky),11,6-5,64,97,16,177
Yale (Ivy League),10,5-5,62,87,28,177
Florida A&M (SWAC),12,9-3,60,90,28,178
Mercer (SoCon),10,7-3,83,85,10,178
San Diego (Pioneer),11,7-4,72,95,12,179
Delaware St. (MEAC),11,5-6,68,87,25,180
Delaware (CAA),11,5-6,74,92,16,182
Richmond (CAA),11,6-5,68,103,15,186
Charleston So. (Big South),10,4-6,62,109,16,187
Alabama St. (SWAC),11,5-6,79,84,25,188
UNI (MVFC),12,6-6,64,114,12,190
Columbia (Ivy League),10,7-3,74,101,16,191
Stony Brook (CAA),11,5-6,69,104,18,191
Drake (Pioneer),10,2-8,90,91,11,192
Cornell (Ivy League),10,2-8,75,98,22,195
Stetson (Pioneer),10,3-7,78,97,20,195
North Dakota (MVFC),11,5-6,91,94,12,197
Holy Cross (Patriot),13,10-3,67,101,30,198
Alabama A&M (SWAC),10,7-3,79,102,18,199
Alcorn (SWAC),11,6-5,80,102,17,199
Georgetown (Patriot),10,2-8,87,93,19,199
Murray St. (OVC),11,6-5,88,95,16,199
Bryant (NEC),11,7-4,68,114,20,202
Jackson St. (SWAC),13,11-2,84,86,32,202
Tennessee St. (OVC),11,5-6,89,91,22,202
Illinois St. (MVFC),11,4-7,82,104,17,203
Elon (CAA),11,6-5,81,114,10,205
UAlbany (CAA),11,2-9,99,85,21,205
Villanova (CAA),13,10-3,90,92,23,205
Lamar University (WAC),10,1-9,92,101,13,206
Mississippi Val. (SWAC),11,4-7,80,108,18,206
Furman (SoCon),11,6-5,86,106,15,207
Lafayette (Patriot),11,3-8,88,105,15,208
North Dakota St. (MVFC),15,14-1,72,118,18,208
William & Mary (CAA),11,6-5,72,123,13,208
Eastern Ill. (OVC),11,1-10,102,89,18,209
Norfolk St. (MEAC),11,6-5,76,115,18,209
Tennessee Tech (OVC),11,3-8,91,99,19,209
Prairie View (SWAC),12,7-5,103,92,15,210
Lehigh (Patriot),11,3-8,91,104,16,211
Howard (MEAC),11,3-8,96,101,15,212
Austin Peay (OVC),11,6-5,85,106,22,213
Eastern Ky. (ASUN),11,7-4,87,111,15,213
Marist (Pioneer),10,5-5,95,109,9,213
Sam Houston (WAC),12,11-1,55,133,25,213
Colgate (Patriot),11,5-6,102,101,11,214
Presbyterian (Pioneer),11,2-9,106,92,16,214
South Dakota (MVFC),12,7-5,78,124,12,214
N.C. A&T (Big South),11,5-6,72,108,35,215
Central Conn. St. (NEC),11,4-7,82,110,24,216
Davidson (Pioneer),11,8-3,87,102,27,216
Monmouth (Big South),11,7-4,79,114,23,216
Butler (Pioneer),11,3-8,109,99,9,217
Robert Morris (Big South),10,4-6,100,103,15,218
Towson (CAA),11,4-7,96,101,21,218
James Madison (CAA),14,12-2,80,117,22,219
Valparaiso (Pioneer),11,4-7,85,110,24,219
Central Ark. (ASUN),11,5-6,96,97,27,220
SFA (WAC),12,8-4,89,101,30,220
Grambling (SWAC),11,4-7,94,114,13,221
McNeese (Southland),11,4-7,73,123,25,221
Saint Francis (PA) (NEC),11,5-6,107,89,25,221
Kennesaw St. (Big South),13,11-2,74,128,20,222
Rhode Island (CAA),11,7-4,96,111,15,222
Abilene Christian (WAC),11,5-6,107,101,15,223
Brown (Ivy League),10,2-8,89,118,16,223
Sacramento St. (Big Sky),12,9-3,94,107,22,223
Gardner-Webb (Big South),11,4-7,106,102,17,225
Maine (CAA),11,6-5,89,108,28,225
Missouri St. (MVFC),12,8-4,72,125,28,225
South Carolina St. (MEAC),12,7-5,85,117,23,225
Southeast Mo. St. (OVC),11,4-7,93,117,15,225
Dayton (Pioneer),10,6-4,78,130,18,226
LIU (NEC),10,2-8,102,115,9,226
Nicholls (Southland),11,6-5,83,125,19,227
The Citadel (SoCon),11,4-7,114,99,13,227
Indiana St. (MVFC),11,5-6,108,102,20,230
Northern Colo. (Big Sky),11,3-8,102,113,15,230
Portland St. (Big Sky),11,5-6,89,118,23,230
VMI (SoCon),11,6-5,124,92,14,230
Western Ill. (MVFC),11,2-9,114,100,17,231
Southern U. (SWAC),11,4-7,104,106,22,232
Youngstown St. (MVFC),10,3-7,99,110,24,233
Jacksonville St. (ASUN),11,5-6,99,116,21,236
Campbell (Big South),11,3-8,94,119,24,237
Hampton (Big South),11,5-6,87,129,22,238
Idaho St. (Big Sky),11,1-10,104,119,15,238
N.C. Central (MEAC),11,6-5,105,114,19,238
Morgan St. (MEAC),11,2-9,105,120,14,239
UT Martin (OVC),13,10-3,96,122,21,239
Wagner (NEC),11,0-11,110,103,26,239
Morehead St. (Pioneer),11,7-4,105,113,22,240
New Hampshire (CAA),11,3-8,107,124,11,242
Idaho (Big Sky),11,4-7,106,119,19,244
Ark.-Pine Bluff (SWAC),11,2-9,97,129,19,245
Montana (Big Sky),13,10-3,71,151,23,245
Montana St. (Big Sky),15,12-3,104,132,11,247
Bethune-Cookman (SWAC),11,2-9,108,122,18,248
Northwestern St. (Southland),11,3-8,102,127,19,248
Western Caro. (SoCon),11,4-7,128,102,21,251
Northern Ariz. (Big Sky),11,5-6,93,136,23,252
Bucknell (Patriot),11,1-10,147,97,13,257
Texas Southern (SWAC),10,2-8,117,118,22,257
Wofford (SoCon),11,1-10,138,112,8,258
ETSU (SoCon),13,11-2,108,136,16,260
Eastern Wash. (Big Sky),13,10-3,110,125,25,260
Southern Utah (Big Sky),11,1-10,115,126,19,260
UC Davis (Big Sky),12,8-4,109,136,19,264
Samford (SoCon),11,4-7,131,116,19,267
Southern Ill. (MVFC),13,8-5,132,112,24,268
Cal Poly (Big Sky),11,2-9,138,116,18,272
Southeastern La. (Southland),13,9-4,102,153,29,284
Fordham (Patriot),11,6-5,134,132,22,288
Houston Christian (Southland),11,0-11,132,135,25,292
South Dakota St. (MVFC),15,11-4,102,169,21,292
UIW (Southland),13,10-3,131,155,25,311
St. Thomas (MN) (Pioneer),10,7-3,72,79,15,166
Merrimack (NEC),11,5-6,110,66,34,210
Tarleton St. (WAC),11,6-5,110,99,27,236
North Ala. (Big South),11,3-8,117,113,21,251
Utah Tech (WAC),11,1-10,133,103,19,255
