Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Wofford (SoCon),11,1-10,44,347,31.55
Mercer (SoCon),10,7-3,38,322,32.20
Bucknell (Patriot),11,1-10,51,360,32.73
Montana St. (Big Sky),15,12-3,57,502,33.47
Princeton (Ivy League),10,9-1,41,346,34.60
Furman (SoCon),11,6-5,40,388,35.27
Butler (Pioneer),11,3-8,42,402,36.55
Colgate (Patriot),11,5-6,49,409,37.18
North Dakota (MVFC),11,5-6,47,428,38.91
Delaware (CAA),11,5-6,49,430,39.09
South Dakota (MVFC),12,7-5,56,472,39.33
Howard (MEAC),11,3-8,53,438,39.82
Lafayette (Patriot),11,3-8,52,441,40.09
Robert Morris (Big South),10,4-6,48,410,41.00
Lamar University (WAC),10,1-9,48,413,41.30
New Hampshire (CAA),11,3-8,63,468,42.55
Kennesaw St. (Big South),13,11-2,59,558,42.92
Brown (Ivy League),10,2-8,49,437,43.70
Southern Utah (Big Sky),11,1-10,54,482,43.82
Charleston So. (Big South),10,4-6,45,446,44.60
The Citadel (SoCon),11,4-7,54,493,44.82
Elon (CAA),11,6-5,62,495,45.00
Cal Poly (Big Sky),11,2-9,59,498,45.27
Prairie View (SWAC),12,7-5,60,545,45.42
Marist (Pioneer),10,5-5,60,455,45.50
North Dakota St. (MVFC),15,14-1,77,685,45.67
UC Davis (Big Sky),12,8-4,59,548,45.67
Drake (Pioneer),10,2-8,52,457,45.70
LIU (NEC),10,2-8,53,463,46.30
Saint Francis (PA) (NEC),11,5-6,63,514,46.73
Monmouth (Big South),11,7-4,63,528,48.00
UAlbany (CAA),11,2-9,59,531,48.27
Samford (SoCon),11,4-7,53,532,48.36
Grambling (SWAC),11,4-7,50,535,48.64
Dartmouth (Ivy League),10,9-1,52,487,48.70
Lehigh (Patriot),11,3-8,56,536,48.73
Rhode Island (CAA),11,7-4,65,538,48.91
Youngstown St. (MVFC),10,3-7,46,492,49.20
Idaho St. (Big Sky),11,1-10,59,544,49.45
Sacred Heart (NEC),12,8-4,62,594,49.50
Dayton (Pioneer),10,6-4,53,496,49.60
Illinois St. (MVFC),11,4-7,66,547,49.73
Northern Ariz. (Big Sky),11,5-6,61,549,49.91
Towson (CAA),11,4-7,61,554,50.36
VMI (SoCon),11,6-5,60,558,50.73
Murray St. (OVC),11,6-5,61,565,51.36
Weber St. (Big Sky),11,6-5,66,572,52.00
Eastern Ill. (OVC),11,1-10,66,574,52.18
ETSU (SoCon),13,11-2,74,679,52.23
James Madison (CAA),14,12-2,84,733,52.36
Alcorn (SWAC),11,6-5,73,577,52.45
UT Martin (OVC),13,10-3,78,684,52.62
Mississippi Val. (SWAC),11,4-7,69,583,53.00
Presbyterian (Pioneer),11,2-9,82,583,53.00
Richmond (CAA),11,6-5,66,584,53.09
Western Caro. (SoCon),11,4-7,75,584,53.09
Montana (Big Sky),13,10-3,69,692,53.23
San Diego (Pioneer),11,7-4,61,586,53.27
UNI (MVFC),12,6-6,73,640,53.33
Southeast Mo. St. (OVC),11,4-7,64,588,53.45
Fordham (Patriot),11,6-5,62,591,53.73
William & Mary (CAA),11,6-5,64,593,53.91
South Dakota St. (MVFC),15,11-4,92,809,53.93
Abilene Christian (WAC),11,5-6,59,594,54.00
Hampton (Big South),11,5-6,74,596,54.18
Norfolk St. (MEAC),11,6-5,67,596,54.18
Chattanooga (SoCon),11,6-5,60,600,54.55
Columbia (Ivy League),10,7-3,65,551,55.10
Indiana St. (MVFC),11,5-6,72,610,55.45
Southern Ill. (MVFC),13,8-5,78,721,55.46
Nicholls (Southland),11,6-5,66,612,55.64
Harvard (Ivy League),10,8-2,56,559,55.90
Austin Peay (OVC),11,6-5,78,615,55.91
Eastern Wash. (Big Sky),13,10-3,76,730,56.15
Ark.-Pine Bluff (SWAC),11,2-9,66,618,56.18
Texas Southern (SWAC),10,2-8,64,566,56.60
Houston Christian (Southland),11,0-11,70,627,57.00
McNeese (Southland),11,4-7,68,627,57.00
Missouri St. (MVFC),12,8-4,71,684,57.00
Stony Brook (CAA),11,5-6,78,627,57.00
Idaho (Big Sky),11,4-7,69,629,57.18
Gardner-Webb (Big South),11,4-7,69,636,57.82
Northwestern St. (Southland),11,3-8,68,637,57.91
Sacramento St. (Big Sky),12,9-3,81,702,58.50
SFA (WAC),12,8-4,83,704,58.67
Duquesne (NEC),10,7-3,65,590,59.00
Morgan St. (MEAC),11,2-9,72,650,59.09
Northern Colo. (Big Sky),11,3-8,73,651,59.18
Eastern Ky. (ASUN),11,7-4,76,654,59.45
Holy Cross (Patriot),13,10-3,85,776,59.69
Georgetown (Patriot),10,2-8,65,597,59.70
Villanova (CAA),13,10-3,77,780,60.00
Tennessee Tech (OVC),11,3-8,68,661,60.09
Penn (Ivy League),10,3-7,71,602,60.20
Delaware St. (MEAC),11,5-6,73,669,60.82
Portland St. (Big Sky),11,5-6,77,670,60.91
Sam Houston (WAC),12,11-1,75,734,61.17
Wagner (NEC),11,0-11,86,680,61.82
Stetson (Pioneer),10,3-7,75,619,61.90
Alabama St. (SWAC),11,5-6,78,689,62.64
Central Ark. (ASUN),11,5-6,64,697,63.36
Southern U. (SWAC),11,4-7,79,697,63.36
Morehead St. (Pioneer),11,7-4,70,702,63.82
Western Ill. (MVFC),11,2-9,78,716,65.09
Bethune-Cookman (SWAC),11,2-9,83,722,65.64
South Carolina St. (MEAC),12,7-5,87,788,65.67
Bryant (NEC),11,7-4,93,732,66.55
UIW (Southland),13,10-3,106,880,67.69
Cornell (Ivy League),10,2-8,71,677,67.70
Maine (CAA),11,6-5,79,748,68.00
N.C. Central (MEAC),11,6-5,79,751,68.27
Davidson (Pioneer),11,8-3,78,756,68.73
Southeastern La. (Southland),13,9-4,101,894,68.77
Tennessee St. (OVC),11,5-6,92,759,69.00
Campbell (Big South),11,3-8,87,785,71.36
Central Conn. St. (NEC),11,4-7,87,790,71.82
Jacksonville St. (ASUN),11,5-6,86,795,72.27
Alabama A&M (SWAC),10,7-3,80,723,72.30
Yale (Ivy League),10,5-5,72,726,72.60
Jackson St. (SWAC),13,11-2,111,951,73.15
Valparaiso (Pioneer),11,4-7,90,812,73.82
N.C. A&T (Big South),11,5-6,91,867,78.82
Florida A&M (SWAC),12,9-3,107,1022,85.17
St. Thomas (MN) (Pioneer),10,7-3,46,407,40.70
Utah Tech (WAC),11,1-10,58,516,46.91
North Ala. (Big South),11,3-8,84,702,63.82
Tarleton St. (WAC),11,6-5,80,736,66.91
Merrimack (NEC),11,5-6,96,842,76.55
