Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Kennesaw St. (Big South),13,11-2,33,6,9,4,19,0.576
Dartmouth (Ivy League),10,9-1,25,6,5,5,16,0.640
San Diego (Pioneer),11,7-4,28,11,5,2,18,0.643
Morehead St. (Pioneer),11,7-4,53,15,13,7,35,0.660
North Dakota St. (MVFC),15,14-1,25,5,6,6,17,0.680
Drake (Pioneer),10,2-8,35,14,5,5,24,0.686
Illinois St. (MVFC),11,4-7,42,13,12,4,29,0.690
Harvard (Ivy League),10,8-2,26,4,5,9,18,0.692
Montana (Big Sky),13,10-3,33,8,10,5,23,0.697
Elon (CAA),11,6-5,40,11,12,5,28,0.700
Duquesne (NEC),10,7-3,37,13,8,5,26,0.703
Sacramento St. (Big Sky),12,9-3,35,17,6,2,25,0.714
Towson (CAA),11,4-7,42,17,8,5,30,0.714
Southeastern La. (Southland),13,9-4,43,16,13,2,31,0.721
Eastern Ky. (ASUN),11,7-4,47,20,4,10,34,0.723
Florida A&M (SWAC),12,9-3,33,11,10,3,24,0.727
South Carolina St. (MEAC),12,7-5,44,14,13,5,32,0.727
Montana St. (Big Sky),15,12-3,34,9,7,9,25,0.735
Fordham (Patriot),11,6-5,57,30,8,4,42,0.737
Gardner-Webb (Big South),11,4-7,42,14,12,5,31,0.738
Saint Francis (PA) (NEC),11,5-6,31,12,5,6,23,0.742
Youngstown St. (MVFC),10,3-7,43,12,15,5,32,0.744
Marist (Pioneer),10,5-5,40,16,7,7,30,0.750
Sam Houston (WAC),12,11-1,32,7,12,5,24,0.750
LIU (NEC),10,2-8,53,19,15,6,40,0.755
ETSU (SoCon),13,11-2,45,17,9,8,34,0.756
N.C. Central (MEAC),11,6-5,45,14,14,6,34,0.756
South Dakota St. (MVFC),15,11-4,45,14,12,8,34,0.756
Charleston So. (Big South),10,4-6,41,15,9,7,31,0.756
Presbyterian (Pioneer),11,2-9,78,40,15,4,59,0.756
Penn (Ivy League),10,3-7,33,11,4,10,25,0.758
SFA (WAC),12,8-4,33,10,9,6,25,0.758
UC Davis (Big Sky),12,8-4,42,15,10,7,32,0.762
Valparaiso (Pioneer),11,4-7,38,15,8,6,29,0.763
Texas Southern (SWAC),10,2-8,55,22,13,7,42,0.764
Villanova (CAA),13,10-3,34,14,2,10,26,0.765
New Hampshire (CAA),11,3-8,47,15,11,10,36,0.766
Morgan St. (MEAC),11,2-9,43,14,11,8,33,0.767
UIW (Southland),13,10-3,56,22,10,11,43,0.768
South Dakota (MVFC),12,7-5,35,9,11,7,27,0.771
North Dakota (MVFC),11,5-6,31,8,9,7,24,0.774
Southeast Mo. St. (OVC),11,4-7,40,14,11,6,31,0.775
Eastern Wash. (Big Sky),13,10-3,49,23,9,6,38,0.776
Eastern Ill. (OVC),11,1-10,36,17,7,4,28,0.778
Northwestern St. (Southland),11,3-8,46,22,9,5,36,0.783
Chattanooga (SoCon),11,6-5,28,2,9,11,22,0.786
VMI (SoCon),11,6-5,42,22,5,6,33,0.786
Portland St. (Big Sky),11,5-6,47,13,17,7,37,0.787
Sacred Heart (NEC),12,8-4,19,5,4,6,15,0.789
Davidson (Pioneer),11,8-3,43,17,16,1,34,0.791
Southern Ill. (MVFC),13,8-5,48,17,13,8,38,0.792
Campbell (Big South),11,3-8,39,12,11,8,31,0.795
Furman (SoCon),11,6-5,39,14,8,9,31,0.795
Grambling (SWAC),11,4-7,39,12,12,7,31,0.795
Austin Peay (OVC),11,6-5,40,12,13,7,32,0.800
Maine (CAA),11,6-5,45,13,11,12,36,0.800
Yale (Ivy League),10,5-5,35,13,9,6,28,0.800
Wagner (NEC),11,0-11,56,23,15,7,45,0.804
Idaho (Big Sky),11,4-7,46,17,16,4,37,0.804
McNeese (Southland),11,4-7,41,11,14,8,33,0.805
Southern U. (SWAC),11,4-7,57,20,13,13,46,0.807
Mississippi Val. (SWAC),11,4-7,42,12,15,7,34,0.810
UAlbany (CAA),11,2-9,37,18,5,7,30,0.811
Central Conn. St. (NEC),11,4-7,43,14,13,8,35,0.814
Princeton (Ivy League),10,9-1,27,5,11,6,22,0.815
Bryant (NEC),11,7-4,38,12,11,8,31,0.816
Cornell (Ivy League),10,2-8,38,15,10,6,31,0.816
Rhode Island (CAA),11,7-4,44,19,10,7,36,0.818
Richmond (CAA),11,6-5,33,9,7,11,27,0.818
Abilene Christian (WAC),11,5-6,39,9,14,9,32,0.821
Georgetown (Patriot),10,2-8,34,16,8,4,28,0.824
Indiana St. (MVFC),11,5-6,40,12,11,10,33,0.825
Monmouth (Big South),11,7-4,40,17,11,5,33,0.825
Alcorn (SWAC),11,6-5,35,15,6,8,29,0.829
Dayton (Pioneer),10,6-4,35,10,10,9,29,0.829
UNI (MVFC),12,6-6,35,11,5,13,29,0.829
N.C. A&T (Big South),11,5-6,36,15,7,8,30,0.833
The Citadel (SoCon),11,4-7,42,20,6,9,35,0.833
Missouri St. (MVFC),12,8-4,39,14,13,6,33,0.846
Murray St. (OVC),11,6-5,39,23,5,5,33,0.846
Nicholls (Southland),11,6-5,39,12,13,8,33,0.846
Cal Poly (Big Sky),11,2-9,46,23,11,5,39,0.848
Northern Ariz. (Big Sky),11,5-6,46,17,11,11,39,0.848
Western Ill. (MVFC),11,2-9,46,19,9,11,39,0.848
Central Ark. (ASUN),11,5-6,40,11,11,12,34,0.850
Prairie View (SWAC),12,7-5,40,17,10,7,34,0.850
Robert Morris (Big South),10,4-6,40,17,12,5,34,0.850
Jackson St. (SWAC),13,11-2,27,5,7,11,23,0.852
Idaho St. (Big Sky),11,1-10,48,15,15,11,41,0.854
Alabama A&M (SWAC),10,7-3,42,15,14,7,36,0.857
James Madison (CAA),14,12-2,21,4,6,8,18,0.857
Howard (MEAC),11,3-8,43,21,7,9,37,0.860
Lehigh (Patriot),11,3-8,43,15,9,13,37,0.860
Tennessee St. (OVC),11,5-6,36,11,8,12,31,0.861
Holy Cross (Patriot),13,10-3,29,11,7,7,25,0.862
UT Martin (OVC),13,10-3,44,9,13,16,38,0.864
Jacksonville St. (ASUN),11,5-6,37,18,8,6,32,0.865
Columbia (Ivy League),10,7-3,30,13,8,5,26,0.867
Houston Christian (Southland),11,0-11,60,22,18,12,52,0.867
Norfolk St. (MEAC),11,6-5,38,15,11,7,33,0.868
Stony Brook (CAA),11,5-6,38,13,14,6,33,0.868
Tennessee Tech (OVC),11,3-8,38,13,10,10,33,0.868
Mercer (SoCon),10,7-3,31,13,9,5,27,0.871
Weber St. (Big Sky),11,6-5,31,12,8,7,27,0.871
Ark.-Pine Bluff (SWAC),11,2-9,47,11,21,9,41,0.872
Hampton (Big South),11,5-6,48,22,10,10,42,0.875
Southern Utah (Big Sky),11,1-10,57,26,15,9,50,0.877
Samford (SoCon),11,4-7,51,25,11,9,45,0.882
William & Mary (CAA),11,6-5,34,9,9,12,30,0.882
Lafayette (Patriot),11,3-8,36,16,6,10,32,0.889
Stetson (Pioneer),10,3-7,36,18,7,7,32,0.889
Bucknell (Patriot),11,1-10,55,28,9,12,49,0.891
Butler (Pioneer),11,3-8,47,26,10,6,42,0.894
Bethune-Cookman (SWAC),11,2-9,48,23,12,8,43,0.896
Delaware (CAA),11,5-6,29,11,4,11,26,0.897
Brown (Ivy League),10,2-8,40,22,11,3,36,0.900
Delaware St. (MEAC),11,5-6,30,11,11,5,27,0.900
Wofford (SoCon),11,1-10,42,18,9,11,38,0.905
Colgate (Patriot),11,5-6,34,16,7,8,31,0.912
Lamar University (WAC),10,1-9,41,21,13,4,38,0.927
Alabama St. (SWAC),11,5-6,31,18,5,6,29,0.935
Northern Colo. (Big Sky),11,3-8,47,20,8,16,44,0.936
Western Caro. (SoCon),11,4-7,54,34,13,4,51,0.944
St. Thomas (MN) (Pioneer),10,7-3,22,5,5,6,16,0.727
North Ala. (Big South),11,3-8,51,20,15,6,41,0.804
Utah Tech (WAC),11,1-10,55,23,13,9,45,0.818
Tarleton St. (WAC),11,6-5,31,11,9,6,26,0.839
Merrimack (NEC),11,5-6,49,17,13,13,43,0.878
