Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Sacred Heart (NEC),12,8-4,133,267,1421,8,5.32,10.68,118.4
Chattanooga (SoCon),11,6-5,155,276,1689,15,6.12,10.90,153.5
Jackson St. (SWAC),13,11-2,193,401,2042,14,5.09,10.58,157.1
Dartmouth (Ivy League),10,9-1,189,299,1599,8,5.35,8.46,159.9
Villanova (CAA),13,10-3,202,381,2111,9,5.54,10.45,162.4
UAlbany (CAA),11,2-9,156,265,1792,9,6.76,11.49,162.9
Holy Cross (Patriot),13,10-3,190,362,2159,15,5.96,11.36,166.1
Eastern Ill. (OVC),11,1-10,154,261,1887,14,7.23,12.25,171.5
Weber St. (Big Sky),11,6-5,193,341,1902,11,5.58,9.85,172.9
Prairie View (SWAC),12,7-5,183,349,2100,19,6.02,11.48,175.0
North Dakota St. (MVFC),15,14-1,251,437,2657,12,6.08,10.59,177.1
Mercer (SoCon),10,7-3,170,284,1794,13,6.32,10.55,179.4
Drake (Pioneer),10,2-8,173,289,1805,10,6.25,10.43,180.5
Lafayette (Patriot),11,3-8,168,290,1999,10,6.89,11.90,181.7
Saint Francis (PA) (NEC),11,5-6,186,322,2005,14,6.23,10.78,182.3
Montana St. (Big Sky),15,12-3,227,404,2752,13,6.81,12.12,183.5
Florida A&M (SWAC),12,9-3,187,353,2203,12,6.24,11.78,183.6
Murray St. (OVC),11,6-5,173,307,2022,10,6.59,11.69,183.8
Georgetown (Patriot),10,2-8,159,255,1852,16,7.26,11.65,185.2
Southern Ill. (MVFC),13,8-5,223,367,2420,16,6.59,10.85,186.2
James Madison (CAA),14,12-2,222,410,2607,16,6.36,11.74,186.2
Delaware St. (MEAC),11,5-6,159,286,2118,21,7.41,13.32,192.5
Davidson (Pioneer),11,8-3,212,358,2130,21,5.95,10.05,193.6
Penn (Ivy League),10,3-7,158,288,1943,8,6.75,12.30,194.3
Colgate (Patriot),11,5-6,193,313,2163,12,6.91,11.21,196.6
Alabama St. (SWAC),11,5-6,152,310,2168,18,6.99,14.26,197.1
North Dakota (MVFC),11,5-6,186,297,2171,18,7.31,11.67,197.4
Western Caro. (SoCon),11,4-7,174,309,2173,17,7.03,12.49,197.5
SFA (WAC),12,8-4,214,383,2378,16,6.21,11.11,198.2
Grambling (SWAC),11,4-7,183,320,2180,18,6.81,11.91,198.2
Stony Brook (CAA),11,5-6,199,339,2183,20,6.44,10.97,198.5
Butler (Pioneer),11,3-8,166,263,2199,18,8.36,13.25,199.9
Princeton (Ivy League),10,9-1,212,362,2009,14,5.55,9.48,200.9
Delaware (CAA),11,5-6,177,308,2254,11,7.32,12.73,204.9
Kennesaw St. (Big South),13,11-2,239,392,2672,19,6.82,11.18,205.5
Rhode Island (CAA),11,7-4,195,345,2270,14,6.58,11.64,206.4
Duquesne (NEC),10,7-3,162,284,2066,13,7.27,12.75,206.6
Tennessee St. (OVC),11,5-6,182,336,2286,16,6.80,12.56,207.8
Sacramento St. (Big Sky),12,9-3,236,392,2497,11,6.37,10.58,208.1
Bucknell (Patriot),11,1-10,175,274,2294,18,8.37,13.11,208.5
Northern Colo. (Big Sky),11,3-8,199,326,2303,14,7.06,11.57,209.4
Austin Peay (OVC),11,6-5,199,396,2304,20,5.82,11.58,209.5
N.C. Central (MEAC),11,6-5,226,359,2306,17,6.42,10.20,209.6
Yale (Ivy League),10,5-5,179,331,2098,15,6.34,11.72,209.8
The Citadel (SoCon),11,4-7,161,263,2308,17,8.78,14.34,209.8
Abilene Christian (WAC),11,5-6,190,312,2309,25,7.40,12.15,209.9
Towson (CAA),11,4-7,173,292,2310,14,7.91,13.35,210.0
VMI (SoCon),11,6-5,167,309,2318,13,7.50,13.88,210.7
UT Martin (OVC),13,10-3,236,420,2745,23,6.54,11.63,211.2
Lehigh (Patriot),11,3-8,208,343,2334,17,6.80,11.22,212.2
Cornell (Ivy League),10,2-8,187,315,2126,15,6.75,11.37,212.6
Gardner-Webb (Big South),11,4-7,197,326,2347,20,7.20,11.91,213.4
Illinois St. (MVFC),11,4-7,197,332,2352,15,7.08,11.94,213.8
Howard (MEAC),11,3-8,179,289,2356,15,8.15,13.16,214.2
Presbyterian (Pioneer),11,2-9,172,281,2364,27,8.41,13.74,214.9
Southern U. (SWAC),11,4-7,190,300,2368,19,7.89,12.46,215.3
San Diego (Pioneer),11,7-4,165,329,2372,16,7.21,14.38,215.6
Richmond (CAA),11,6-5,201,350,2392,14,6.83,11.90,217.5
South Carolina St. (MEAC),12,7-5,204,395,2619,20,6.63,12.84,218.2
UNI (MVFC),12,6-6,248,411,2619,10,6.37,10.56,218.2
Bryant (NEC),11,7-4,202,339,2405,16,7.09,11.91,218.6
Eastern Wash. (Big Sky),13,10-3,254,435,2880,14,6.62,11.34,221.5
South Dakota (MVFC),12,7-5,247,373,2669,16,7.16,10.81,222.4
Tennessee Tech (OVC),11,3-8,216,357,2454,21,6.87,11.36,223.1
Stetson (Pioneer),10,3-7,166,279,2236,17,8.01,13.47,223.6
Wofford (SoCon),11,1-10,198,300,2474,21,8.25,12.49,224.9
Maine (CAA),11,6-5,195,330,2481,22,7.52,12.72,225.5
Indiana St. (MVFC),11,5-6,190,327,2516,23,7.69,13.24,228.7
