Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Monmouth (Big South),11,7-4,47,40,3,0,8,0,346,31.5
VMI (SoCon),11,6-5,42,39,1,0,17,0,342,31.1
Weber St. (Big Sky),11,6-5,44,40,2,0,12,0,340,30.9
Southern Ill. (MVFC),13,8-5,50,44,2,0,18,0,398,30.6
Dartmouth (Ivy League),10,9-1,41,39,0,0,7,0,306,30.6
Dayton (Pioneer),10,6-4,40,36,2,0,9,1,303,30.5
Sacramento St. (Big Sky),12,9-3,43,39,1,0,21,1,360,30.2
UT Martin (OVC),13,10-3,53,49,0,0,7,1,388,30.0
Villanova (CAA),13,10-3,49,44,1,0,17,0,389,29.9
Bryant (NEC),11,7-4,44,39,2,0,7,1,324,29.6
Duquesne (NEC),10,7-3,34,30,0,0,19,2,291,29.5
Gardner-Webb (Big South),11,4-7,44,39,1,0,7,0,324,29.5
Montana (Big Sky),13,10-3,45,42,2,0,23,0,381,29.3
Brown (Ivy League),10,2-8,39,38,1,0,7,0,293,29.3
Yale (Ivy League),10,5-5,40,32,3,0,7,0,293,29.3
Texas Southern (SWAC),10,2-8,39,38,0,0,6,0,290,29.0
Montana St. (Big Sky),15,12-3,53,48,1,0,20,1,426,28.5
Abilene Christian (WAC),11,5-6,39,34,2,0,13,0,307,27.9
Florida A&M (SWAC),12,9-3,41,34,0,0,17,1,331,27.8
UC Davis (Big Sky),12,8-4,40,33,4,0,19,1,330,27.7
Hampton (Big South),11,5-6,40,32,2,0,10,1,302,27.6
Portland St. (Big Sky),11,5-6,41,39,0,0,6,0,303,27.5
Jackson St. (SWAC),13,11-2,50,46,0,0,4,0,358,27.5
Eastern Ky. (ASUN),11,7-4,38,34,3,0,12,0,298,27.1
South Dakota (MVFC),12,7-5,41,39,0,0,13,0,324,27.0
Southeast Mo. St. (OVC),11,4-7,37,36,0,0,13,0,297,27.0
Valparaiso (Pioneer),11,4-7,37,32,2,0,12,2,290,26.7
Chattanooga (SoCon),11,6-5,37,35,0,0,12,0,293,26.6
Stetson (Pioneer),10,3-7,35,33,0,0,6,0,261,26.1
Alcorn (SWAC),11,6-5,38,32,1,0,8,0,284,25.8
Southern U. (SWAC),11,4-7,36,35,0,0,11,0,284,25.8
Campbell (Big South),11,3-8,39,37,0,0,3,1,280,25.6
Prairie View (SWAC),12,7-5,38,32,0,0,13,0,305,25.4
Idaho (Big Sky),11,4-7,38,37,0,0,4,1,277,25.4
Rhode Island (CAA),11,7-4,35,32,1,0,11,0,275,25.0
San Diego (Pioneer),11,7-4,35,25,4,0,12,2,271,25.0
UNI (MVFC),12,6-6,34,33,0,0,20,1,297,24.9
South Carolina St. (MEAC),12,7-5,38,34,1,0,11,1,295,24.8
Columbia (Ivy League),10,7-3,29,25,1,0,16,0,247,24.7
Maine (CAA),11,6-5,33,31,0,2,14,0,271,24.6
Youngstown St. (MVFC),10,3-7,32,29,1,0,8,0,245,24.5
Northern Ariz. (Big Sky),11,5-6,35,32,1,0,9,0,269,24.5
The Citadel (SoCon),11,4-7,37,35,1,0,4,0,269,24.5
Furman (SoCon),11,6-5,32,30,0,0,15,0,267,24.3
McNeese (Southland),11,4-7,37,29,2,0,5,0,266,24.2
Western Ill. (MVFC),11,2-9,35,32,1,0,8,0,266,24.2
Elon (CAA),11,6-5,31,28,0,0,17,0,265,24.1
North Dakota (MVFC),11,5-6,34,31,2,0,10,0,265,24.1
Bethune-Cookman (SWAC),11,2-9,37,30,3,0,4,0,264,24.0
Charleston So. (Big South),10,4-6,32,29,3,0,6,0,239,23.9
N.C. Central (MEAC),11,6-5,34,25,3,0,11,0,262,23.8
Butler (Pioneer),11,3-8,36,35,1,0,3,0,260,23.6
Richmond (CAA),11,6-5,33,29,2,0,11,0,260,23.6
Delaware St. (MEAC),11,5-6,37,30,0,0,2,0,258,23.5
Howard (MEAC),11,3-8,34,28,1,0,8,1,256,23.5
Saint Francis (PA) (NEC),11,5-6,30,25,1,0,15,0,250,22.7
N.C. A&T (Big South),11,5-6,31,29,1,0,10,2,245,22.6
Marist (Pioneer),10,5-5,30,25,1,0,7,0,226,22.6
Jacksonville St. (ASUN),11,5-6,32,29,0,0,7,0,242,22.0
Alabama St. (SWAC),11,5-6,31,30,0,0,8,0,240,21.8
William & Mary (CAA),11,6-5,31,26,3,0,9,0,239,21.7
Murray St. (OVC),11,6-5,29,25,0,0,12,0,235,21.4
Stony Brook (CAA),11,5-6,30,27,0,0,8,1,231,21.2
Wofford (SoCon),11,1-10,29,27,0,0,8,0,225,20.5
Central Conn. St. (NEC),11,4-7,28,26,1,0,10,0,224,20.4
Cornell (Ivy League),10,2-8,25,21,2,0,8,1,195,19.7
Ark.-Pine Bluff (SWAC),11,2-9,27,18,1,0,12,0,216,19.6
Mississippi Val. (SWAC),11,4-7,27,21,0,0,11,0,216,19.6
Sacred Heart (NEC),12,8-4,28,28,0,0,13,0,235,19.6
Delaware (CAA),11,5-6,25,23,1,0,14,0,215,19.5
Robert Morris (Big South),10,4-6,24,21,3,0,10,0,195,19.5
Northwestern St. (Southland),11,3-8,28,25,0,0,7,0,214,19.5
Tennessee St. (OVC),11,5-6,27,21,2,0,10,0,213,19.4
Towson (CAA),11,4-7,29,27,1,0,4,0,213,19.4
Penn (Ivy League),10,3-7,24,23,0,0,8,0,191,19.1
Southern Utah (Big Sky),11,1-10,27,23,0,0,8,0,209,19.0
UAlbany (CAA),11,2-9,26,22,0,0,10,0,208,18.9
Georgetown (Patriot),10,2-8,24,19,1,1,7,1,184,18.6
Colgate (Patriot),11,5-6,26,21,1,0,9,0,204,18.5
Illinois St. (MVFC),11,4-7,26,25,0,0,7,0,202,18.4
Tennessee Tech (OVC),11,3-8,26,25,0,0,7,0,202,18.4
Houston Christian (Southland),11,0-11,23,23,0,0,10,0,191,17.4
Grambling (SWAC),11,4-7,20,18,1,1,15,1,183,16.8
Lafayette (Patriot),11,3-8,22,20,0,0,10,0,182,16.5
New Hampshire (CAA),11,3-8,26,20,0,0,2,0,182,16.5
Indiana St. (MVFC),11,5-6,22,19,1,0,6,2,169,15.7
Cal Poly (Big Sky),11,2-9,22,18,1,0,5,1,165,15.2
Idaho St. (Big Sky),11,1-10,20,19,1,0,9,0,166,15.1
Northern Colo. (Big Sky),11,3-8,20,20,0,0,8,0,164,14.9
Eastern Ill. (OVC),11,1-10,20,14,1,0,8,0,158,14.4
Morgan St. (MEAC),11,2-9,22,17,1,0,1,0,152,13.8
LIU (NEC),10,2-8,17,17,0,1,6,0,137,13.7
Wagner (NEC),11,0-11,19,15,0,0,4,0,141,12.8
Drake (Pioneer),10,2-8,17,16,0,0,3,0,127,12.7
Lamar University (WAC),10,1-9,15,14,1,0,5,1,119,12.1
Lehigh (Patriot),11,3-8,14,13,0,0,10,0,127,11.5
Bucknell (Patriot),11,1-10,13,11,0,0,5,0,104,9.5
North Ala. (Big South),11,3-8,43,40,0,0,4,0,310,28.2
Merrimack (NEC),11,5-6,44,33,3,0,1,0,300,27.3
Tarleton St. (WAC),11,6-5,38,36,0,0,10,1,294,26.9
St. Thomas (MN) (Pioneer),10,7-3,33,25,3,0,5,0,238,23.8
Utah Tech (WAC),11,1-10,25,22,1,0,10,0,202,18.4
