Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Holy Cross (Patriot),13,10-3,790,3308,4.19,27,31,254.5
Jackson St. (SWAC),13,11-2,862,3346,3.88,21,21,257.4
North Dakota St. (MVFC),15,14-1,896,3971,4.43,18,19,264.7
Sacred Heart (NEC),12,8-4,670,3218,4.80,19,20,268.2
Dartmouth (Ivy League),10,9-1,630,2710,4.30,16,17,271.0
Princeton (Ivy League),10,9-1,650,2741,4.22,19,22,274.1
Villanova (CAA),13,10-3,834,3569,4.28,25,26,274.5
James Madison (CAA),14,12-2,885,3853,4.35,23,25,275.2
Chattanooga (SoCon),11,6-5,684,3034,4.44,19,21,275.8
Florida A&M (SWAC),12,9-3,735,3339,4.54,25,27,278.2
Weber St. (Big Sky),11,6-5,702,3113,4.43,24,26,283.0
Harvard (Ivy League),10,8-2,707,2941,4.16,16,17,294.1
UNI (MVFC),12,6-6,826,3664,4.44,21,22,305.3
Montana St. (Big Sky),15,12-3,970,4641,4.78,24,26,309.4
SFA (WAC),12,8-4,806,3737,4.64,28,29,311.4
Kennesaw St. (Big South),13,11-2,753,4049,5.38,30,34,311.5
Prairie View (SWAC),12,7-5,789,3740,4.74,36,40,311.7
Delaware St. (MEAC),11,5-6,667,3551,5.32,37,39,322.8
Yale (Ivy League),10,5-5,693,3269,4.72,30,31,326.9
Mercer (SoCon),10,7-3,666,3275,4.92,27,30,327.5
Penn (Ivy League),10,3-7,671,3277,4.88,23,26,327.7
Sacramento St. (Big Sky),12,9-3,777,3956,5.09,29,31,329.7
Stony Brook (CAA),11,5-6,697,3631,5.21,33,33,330.1
Montana (Big Sky),13,10-3,963,4299,4.46,26,28,330.7
Duquesne (NEC),10,7-3,607,3313,5.46,29,31,331.3
Richmond (CAA),11,6-5,730,3649,5.00,25,26,331.7
Saint Francis (PA) (NEC),11,5-6,778,3654,4.70,26,26,332.2
Davidson (Pioneer),11,8-3,702,3700,5.27,42,44,336.4
San Diego (Pioneer),11,7-4,695,3701,5.33,30,37,336.5
North Dakota (MVFC),11,5-6,683,3704,5.42,27,27,336.7
Bryant (NEC),11,7-4,677,3717,5.49,29,31,337.9
Delaware (CAA),11,5-6,707,3733,5.28,25,30,339.4
South Carolina St. (MEAC),12,7-5,801,4081,5.09,38,42,340.1
Lafayette (Patriot),11,3-8,731,3749,5.13,29,32,340.8
South Dakota (MVFC),12,7-5,785,4120,5.25,29,30,343.3
Murray St. (OVC),11,6-5,701,3803,5.43,37,38,345.7
Stetson (Pioneer),10,3-7,606,3461,5.71,39,41,346.1
Sam Houston (WAC),12,11-1,831,4155,5.00,33,34,346.2
N.C. A&T (Big South),11,5-6,739,3812,5.16,35,36,346.5
UAlbany (CAA),11,2-9,669,3822,5.71,31,36,347.5
Eastern Ill. (OVC),11,1-10,724,3859,5.33,35,40,350.8
South Dakota St. (MVFC),15,11-4,1011,5263,5.21,37,37,350.9
Illinois St. (MVFC),11,4-7,761,3864,5.08,29,32,351.3
Alabama St. (SWAC),11,5-6,663,3873,5.84,40,42,352.1
William & Mary (CAA),11,6-5,770,3923,5.09,27,27,356.6
Austin Peay (OVC),11,6-5,816,3937,4.82,33,36,357.9
Drake (Pioneer),10,2-8,669,3588,5.36,28,29,358.8
Cornell (Ivy League),10,2-8,682,3595,5.27,34,38,359.5
UT Martin (OVC),13,10-3,853,4676,5.48,35,39,359.7
Columbia (Ivy League),10,7-3,717,3601,5.02,27,29,360.1
Rhode Island (CAA),11,7-4,772,3990,5.17,34,35,362.7
Tennessee St. (OVC),11,5-6,743,4014,5.40,33,36,364.9
Southern Ill. (MVFC),13,8-5,905,4752,5.25,39,43,365.5
Charleston So. (Big South),10,4-6,735,3658,4.98,33,37,365.8
Tennessee Tech (OVC),11,3-8,724,4025,5.56,39,44,365.9
Norfolk St. (MEAC),11,6-5,685,4034,5.89,41,45,366.7
Alcorn (SWAC),11,6-5,719,4044,5.62,31,35,367.6
Lehigh (Patriot),11,3-8,736,4059,5.51,34,34,369.0
Missouri St. (MVFC),12,8-4,805,4439,5.51,38,40,369.9
Grambling (SWAC),11,4-7,761,4082,5.36,36,38,371.1
Towson (CAA),11,4-7,680,4112,6.05,38,42,373.8
Northern Colo. (Big Sky),11,3-8,767,4114,5.36,35,39,374.0
Colgate (Patriot),11,5-6,709,4122,5.81,35,38,374.7
McNeese (Southland),11,4-7,757,4140,5.47,36,35,376.4
Central Conn. St. (NEC),11,4-7,686,4169,6.08,43,44,379.0
Elon (CAA),11,6-5,722,4169,5.77,36,37,379.0
Monmouth (Big South),11,7-4,704,4175,5.93,38,40,379.5
Georgetown (Patriot),10,2-8,647,3827,5.91,40,42,382.7
ETSU (SoCon),13,11-2,886,4979,5.62,37,38,383.0
Furman (SoCon),11,6-5,740,4214,5.69,31,32,383.1
Eastern Wash. (Big Sky),13,10-3,927,4982,5.37,43,46,383.2
Abilene Christian (WAC),11,5-6,737,4232,5.74,35,36,384.7
Nicholls (Southland),11,6-5,716,4245,5.93,38,41,385.9
Marist (Pioneer),10,5-5,726,3861,5.32,29,30,386.1
Maine (CAA),11,6-5,716,4256,5.94,36,38,386.9
Eastern Ky. (ASUN),11,7-4,764,4287,5.61,33,35,389.7
Valparaiso (Pioneer),11,4-7,750,4288,5.72,43,47,389.8
Mississippi Val. (SWAC),11,4-7,709,4310,6.08,39,45,391.8
Southern U. (SWAC),11,4-7,709,4315,6.09,41,43,392.3
Gardner-Webb (Big South),11,4-7,802,4316,5.38,40,43,392.4
Howard (MEAC),11,3-8,703,4319,6.14,42,43,392.6
Jacksonville St. (ASUN),11,5-6,748,4322,5.78,38,40,392.9
Portland St. (Big Sky),11,5-6,700,4328,6.18,41,42,393.5
Central Ark. (ASUN),11,5-6,741,4363,5.89,35,38,396.6
N.C. Central (MEAC),11,6-5,761,4384,5.76,35,37,398.5
Campbell (Big South),11,3-8,769,4389,5.71,37,40,399.0
Wagner (NEC),11,0-11,726,4440,6.12,55,58,403.6
Butler (Pioneer),11,3-8,668,4447,6.66,49,51,404.3
Indiana St. (MVFC),11,5-6,745,4466,5.99,40,42,406.0
Idaho (Big Sky),11,4-7,775,4482,5.78,45,47,407.5
Presbyterian (Pioneer),11,2-9,688,4513,6.56,77,82,410.3
New Hampshire (CAA),11,3-8,798,4563,5.72,39,41,414.8
Robert Morris (Big South),10,4-6,651,4217,6.48,44,45,421.7
The Citadel (SoCon),11,4-7,673,4646,6.90,45,49,422.4
UIW (Southland),13,10-3,999,5559,5.56,42,44,427.6
Bethune-Cookman (SWAC),11,2-9,783,4707,6.01,49,54,427.9
UC Davis (Big Sky),12,8-4,886,5136,5.80,33,35,428.0
Southeastern La. (Southland),13,9-4,884,5575,6.31,56,59,428.8
Idaho St. (Big Sky),11,1-10,747,4725,6.33,42,47,429.5
Hampton (Big South),11,5-6,742,4731,6.38,43,44,430.1
Southeast Mo. St. (OVC),11,4-7,738,4736,6.42,43,46,430.5
Alabama A&M (SWAC),10,7-3,658,4311,6.55,45,48,431.1
Morgan St. (MEAC),11,2-9,791,4775,6.04,42,46,434.1
Lamar University (WAC),10,1-9,643,4353,6.77,49,54,435.3
Dayton (Pioneer),10,6-4,723,4388,6.07,36,38,438.8
Northern Ariz. (Big Sky),11,5-6,829,4828,5.82,35,41,438.9
Northwestern St. (Southland),11,3-8,773,4875,6.31,48,50,443.2
VMI (SoCon),11,6-5,798,4880,6.12,47,48,443.6
LIU (NEC),10,2-8,678,4442,6.55,50,53,444.2
Morehead St. (Pioneer),11,7-4,813,4909,6.04,43,46,446.3
Brown (Ivy League),10,2-8,650,4488,6.90,53,58,448.8
Bucknell (Patriot),11,1-10,748,4955,6.62,52,54,450.5
Ark.-Pine Bluff (SWAC),11,2-9,769,4991,6.49,53,55,453.7
Wofford (SoCon),11,1-10,773,4999,6.47,47,48,454.5
Western Ill. (MVFC),11,2-9,746,5022,6.73,54,56,456.5
Western Caro. (SoCon),11,4-7,812,5028,6.19,60,61,457.1
Cal Poly (Big Sky),11,2-9,840,5062,6.03,51,57,460.2
Fordham (Patriot),11,6-5,903,5104,5.65,46,48,464.0
Southern Utah (Big Sky),11,1-10,727,5175,7.12,54,57,470.5
Youngstown St. (MVFC),10,3-7,662,4746,7.17,47,47,474.6
Houston Christian (Southland),11,0-11,861,5292,6.15,54,61,481.1
Texas Southern (SWAC),10,2-8,757,4987,6.59,48,53,498.7
Samford (SoCon),11,4-7,870,5559,6.39,55,57,505.4
St. Thomas (MN) (Pioneer),10,7-3,635,2954,4.65,19,22,295.4
Merrimack (NEC),11,5-6,695,3457,4.97,35,37,314.3
Tarleton St. (WAC),11,6-5,791,4010,5.07,28,30,364.5
North Ala. (Big South),11,3-8,752,4510,6.00,42,49,410.0
Utah Tech (WAC),11,1-10,796,5168,6.49,51,56,469.8
