Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Eastern Wash. (Big Sky),13,10-3,1055,8588,0.00,0,554.5
Southeastern La. (Southland),13,9-4,1015,13315,0.00,0,551.8
Presbyterian (Pioneer),11,2-9,978,6652,0.00,0,516.1
Nicholls (Southland),11,6-5,817,9468,0.00,0,493.2
Sam Houston (WAC),12,11-1,889,11206,0.00,0,490.9
UIW (Southland),13,10-3,956,11222,0.00,0,487.2
Alabama A&M (SWAC),10,7-3,740,8802,0.00,0,481.1
Western Caro. (SoCon),11,4-7,849,7030,0.00,0,471.5
Sacramento St. (Big Sky),12,9-3,888,6403,0.00,0,463.9
Samford (SoCon),11,4-7,823,8378,0.00,0,448.7
Fordham (Patriot),11,6-5,741,5440,0.00,0,447.4
Brown (Ivy League),10,2-8,817,5223,0.00,0,445.2
Davidson (Pioneer),11,8-3,779,6209,0.00,0,442.5
South Dakota St. (MVFC),15,11-4,959,7841,0.00,0,440.4
Norfolk St. (MEAC),11,6-5,781,7637,0.00,0,440.4
Missouri St. (MVFC),12,8-4,846,5812,0.00,0,436.5
James Madison (CAA),14,12-2,971,6780,0.00,0,435.4
Morehead St. (Pioneer),11,7-4,835,8002,0.00,0,434.5
North Dakota St. (MVFC),15,14-1,935,6752,0.00,0,431.5
Texas Southern (SWAC),10,2-8,679,6900,0.00,0,429.5
SFA (WAC),12,8-4,830,9716,0.00,0,423.1
Central Ark. (ASUN),11,5-6,748,8301,0.00,0,422.5
Austin Peay (OVC),11,6-5,832,5592,0.00,0,420.4
VMI (SoCon),11,6-5,757,8038,0.00,0,417.9
Southern Ill. (MVFC),13,8-5,918,6650,0.00,0,415.3
Portland St. (Big Sky),11,5-6,785,5025,0.00,0,413.5
Hampton (Big South),11,5-6,749,8496,0.00,0,410.7
Mercer (SoCon),10,7-3,593,7222,0.00,0,409.4
ETSU (SoCon),13,11-2,796,8959,0.00,0,409.2
Holy Cross (Patriot),13,10-3,899,5874,0.00,0,407.0
UC Davis (Big Sky),12,8-4,908,7737,0.00,0,407.0
Dartmouth (Ivy League),10,9-1,629,5201,0.00,0,406.0
North Dakota (MVFC),11,5-6,758,7256,0.00,0,403.1
Kennesaw St. (Big South),13,11-2,879,6570,0.00,0,402.2
Montana St. (Big Sky),15,12-3,979,6390,0.00,0,402.1
Northern Ariz. (Big Sky),11,5-6,795,5588,0.00,0,396.5
Gardner-Webb (Big South),11,4-7,729,7237,0.00,0,395.6
Princeton (Ivy League),10,9-1,724,5021,0.00,0,392.4
Monmouth (Big South),11,7-4,798,5018,0.00,0,392.2
UT Martin (OVC),13,10-3,868,9065,0.00,0,385.8
Prairie View (SWAC),12,7-5,821,5664,0.00,0,385.1
Alcorn (SWAC),11,6-5,754,7156,0.00,0,384.6
Yale (Ivy League),10,5-5,687,6294,0.00,0,382.7
Florida A&M (SWAC),12,9-3,827,8147,0.00,0,380.9
Abilene Christian (WAC),11,5-6,694,7627,0.00,0,380.2
Villanova (CAA),13,10-3,806,5808,0.00,0,380.0
Bryant (NEC),11,7-4,768,4908,0.00,0,379.0
South Dakota (MVFC),12,7-5,811,7815,0.00,0,376.8
Chattanooga (SoCon),11,6-5,700,5327,0.00,0,374.2
The Citadel (SoCon),11,4-7,719,7222,0.00,0,373.5
Campbell (Big South),11,3-8,737,5272,0.00,0,372.5
San Diego (Pioneer),11,7-4,738,6719,0.00,0,371.0
Charleston So. (Big South),10,4-6,769,6251,0.00,0,369.7
Stetson (Pioneer),10,3-7,727,4208,0.00,0,369.2
Dayton (Pioneer),10,6-4,660,4531,0.00,0,368.9
Southern U. (SWAC),11,4-7,731,4779,0.00,0,366.9
