Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Kennesaw St. (Big South),13,11-2,22,28,0.786
Mercer (SoCon),10,7-3,6,8,0.750
Alabama A&M (SWAC),10,7-3,16,22,0.727
Norfolk St. (MEAC),11,6-5,15,21,0.714
Southeastern La. (Southland),13,9-4,21,30,0.700
Columbia (Ivy League),10,7-3,14,20,0.700
Davidson (Pioneer),11,8-3,27,39,0.692
Houston Christian (Southland),11,0-11,15,22,0.682
Brown (Ivy League),10,2-8,27,40,0.675
Princeton (Ivy League),10,9-1,18,27,0.667
Delaware (CAA),11,5-6,8,12,0.667
Central Ark. (ASUN),11,5-6,6,9,0.667
Bryant (NEC),11,7-4,16,25,0.640
Samford (SoCon),11,4-7,15,24,0.625
Villanova (CAA),13,10-3,15,24,0.625
Southeast Mo. St. (OVC),11,4-7,10,16,0.625
VMI (SoCon),11,6-5,16,26,0.615
McNeese (Southland),11,4-7,19,31,0.613
Monmouth (Big South),11,7-4,22,36,0.611
Western Caro. (SoCon),11,4-7,14,23,0.609
Furman (SoCon),11,6-5,9,15,0.600
Sacred Heart (NEC),12,8-4,13,22,0.591
Towson (CAA),11,4-7,21,36,0.583
William & Mary (CAA),11,6-5,11,19,0.579
UAlbany (CAA),11,2-9,15,26,0.577
South Carolina St. (MEAC),12,7-5,12,21,0.571
N.C. Central (MEAC),11,6-5,8,14,0.571
Chattanooga (SoCon),11,6-5,4,7,0.571
Alcorn (SWAC),11,6-5,17,30,0.567
Eastern Wash. (Big Sky),13,10-3,17,30,0.567
James Madison (CAA),14,12-2,9,16,0.562
North Dakota St. (MVFC),15,14-1,9,16,0.562
Prairie View (SWAC),12,7-5,14,25,0.560
Holy Cross (Patriot),13,10-3,15,27,0.556
Indiana St. (MVFC),11,5-6,10,18,0.556
Mississippi Val. (SWAC),11,4-7,10,18,0.556
Sacramento St. (Big Sky),12,9-3,10,18,0.556
Delaware St. (MEAC),11,5-6,17,31,0.548
Morehead St. (Pioneer),11,7-4,12,22,0.545
Weber St. (Big Sky),11,6-5,12,22,0.545
Dayton (Pioneer),10,6-4,6,11,0.545
Hampton (Big South),11,5-6,6,11,0.545
Wagner (NEC),11,0-11,21,39,0.538
Robert Morris (Big South),10,4-6,7,13,0.538
The Citadel (SoCon),11,4-7,22,41,0.537
Campbell (Big South),11,3-8,17,32,0.531
UIW (Southland),13,10-3,18,34,0.529
Idaho St. (Big Sky),11,1-10,9,17,0.529
Southern Ill. (MVFC),13,8-5,19,36,0.528
Northern Ariz. (Big Sky),11,5-6,10,19,0.526
Southern U. (SWAC),11,4-7,11,21,0.524
North Dakota (MVFC),11,5-6,12,23,0.522
South Dakota St. (MVFC),15,11-4,12,23,0.522
Northern Colo. (Big Sky),11,3-8,13,25,0.520
UC Davis (Big Sky),12,8-4,13,25,0.520
Austin Peay (OVC),11,6-5,16,32,0.500
Morgan St. (MEAC),11,2-9,14,28,0.500
UT Martin (OVC),13,10-3,11,22,0.500
Yale (Ivy League),10,5-5,11,22,0.500
ETSU (SoCon),13,11-2,7,14,0.500
