Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Southern U. (SWAC),11,4-7,64,136,0.471
Bucknell (Patriot),11,1-10,62,131,0.473
Samford (SoCon),11,4-7,85,179,0.475
Fordham (Patriot),11,6-5,81,170,0.476
Bethune-Cookman (SWAC),11,2-9,74,155,0.477
Furman (SoCon),11,6-5,75,157,0.478
Butler (Pioneer),11,3-8,62,127,0.488
Idaho St. (Big Sky),11,1-10,74,151,0.490
LIU (NEC),10,2-8,64,128,0.500
Lamar University (WAC),10,1-9,63,125,0.504
Wofford (SoCon),11,1-10,74,146,0.507
Southern Utah (Big Sky),11,1-10,73,133,0.549
St. Thomas (MN) (Pioneer),10,7-3,45,145,0.310
Merrimack (NEC),11,5-6,51,137,0.372
Tarleton St. (WAC),11,6-5,63,160,0.394
Utah Tech (WAC),11,1-10,61,146,0.418
North Ala. (Big South),11,3-8,65,147,0.442
