Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Davidson (Pioneer),11,8-3,640,3689,5.76,42,335.4
North Dakota St. (MVFC),15,14-1,678,4209,6.21,45,280.6
Kennesaw St. (Big South),13,11-2,728,3622,4.98,37,278.6
The Citadel (SoCon),11,4-7,676,2951,4.37,30,268.3
Nicholls (Southland),11,6-5,458,2714,5.93,25,246.7
Sam Houston (WAC),12,11-1,476,2738,5.75,31,228.2
Montana St. (Big Sky),15,12-3,641,3313,5.17,25,220.9
ETSU (SoCon),13,11-2,517,2775,5.37,32,213.5
Norfolk St. (MEAC),11,6-5,465,2333,5.02,27,212.1
South Dakota St. (MVFC),15,11-4,553,3172,5.74,33,211.5
Sacred Heart (NEC),12,8-4,540,2536,4.70,19,211.3
Mercer (SoCon),10,7-3,433,2094,4.84,24,209.4
Wofford (SoCon),11,1-10,453,2295,5.07,18,208.6
Youngstown St. (MVFC),10,3-7,430,2077,4.83,21,207.7
UT Martin (OVC),13,10-3,506,2699,5.33,32,207.6
Chattanooga (SoCon),11,6-5,432,2260,5.23,28,205.5
William & Mary (CAA),11,6-5,450,2258,5.02,19,205.3
Holy Cross (Patriot),13,10-3,548,2667,4.87,32,205.2
Southern U. (SWAC),11,4-7,454,2175,4.79,22,197.7
Southeast Mo. St. (OVC),11,4-7,439,2152,4.90,21,195.6
Dartmouth (Ivy League),10,9-1,363,1937,5.34,21,193.7
Texas Southern (SWAC),10,2-8,371,1883,5.08,23,188.3
Murray St. (OVC),11,6-5,450,2028,4.51,22,184.4
Furman (SoCon),11,6-5,461,2025,4.39,21,184.1
Hampton (Big South),11,5-6,446,1948,4.37,23,177.1
Stony Brook (CAA),11,5-6,466,1937,4.16,19,176.1
UC Davis (Big Sky),12,8-4,471,2109,4.48,19,175.8
Butler (Pioneer),11,3-8,440,1920,4.36,22,174.5
Northern Ariz. (Big Sky),11,5-6,431,1901,4.41,16,172.8
Sacramento St. (Big Sky),12,9-3,449,2067,4.60,21,172.2
Idaho (Big Sky),11,4-7,431,1877,4.35,28,170.6
South Dakota (MVFC),12,7-5,497,2042,4.11,20,170.2
Villanova (CAA),13,10-3,456,2210,4.85,22,170.0
Abilene Christian (WAC),11,5-6,370,1806,4.88,18,164.2
Harvard (Ivy League),10,8-2,384,1630,4.24,23,163.0
North Dakota (MVFC),11,5-6,370,1793,4.85,14,163.0
VMI (SoCon),11,6-5,421,1771,4.21,23,161.0
Southern Ill. (MVFC),13,8-5,479,2084,4.35,20,160.3
Duquesne (NEC),10,7-3,356,1600,4.49,14,160.0
Prairie View (SWAC),12,7-5,468,1916,4.09,19,159.7
Florida A&M (SWAC),12,9-3,419,1910,4.56,14,159.2
James Madison (CAA),14,12-2,529,2228,4.21,16,159.1
Alcorn (SWAC),11,6-5,444,1742,3.92,16,158.4
Columbia (Ivy League),10,7-3,404,1580,3.91,18,158.0
Colgate (Patriot),11,5-6,414,1733,4.19,17,157.5
Gardner-Webb (Big South),11,4-7,358,1732,4.84,20,157.5
Eastern Wash. (Big Sky),13,10-3,483,2017,4.18,28,155.2
McNeese (Southland),11,4-7,466,1699,3.65,19,154.5
Missouri St. (MVFC),12,8-4,434,1844,4.25,23,153.7
Jacksonville St. (ASUN),11,5-6,370,1680,4.54,14,152.7
Bryant (NEC),11,7-4,378,1679,4.44,22,152.6
Stetson (Pioneer),10,3-7,383,1526,3.98,19,152.6
Western Caro. (SoCon),11,4-7,377,1666,4.42,16,151.5
Fordham (Patriot),11,6-5,330,1657,5.02,19,150.6
Northwestern St. (Southland),11,3-8,427,1648,3.86,14,149.8
Weber St. (Big Sky),11,6-5,439,1642,3.74,22,149.3
Austin Peay (OVC),11,6-5,416,1615,3.88,19,146.8
Saint Francis (PA) (NEC),11,5-6,373,1610,4.32,9,146.4
Monmouth (Big South),11,7-4,424,1605,3.79,19,145.9
Richmond (CAA),11,6-5,401,1598,3.99,14,145.3
Southeastern La. (Southland),13,9-4,445,1880,4.22,31,144.6
Tennessee Tech (OVC),11,3-8,403,1587,3.94,15,144.3
Mississippi Val. (SWAC),11,4-7,422,1580,3.74,14,143.6
Valparaiso (Pioneer),11,4-7,395,1567,3.97,23,142.5
Delaware St. (MEAC),11,5-6,457,1565,3.42,14,142.3
Central Ark. (ASUN),11,5-6,370,1560,4.22,23,141.8
Samford (SoCon),11,4-7,343,1554,4.53,27,141.3
UNI (MVFC),12,6-6,433,1686,3.89,15,140.5
South Carolina St. (MEAC),12,7-5,418,1663,3.98,17,138.6
Montana (Big Sky),13,10-3,498,1794,3.60,17,138.0
San Diego (Pioneer),11,7-4,376,1502,3.99,15,136.5
Wagner (NEC),11,0-11,491,1494,3.04,11,135.8
Eastern Ky. (ASUN),11,7-4,353,1486,4.21,15,135.1
Dayton (Pioneer),10,6-4,372,1348,3.62,24,134.8
Rhode Island (CAA),11,7-4,389,1469,3.78,13,133.5
Brown (Ivy League),10,2-8,367,1333,3.63,12,133.3
Yale (Ivy League),10,5-5,335,1331,3.97,16,133.1
N.C. Central (MEAC),11,6-5,350,1459,4.17,17,132.6
SFA (WAC),12,8-4,414,1578,3.81,13,131.5
Lamar University (WAC),10,1-9,409,1304,3.19,11,130.4
N.C. A&T (Big South),11,5-6,377,1424,3.78,14,129.5
Maine (CAA),11,6-5,362,1411,3.90,13,128.3
Illinois St. (MVFC),11,4-7,395,1403,3.55,14,127.5
UIW (Southland),13,10-3,359,1654,4.61,22,127.2
Princeton (Ivy League),10,9-1,408,1269,3.11,23,126.9
Portland St. (Big Sky),11,5-6,345,1394,4.04,19,126.7
Howard (MEAC),11,3-8,330,1393,4.22,16,126.6
Ark.-Pine Bluff (SWAC),11,2-9,348,1383,3.97,13,125.7
Penn (Ivy League),10,3-7,343,1256,3.66,14,125.6
Towson (CAA),11,4-7,395,1352,3.42,14,122.9
Idaho St. (Big Sky),11,1-10,413,1346,3.26,7,122.4
Central Conn. St. (NEC),11,4-7,413,1332,3.23,9,121.1
Morgan St. (MEAC),11,2-9,332,1326,3.99,14,120.5
Delaware (CAA),11,5-6,405,1317,3.25,13,119.7
Bethune-Cookman (SWAC),11,2-9,305,1281,4.20,15,116.5
Cornell (Ivy League),10,2-8,300,1164,3.88,12,116.4
Tennessee St. (OVC),11,5-6,364,1262,3.47,13,114.7
Charleston So. (Big South),10,4-6,335,1144,3.41,12,114.4
Alabama A&M (SWAC),10,7-3,315,1139,3.62,13,113.9
Grambling (SWAC),11,4-7,361,1239,3.43,7,112.6
Alabama St. (SWAC),11,5-6,363,1227,3.38,9,111.5
Campbell (Big South),11,3-8,360,1220,3.39,11,110.9
Indiana St. (MVFC),11,5-6,346,1214,3.51,10,110.4
New Hampshire (CAA),11,3-8,314,1208,3.85,8,109.8
Northern Colo. (Big Sky),11,3-8,359,1184,3.30,9,107.6
Drake (Pioneer),10,2-8,333,1042,3.13,9,104.2
LIU (NEC),10,2-8,324,1037,3.20,7,103.7
Presbyterian (Pioneer),11,2-9,324,1115,3.44,11,101.4
Morehead St. (Pioneer),11,7-4,323,1088,3.37,13,98.9
Lafayette (Patriot),11,3-8,355,1087,3.06,14,98.8
Marist (Pioneer),10,5-5,291,965,3.32,11,96.5
Eastern Ill. (OVC),11,1-10,335,1014,3.03,9,92.2
UAlbany (CAA),11,2-9,361,996,2.76,14,90.5
Elon (CAA),11,6-5,338,994,2.94,13,90.4
Jackson St. (SWAC),13,11-2,391,1145,2.93,14,88.1
Cal Poly (Big Sky),11,2-9,366,961,2.63,7,87.4
Southern Utah (Big Sky),11,1-10,314,921,2.93,16,83.7
Robert Morris (Big South),10,4-6,315,832,2.64,8,83.2
Georgetown (Patriot),10,2-8,324,800,2.47,13,80.0
Lehigh (Patriot),11,3-8,353,785,2.22,8,71.4
Bucknell (Patriot),11,1-10,333,779,2.34,7,70.8
Western Ill. (MVFC),11,2-9,278,683,2.46,9,62.1
Houston Christian (Southland),11,0-11,293,627,2.14,7,57.0
Tarleton St. (WAC),11,6-5,380,1932,5.08,16,175.6
St. Thomas (MN) (Pioneer),10,7-3,409,1642,4.01,25,164.2
North Ala. (Big South),11,3-8,339,1135,3.35,16,103.2
Utah Tech (WAC),11,1-10,323,956,2.96,10,86.9
Merrimack (NEC),11,5-6,300,777,2.59,10,70.6
