Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Kennesaw St. (Big South),13,11-2,6,40,0.46
Davidson (Pioneer),11,8-3,7,39,0.64
North Dakota (MVFC),11,5-6,8,56,0.73
Chattanooga (SoCon),11,6-5,9,61,0.82
Cornell (Ivy League),10,2-8,9,65,0.90
Dayton (Pioneer),10,6-4,9,92,0.90
Wofford (SoCon),11,1-10,10,49,0.91
Nicholls (Southland),11,6-5,11,60,1.00
William & Mary (CAA),11,6-5,11,68,1.00
Villanova (CAA),13,10-3,14,85,1.08
Columbia (Ivy League),10,7-3,11,81,1.10
North Dakota St. (MVFC),15,14-1,17,100,1.13
South Dakota St. (MVFC),15,11-4,17,146,1.13
UT Martin (OVC),13,10-3,15,102,1.15
Northern Colo. (Big Sky),11,3-8,13,83,1.18
Duquesne (NEC),10,7-3,12,65,1.20
Florida A&M (SWAC),12,9-3,15,100,1.25
Sam Houston (WAC),12,11-1,15,109,1.25
Abilene Christian (WAC),11,5-6,14,112,1.27
Eastern Ky. (ASUN),11,7-4,14,79,1.27
Montana St. (Big Sky),15,12-3,20,98,1.33
Fordham (Patriot),11,6-5,15,82,1.36
Maine (CAA),11,6-5,15,100,1.36
San Diego (Pioneer),11,7-4,15,90,1.36
Dartmouth (Ivy League),10,9-1,14,118,1.40
Mercer (SoCon),10,7-3,14,124,1.40
Bryant (NEC),11,7-4,16,119,1.45
Butler (Pioneer),11,3-8,16,101,1.45
Morehead St. (Pioneer),11,7-4,16,106,1.45
Murray St. (OVC),11,6-5,16,117,1.45
Samford (SoCon),11,4-7,16,98,1.45
Sacramento St. (Big Sky),12,9-3,18,125,1.50
UC Davis (Big Sky),12,8-4,18,99,1.50
Furman (SoCon),11,6-5,17,107,1.55
Norfolk St. (MEAC),11,6-5,17,80,1.55
Southern U. (SWAC),11,4-7,17,108,1.55
The Citadel (SoCon),11,4-7,17,112,1.55
South Carolina St. (MEAC),12,7-5,19,125,1.58
Harvard (Ivy League),10,8-2,16,94,1.60
Southeast Mo. St. (OVC),11,4-7,18,108,1.64
Drake (Pioneer),10,2-8,17,147,1.70
Yale (Ivy League),10,5-5,17,108,1.70
Hampton (Big South),11,5-6,19,88,1.73
Jacksonville St. (ASUN),11,5-6,19,114,1.73
Prairie View (SWAC),12,7-5,21,106,1.75
ETSU (SoCon),13,11-2,23,149,1.77
Texas Southern (SWAC),10,2-8,18,114,1.80
Gardner-Webb (Big South),11,4-7,20,85,1.82
Indiana St. (MVFC),11,5-6,20,125,1.82
N.C. A&T (Big South),11,5-6,20,147,1.82
Southern Utah (Big Sky),11,1-10,20,146,1.82
Western Caro. (SoCon),11,4-7,20,111,1.82
Eastern Wash. (Big Sky),13,10-3,24,219,1.85
Tennessee Tech (OVC),11,3-8,21,156,1.91
SFA (WAC),12,8-4,23,118,1.92
Campbell (Big South),11,3-8,22,133,2.00
Elon (CAA),11,6-5,22,99,2.00
N.C. Central (MEAC),11,6-5,22,188,2.00
Portland St. (Big Sky),11,5-6,22,133,2.00
Richmond (CAA),11,6-5,22,141,2.00
Robert Morris (Big South),10,4-6,20,144,2.00
VMI (SoCon),11,6-5,22,123,2.00
Alabama St. (SWAC),11,5-6,23,92,2.09
Colgate (Patriot),11,5-6,23,130,2.09
Delaware (CAA),11,5-6,23,164,2.09
Saint Francis (PA) (NEC),11,5-6,23,143,2.09
Stony Brook (CAA),11,5-6,23,139,2.09
James Madison (CAA),14,12-2,30,166,2.14
Bethune-Cookman (SWAC),11,2-9,24,143,2.18
Bucknell (Patriot),11,1-10,24,160,2.18
Central Ark. (ASUN),11,5-6,24,167,2.18
Grambling (SWAC),11,4-7,24,189,2.18
Valparaiso (Pioneer),11,4-7,24,176,2.18
Southeastern La. (Southland),13,9-4,29,158,2.23
Ark.-Pine Bluff (SWAC),11,2-9,25,177,2.27
Austin Peay (OVC),11,6-5,25,160,2.27
Delaware St. (MEAC),11,5-6,25,169,2.27
Northern Ariz. (Big Sky),11,5-6,25,167,2.27
Youngstown St. (MVFC),10,3-7,23,141,2.30
Holy Cross (Patriot),13,10-3,30,172,2.31
Idaho (Big Sky),11,4-7,26,187,2.36
Morgan St. (MEAC),11,2-9,26,178,2.36
Rhode Island (CAA),11,7-4,26,149,2.36
Weber St. (Big Sky),11,6-5,26,197,2.36
Penn (Ivy League),10,3-7,24,154,2.40
Mississippi Val. (SWAC),11,4-7,27,175,2.45
New Hampshire (CAA),11,3-8,27,193,2.45
Montana (Big Sky),13,10-3,33,227,2.54
Southern Ill. (MVFC),13,8-5,33,222,2.54
UIW (Southland),13,10-3,33,231,2.54
Central Conn. St. (NEC),11,4-7,28,211,2.55
Eastern Ill. (OVC),11,1-10,28,196,2.55
Georgetown (Patriot),10,2-8,26,157,2.60
Howard (MEAC),11,3-8,29,185,2.64
Tennessee St. (OVC),11,5-6,29,198,2.64
Towson (CAA),11,4-7,29,179,2.64
South Dakota (MVFC),12,7-5,32,215,2.67
Alabama A&M (SWAC),10,7-3,27,181,2.70
UAlbany (CAA),11,2-9,30,180,2.73
Sacred Heart (NEC),12,8-4,33,191,2.75
Jackson St. (SWAC),13,11-2,36,309,2.77
Brown (Ivy League),10,2-8,28,166,2.80
LIU (NEC),10,2-8,29,189,2.90
Alcorn (SWAC),11,6-5,32,193,2.91
Northwestern St. (Southland),11,3-8,32,196,2.91
UNI (MVFC),12,6-6,35,239,2.92
Monmouth (Big South),11,7-4,33,189,3.00
Illinois St. (MVFC),11,4-7,34,228,3.09
Lamar University (WAC),10,1-9,31,144,3.10
Lehigh (Patriot),11,3-8,35,283,3.18
Cal Poly (Big Sky),11,2-9,36,231,3.27
Marist (Pioneer),10,5-5,34,286,3.40
Charleston So. (Big South),10,4-6,35,254,3.50
Princeton (Ivy League),10,9-1,35,190,3.50
Idaho St. (Big Sky),11,1-10,39,269,3.55
Wagner (NEC),11,0-11,39,273,3.55
Houston Christian (Southland),11,0-11,40,270,3.64
McNeese (Southland),11,4-7,43,242,3.91
Missouri St. (MVFC),12,8-4,47,284,3.92
Lafayette (Patriot),11,3-8,45,270,4.09
Stetson (Pioneer),10,3-7,42,274,4.20
Western Ill. (MVFC),11,2-9,48,315,4.36
Presbyterian (Pioneer),11,2-9,55,332,5.00
Tarleton St. (WAC),11,6-5,12,71,1.09
St. Thomas (MN) (Pioneer),10,7-3,18,89,1.80
Merrimack (NEC),11,5-6,23,175,2.09
Utah Tech (WAC),11,1-10,36,233,3.27
North Ala. (Big South),11,3-8,43,272,3.91
