Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Jackson St. (SWAC),13,11-2,89,50,513,114,8.8
James Madison (CAA),14,12-2,84,62,453,115,8.2
Montana (Big Sky),13,10-3,72,68,511,106,8.2
N.C. A&T (Big South),11,5-6,55,68,317,89,8.1
SFA (WAC),12,8-4,64,64,420,96,8.0
Harvard (Ivy League),10,8-2,55,50,395,80,8.0
Grambling (SWAC),11,4-7,65,44,298,87,7.9
Yale (Ivy League),10,5-5,60,34,312,77,7.7
Prairie View (SWAC),12,7-5,70,44,332,92,7.7
Florida A&M (SWAC),12,9-3,79,24,394,91,7.6
Ark.-Pine Bluff (SWAC),11,2-9,61,44,318,83,7.5
Morehead St. (Pioneer),11,7-4,46,73,279,82,7.5
Mississippi Val. (SWAC),11,4-7,60,42,294,81,7.4
Portland St. (Big Sky),11,5-6,64,34,328,81,7.4
South Carolina St. (MEAC),12,7-5,76,24,404,88,7.3
Valparaiso (Pioneer),11,4-7,56,48,314,80,7.3
Gardner-Webb (Big South),11,4-7,63,32,339,79,7.2
Chattanooga (SoCon),11,6-5,61,30,295,76,6.9
Charleston So. (Big South),10,4-6,50,38,247,69,6.9
Southern U. (SWAC),11,4-7,48,54,256,75,6.8
Columbia (Ivy League),10,7-3,54,28,290,68,6.8
Richmond (CAA),11,6-5,47,54,290,74,6.7
Eastern Wash. (Big Sky),13,10-3,64,46,320,87,6.7
Montana St. (Big Sky),15,12-3,78,42,419,99,6.6
Princeton (Ivy League),10,9-1,54,24,296,66,6.6
Sam Houston (WAC),12,11-1,61,36,293,79,6.6
Penn (Ivy League),10,3-7,54,22,300,65,6.5
Alabama St. (SWAC),11,5-6,50,42,267,71,6.5
Eastern Ill. (OVC),11,1-10,54,34,237,71,6.5
UNI (MVFC),12,6-6,57,40,307,77,6.4
Stetson (Pioneer),10,3-7,49,30,271,64,6.4
Bethune-Cookman (SWAC),11,2-9,56,26,249,69,6.3
South Dakota St. (MVFC),15,11-4,70,48,360,94,6.3
Holy Cross (Patriot),13,10-3,66,30,384,81,6.2
Dayton (Pioneer),10,6-4,39,46,225,62,6.2
Campbell (Big South),11,3-8,49,38,204,68,6.2
Delaware St. (MEAC),11,5-6,50,36,255,68,6.2
Wagner (NEC),11,0-11,54,28,220,68,6.2
Brown (Ivy League),10,2-8,51,20,186,61,6.1
Northern Colo. (Big Sky),11,3-8,52,30,256,67,6.1
San Diego (Pioneer),11,7-4,53,28,309,67,6.1
Southeast Mo. St. (OVC),11,4-7,41,52,258,67,6.1
UT Martin (OVC),13,10-3,51,54,262,78,6.0
Missouri St. (MVFC),12,8-4,58,28,285,72,6.0
Monmouth (Big South),11,7-4,57,18,312,66,6.0
New Hampshire (CAA),11,3-8,46,40,310,66,6.0
Austin Peay (OVC),11,6-5,48,34,257,65,5.9
Central Ark. (ASUN),11,5-6,47,36,237,65,5.9
Eastern Ky. (ASUN),11,7-4,52,26,220,65,5.9
Northwestern St. (Southland),11,3-8,50,30,257,65,5.9
Hampton (Big South),11,5-6,47,34,214,64,5.8
Idaho (Big Sky),11,4-7,56,16,328,64,5.8
Jacksonville St. (ASUN),11,5-6,36,56,204,64,5.8
Presbyterian (Pioneer),11,2-9,42,44,239,64,5.8
Saint Francis (PA) (NEC),11,5-6,42,44,263,64,5.8
Mercer (SoCon),10,7-3,45,26,164,58,5.8
Cal Poly (Big Sky),11,2-9,54,18,252,63,5.7
Northern Ariz. (Big Sky),11,5-6,44,38,243,63,5.7
Duquesne (NEC),10,7-3,47,20,253,57,5.7
Texas Southern (SWAC),10,2-8,42,30,223,57,5.7
North Dakota St. (MVFC),15,14-1,69,32,388,85,5.7
Central Conn. St. (NEC),11,4-7,48,28,256,62,5.6
Houston Christian (Southland),11,0-11,43,38,188,62,5.6
