Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
James Madison (CAA),14,12-2,13,18,31,7,5,12,19,1.36
Harvard (Ivy League),10,8-2,6,17,23,4,8,12,11,1.10
McNeese (Southland),11,4-7,9,12,21,6,3,9,12,1.09
ETSU (SoCon),13,11-2,10,15,25,6,6,12,13,1.00
Montana St. (Big Sky),15,12-3,5,18,23,5,4,9,14,0.93
South Dakota St. (MVFC),15,11-4,7,21,28,7,7,14,14,0.93
Florida A&M (SWAC),12,9-3,12,13,25,7,7,14,11,0.92
Eastern Wash. (Big Sky),13,10-3,9,14,23,4,8,12,11,0.85
Austin Peay (OVC),11,6-5,8,19,27,9,9,18,9,0.82
Columbia (Ivy League),10,7-3,4,12,16,5,3,8,8,0.80
Marist (Pioneer),10,5-5,4,13,17,2,7,9,8,0.80
Alcorn (SWAC),11,6-5,16,3,19,6,5,11,8,0.73
Holy Cross (Patriot),13,10-3,6,18,24,6,9,15,9,0.69
Montana (Big Sky),13,10-3,12,18,30,8,13,21,9,0.69
Southern Ill. (MVFC),13,8-5,12,16,28,7,12,19,9,0.69
North Dakota St. (MVFC),15,14-1,8,14,22,5,7,12,10,0.67
South Carolina St. (MEAC),12,7-5,12,13,25,3,14,17,8,0.67
Elon (CAA),11,6-5,8,9,17,5,5,10,7,0.64
Northern Ariz. (Big Sky),11,5-6,9,14,23,6,10,16,7,0.64
William & Mary (CAA),11,6-5,9,14,23,6,10,16,7,0.64
Charleston So. (Big South),10,4-6,8,13,21,5,10,15,6,0.60
Bryant (NEC),11,7-4,6,11,17,7,4,11,6,0.55
Delaware St. (MEAC),11,5-6,5,14,19,8,5,13,6,0.55
UIW (Southland),13,10-3,10,16,26,9,10,19,7,0.54
SFA (WAC),12,8-4,9,15,24,7,11,18,6,0.50
Sacramento St. (Big Sky),12,9-3,5,16,21,7,8,15,6,0.50
Villanova (CAA),13,10-3,6,19,25,9,10,19,6,0.46
Maine (CAA),11,6-5,5,10,15,4,6,10,5,0.45
San Diego (Pioneer),11,7-4,6,12,18,3,10,13,5,0.45
Dayton (Pioneer),10,6-4,6,9,15,4,7,11,4,0.40
Central Ark. (ASUN),11,5-6,8,10,18,2,12,14,4,0.36
Central Conn. St. (NEC),11,4-7,11,9,20,7,9,16,4,0.36
Grambling (SWAC),11,4-7,11,10,21,6,11,17,4,0.36
