Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Harvard (Ivy League),10,8-2,322,646,2.01,7,64.6
Princeton (Ivy League),10,9-1,288,732,2.54,5,73.2
Montana (Big Sky),13,10-3,450,1096,2.44,10,84.3
Sam Houston (WAC),12,11-1,361,1023,2.83,9,85.2
UNI (MVFC),12,6-6,415,1045,2.52,11,87.1
North Dakota St. (MVFC),15,14-1,459,1314,2.86,6,87.6
Holy Cross (Patriot),13,10-3,428,1149,2.68,12,88.4
James Madison (CAA),14,12-2,475,1246,2.62,7,89.0
Florida A&M (SWAC),12,9-3,382,1136,2.97,13,94.7
Jackson St. (SWAC),13,11-2,461,1304,2.83,7,100.3
Kennesaw St. (Big South),13,11-2,361,1377,3.81,11,105.9
William & Mary (CAA),11,6-5,364,1182,3.25,12,107.5
N.C. A&T (Big South),11,5-6,387,1196,3.09,19,108.7
South Dakota St. (MVFC),15,11-4,506,1648,3.26,15,109.9
Weber St. (Big Sky),11,6-5,361,1211,3.35,13,110.1
McNeese (Southland),11,4-7,360,1221,3.39,13,111.0
Dartmouth (Ivy League),10,9-1,331,1111,3.36,8,111.1
Villanova (CAA),13,10-3,453,1458,3.22,16,112.2
SFA (WAC),12,8-4,423,1359,3.21,12,113.2
Richmond (CAA),11,6-5,380,1257,3.31,11,114.3
Yale (Ivy League),10,5-5,362,1171,3.23,15,117.1
Bryant (NEC),11,7-4,338,1312,3.88,13,119.3
San Diego (Pioneer),11,7-4,366,1329,3.63,14,120.8
South Dakota (MVFC),12,7-5,412,1451,3.52,13,120.9
Sacramento St. (Big Sky),12,9-3,385,1459,3.79,18,121.6
South Carolina St. (MEAC),12,7-5,406,1462,3.60,18,121.8
Chattanooga (SoCon),11,6-5,408,1345,3.30,4,122.3
Stetson (Pioneer),10,3-7,327,1225,3.75,22,122.5
Charleston So. (Big South),10,4-6,377,1245,3.30,18,124.5
Duquesne (NEC),10,7-3,323,1247,3.86,16,124.7
Montana St. (Big Sky),15,12-3,566,1889,3.34,11,125.9
Missouri St. (MVFC),12,8-4,406,1514,3.73,17,126.2
Central Conn. St. (NEC),11,4-7,361,1391,3.85,17,126.5
Columbia (Ivy League),10,7-3,372,1286,3.46,16,128.6
Norfolk St. (MEAC),11,6-5,367,1420,3.87,18,129.1
Delaware St. (MEAC),11,5-6,381,1433,3.76,16,130.3
Stony Brook (CAA),11,5-6,358,1448,4.04,13,131.6
Penn (Ivy League),10,3-7,383,1334,3.48,15,133.4
Delaware (CAA),11,5-6,399,1479,3.71,14,134.5
Monmouth (Big South),11,7-4,356,1484,4.17,20,134.9
Alcorn (SWAC),11,6-5,375,1490,3.97,16,135.5
Prairie View (SWAC),12,7-5,440,1640,3.73,17,136.7
Illinois St. (MVFC),11,4-7,429,1512,3.52,14,137.5
North Dakota (MVFC),11,5-6,386,1533,3.97,9,139.4
Nicholls (Southland),11,6-5,340,1535,4.51,14,139.5
Eastern Ky. (ASUN),11,7-4,403,1557,3.86,20,141.5
Davidson (Pioneer),11,8-3,344,1570,4.56,21,142.7
Tennessee Tech (OVC),11,3-8,367,1571,4.28,18,142.8
Elon (CAA),11,6-5,392,1608,4.10,13,146.2
Mississippi Val. (SWAC),11,4-7,375,1612,4.30,14,146.5
Cornell (Ivy League),10,2-8,367,1469,4.00,19,146.9
New Hampshire (CAA),11,3-8,457,1628,3.56,16,148.0
Mercer (SoCon),10,7-3,382,1481,3.88,14,148.1
Austin Peay (OVC),11,6-5,420,1633,3.89,13,148.5
Southeastern La. (Southland),13,9-4,409,1931,4.72,20,148.5
UT Martin (OVC),13,10-3,433,1931,4.46,12,148.5
Portland St. (Big Sky),11,5-6,382,1637,4.29,19,148.8
Sacred Heart (NEC),12,8-4,403,1797,4.46,11,149.8
Saint Francis (PA) (NEC),11,5-6,456,1649,3.62,12,149.9
Valparaiso (Pioneer),11,4-7,412,1659,4.03,22,150.8
Idaho (Big Sky),11,4-7,444,1661,3.74,19,151.0
Furman (SoCon),11,6-5,408,1684,4.13,16,153.1
ETSU (SoCon),13,11-2,466,2000,4.29,20,153.8
Alabama St. (SWAC),11,5-6,353,1705,4.83,22,155.0
Marist (Pioneer),10,5-5,394,1560,3.96,18,156.0
Rhode Island (CAA),11,7-4,427,1720,4.03,20,156.4
Campbell (Big South),11,3-8,399,1725,4.32,16,156.8
Lehigh (Patriot),11,3-8,393,1725,4.39,17,156.8
Tennessee St. (OVC),11,5-6,407,1728,4.25,17,157.1
Jacksonville St. (ASUN),11,5-6,419,1742,4.16,20,158.4
Hampton (Big South),11,5-6,391,1748,4.47,23,158.9
Lafayette (Patriot),11,3-8,441,1750,3.97,19,159.1
Maine (CAA),11,6-5,386,1775,4.60,14,161.4
Eastern Wash. (Big Sky),13,10-3,492,2102,4.27,29,161.7
Northern Ariz. (Big Sky),11,5-6,394,1779,4.52,18,161.7
Murray St. (OVC),11,6-5,394,1781,4.52,27,161.9
Towson (CAA),11,4-7,388,1802,4.64,24,163.8
Northern Colo. (Big Sky),11,3-8,441,1811,4.11,21,164.6
Central Ark. (ASUN),11,5-6,387,1836,4.74,14,166.9
Dayton (Pioneer),10,6-4,352,1688,4.80,18,168.8
Robert Morris (Big South),10,4-6,369,1705,4.62,21,170.5
Ark.-Pine Bluff (SWAC),11,2-9,423,1882,4.45,17,171.1
Morgan St. (MEAC),11,2-9,439,1899,4.33,16,172.6
Grambling (SWAC),11,4-7,441,1902,4.31,18,172.9
Southeast Mo. St. (OVC),11,4-7,392,1902,4.85,23,172.9
Idaho St. (Big Sky),11,1-10,387,1910,4.94,16,173.6
Wagner (NEC),11,0-11,422,1910,4.53,25,173.6
Abilene Christian (WAC),11,5-6,425,1923,4.52,10,174.8
Southern U. (SWAC),11,4-7,409,1947,4.76,22,177.0
Indiana St. (MVFC),11,5-6,418,1950,4.67,17,177.3
UIW (Southland),13,10-3,521,2308,4.43,25,177.5
Colgate (Patriot),11,5-6,396,1959,4.95,23,178.1
Drake (Pioneer),10,2-8,380,1783,4.69,18,178.3
Bethune-Cookman (SWAC),11,2-9,451,1962,4.35,26,178.4
Howard (MEAC),11,3-8,414,1963,4.74,27,178.5
Gardner-Webb (Big South),11,4-7,476,1969,4.14,20,179.0
Eastern Ill. (OVC),11,1-10,463,1972,4.26,21,179.3
