Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Presbyterian (Pioneer),11,2-9,18,123,0,6.83
Abilene Christian (WAC),11,5-6,12,127,0,10.58
Southern U. (SWAC),11,4-7,31,411,1,13.26
Saint Francis (PA) (NEC),11,5-6,16,223,0,13.94
Lehigh (Patriot),11,3-8,24,358,0,14.92
Norfolk St. (MEAC),11,6-5,35,529,1,15.11
James Madison (CAA),14,12-2,75,1144,0,15.25
Hampton (Big South),11,5-6,27,424,0,15.70
Sacred Heart (NEC),12,8-4,35,550,0,15.71
Fordham (Patriot),11,6-5,41,651,0,15.88
Mercer (SoCon),10,7-3,39,626,0,16.05
Jacksonville St. (ASUN),11,5-6,18,293,0,16.28
Penn (Ivy League),10,3-7,16,261,0,16.31
Montana St. (Big Sky),15,12-3,34,556,0,16.35
Eastern Ill. (OVC),11,1-10,18,296,1,16.44
Drake (Pioneer),10,2-8,19,313,0,16.47
Campbell (Big South),11,3-8,16,264,0,16.50
Colgate (Patriot),11,5-6,18,299,0,16.61
N.C. A&T (Big South),11,5-6,34,566,0,16.65
Murray St. (OVC),11,6-5,12,201,0,16.75
William & Mary (CAA),11,6-5,29,487,0,16.79
VMI (SoCon),11,6-5,38,642,0,16.89
Morehead St. (Pioneer),11,7-4,47,801,0,17.04
N.C. Central (MEAC),11,6-5,46,784,0,17.04
Morgan St. (MEAC),11,2-9,28,485,0,17.32
Rhode Island (CAA),11,7-4,32,555,0,17.34
Princeton (Ivy League),10,9-1,28,488,0,17.43
Richmond (CAA),11,6-5,30,525,0,17.50
UNI (MVFC),12,6-6,23,406,0,17.65
Furman (SoCon),11,6-5,31,552,0,17.81
Monmouth (Big South),11,7-4,31,557,0,17.97
South Dakota St. (MVFC),15,11-4,35,631,0,18.03
McNeese (Southland),11,4-7,25,451,0,18.04
Montana (Big Sky),13,10-3,22,399,0,18.14
UC Davis (Big Sky),12,8-4,29,526,0,18.14
UAlbany (CAA),11,2-9,24,436,0,18.17
Valparaiso (Pioneer),11,4-7,32,586,0,18.31
Delaware (CAA),11,5-6,15,275,0,18.33
UT Martin (OVC),13,10-3,35,642,0,18.34
Austin Peay (OVC),11,6-5,22,406,0,18.45
