Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Central Conn. St. (NEC),11,4-7,378:21,34:24
Alcorn (SWAC),11,6-5,371:42,33:47
The Citadel (SoCon),11,4-7,370:47,33:42
San Diego (Pioneer),11,7-4,369:27,33:35
Norfolk St. (MEAC),11,6-5,369:09,33:34
Kennesaw St. (Big South),13,11-2,434:42,33:26
Davidson (Pioneer),11,8-3,365:54,33:16
Southeastern La. (Southland),13,9-4,430:19,33:06
Nicholls (Southland),11,6-5,363:04,33:00
Alabama St. (SWAC),11,5-6,362:07,32:55
Sacramento St. (Big Sky),12,9-3,394:58,32:55
Yale (Ivy League),10,5-5,328:55,32:54
Holy Cross (Patriot),13,10-3,423:52,32:36
Bryant (NEC),11,7-4,357:58,32:33
Delaware St. (MEAC),11,5-6,357:12,32:28
Tennessee Tech (OVC),11,3-8,357:03,32:28
Chattanooga (SoCon),11,6-5,355:12,32:17
North Dakota St. (MVFC),15,14-1,484:20,32:17
Alabama A&M (SWAC),10,7-3,322:46,32:17
Princeton (Ivy League),10,9-1,321:35,32:10
Monmouth (Big South),11,7-4,352:53,32:05
Florida A&M (SWAC),12,9-3,384:22,32:02
ETSU (SoCon),13,11-2,415:55,32:00
Portland St. (Big Sky),11,5-6,351:44,31:59
Stony Brook (CAA),11,5-6,351:41,31:58
North Dakota (MVFC),11,5-6,350:26,31:51
UT Martin (OVC),13,10-3,413:55,31:50
Youngstown St. (MVFC),10,3-7,317:56,31:48
Sacred Heart (NEC),12,8-4,381:08,31:46
Duquesne (NEC),10,7-3,317:32,31:45
Missouri St. (MVFC),12,8-4,379:10,31:36
McNeese (Southland),11,4-7,346:02,31:27
Tennessee St. (OVC),11,5-6,345:50,31:26
Presbyterian (Pioneer),11,2-9,344:14,31:18
Dayton (Pioneer),10,6-4,312:24,31:14
Butler (Pioneer),11,3-8,343:06,31:11
Sam Houston (WAC),12,11-1,374:13,31:11
SFA (WAC),12,8-4,374:13,31:11
Northwestern St. (Southland),11,3-8,342:45,31:10
James Madison (CAA),14,12-2,435:03,31:04
South Dakota St. (MVFC),15,11-4,465:55,31:04
Weber St. (Big Sky),11,6-5,341:26,31:02
Dartmouth (Ivy League),10,9-1,309:22,30:56
Northern Colo. (Big Sky),11,3-8,340:18,30:56
Prairie View (SWAC),12,7-5,370:49,30:54
South Carolina St. (MEAC),12,7-5,370:38,30:53
Wagner (NEC),11,0-11,339:27,30:52
Southern Utah (Big Sky),11,1-10,338:36,30:47
Mississippi Val. (SWAC),11,4-7,337:37,30:42
Elon (CAA),11,6-5,337:04,30:39
Towson (CAA),11,4-7,336:30,30:35
Valparaiso (Pioneer),11,4-7,336:27,30:35
UAlbany (CAA),11,2-9,335:52,30:32
Southern U. (SWAC),11,4-7,335:40,30:31
Murray St. (OVC),11,6-5,335:16,30:29
Robert Morris (Big South),10,4-6,304:11,30:25
Harvard (Ivy League),10,8-2,303:37,30:22
Southeast Mo. St. (OVC),11,4-7,333:56,30:21
Hampton (Big South),11,5-6,333:12,30:17
Lamar University (WAC),10,1-9,302:48,30:17
N.C. A&T (Big South),11,5-6,333:00,30:16
Furman (SoCon),11,6-5,332:44,30:15
Montana St. (Big Sky),15,12-3,453:09,30:13
Idaho St. (Big Sky),11,1-10,332:18,30:13
Delaware (CAA),11,5-6,332:14,30:12
Villanova (CAA),13,10-3,391:30,30:07
Western Ill. (MVFC),11,2-9,331:11,30:06
Mercer (SoCon),10,7-3,300:19,30:02
Eastern Ky. (ASUN),11,7-4,329:19,29:56
Richmond (CAA),11,6-5,329:00,29:55
VMI (SoCon),11,6-5,328:57,29:54
Colgate (Patriot),11,5-6,328:39,29:53
South Dakota (MVFC),12,7-5,358:25,29:52
Cornell (Ivy League),10,2-8,298:32,29:51
Lafayette (Patriot),11,3-8,327:11,29:45
Brown (Ivy League),10,2-8,297:03,29:42
William & Mary (CAA),11,6-5,325:44,29:37
Maine (CAA),11,6-5,325:12,29:34
UNI (MVFC),12,6-6,354:05,29:30
