Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Presbyterian (Pioneer),11,2-9,654,407,35,4562,6.98,11.21,44,414.7
Southeastern La. (Southland),13,9-4,570,415,10,5293,9.29,12.75,45,407.2
Eastern Wash. (Big Sky),13,10-3,572,373,8,5192,9.08,13.92,47,399.4
Alabama A&M (SWAC),10,7-3,425,265,9,3672,8.64,13.86,37,367.2
UIW (Southland),13,10-3,597,389,10,4680,7.84,12.03,48,360.0
Morehead St. (Pioneer),11,7-4,512,292,20,3691,7.21,12.64,30,335.5
Western Caro. (SoCon),11,4-7,472,282,18,3521,7.46,12.49,26,320.1
Brown (Ivy League),10,2-8,450,298,14,3119,6.93,10.47,25,311.9
Samford (SoCon),11,4-7,480,318,15,3382,7.05,10.64,22,307.5
Western Ill. (MVFC),11,2-9,482,315,14,3311,6.87,10.51,23,301.0
Fordham (Patriot),11,6-5,411,241,9,3264,7.94,13.54,31,296.7
Sacramento St. (Big Sky),12,9-3,439,273,8,3500,7.97,12.82,20,291.7
SFA (WAC),12,8-4,416,263,11,3499,8.41,13.30,30,291.6
Portland St. (Big Sky),11,5-6,440,270,12,3154,7.17,11.68,21,286.7
Missouri St. (MVFC),12,8-4,412,240,11,3394,8.24,14.14,22,282.8
Central Ark. (ASUN),11,5-6,378,236,12,3087,8.17,13.08,28,280.6
James Madison (CAA),14,12-2,442,299,5,3868,8.75,12.94,43,276.3
Austin Peay (OVC),11,6-5,416,227,9,3009,7.23,13.26,23,273.5
Elon (CAA),11,6-5,398,253,5,2924,7.35,11.56,17,265.8
Princeton (Ivy League),10,9-1,316,208,8,2655,8.40,12.76,15,265.5
Sam Houston (WAC),12,11-1,413,240,11,3153,7.63,13.14,32,262.8
Campbell (Big South),11,3-8,377,223,10,2878,7.63,12.91,24,261.6
VMI (SoCon),11,6-5,425,269,13,2826,6.65,10.51,18,256.9
Charleston So. (Big South),10,4-6,434,239,10,2553,5.88,10.68,19,255.3
Southern Ill. (MVFC),13,8-5,439,271,12,3315,7.55,12.23,28,255.0
Georgetown (Patriot),10,2-8,353,209,9,2537,7.19,12.14,11,253.7
Yale (Ivy League),10,5-5,352,193,12,2496,7.09,12.93,20,249.6
Jackson St. (SWAC),13,11-2,417,272,8,3231,7.75,11.88,30,248.5
Nicholls (Southland),11,6-5,359,216,15,2711,7.55,12.55,20,246.5
Monmouth (Big South),11,7-4,374,243,6,2709,7.24,11.15,25,246.3
Cornell (Ivy League),10,2-8,378,193,14,2429,6.43,12.59,12,242.9
Texas Southern (SWAC),10,2-8,308,177,4,2412,7.83,13.63,15,241.2
North Dakota (MVFC),11,5-6,388,250,7,2641,6.81,10.56,19,240.1
Gardner-Webb (Big South),11,4-7,371,223,6,2620,7.06,11.75,20,238.2
San Diego (Pioneer),11,7-4,362,225,10,2579,7.12,11.46,16,234.5
Dayton (Pioneer),10,6-4,288,171,7,2341,8.13,13.69,14,234.1
Hampton (Big South),11,5-6,303,177,12,2570,8.48,14.52,16,233.6
Southern Utah (Big Sky),11,1-10,390,242,13,2544,6.52,10.51,10,231.3
UC Davis (Big Sky),12,8-4,437,265,18,2775,6.35,10.47,19,231.2
South Dakota St. (MVFC),15,11-4,406,253,7,3434,8.46,13.57,31,228.9
Norfolk St. (MEAC),11,6-5,316,199,5,2511,7.95,12.62,21,228.3
Eastern Ky. (ASUN),11,7-4,385,234,10,2510,6.52,10.73,18,228.2
Howard (MEAC),11,3-8,325,190,8,2496,7.68,13.14,17,226.9
Bryant (NEC),11,7-4,390,244,4,2490,6.38,10.20,22,226.4
Alcorn (SWAC),11,6-5,310,192,5,2489,8.03,12.96,20,226.3
