Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Holy Cross (Patriot),13,10-3,4,17,0.235
Harvard (Ivy League),10,8-2,6,24,0.250
South Carolina St. (MEAC),12,7-5,5,19,0.263
Alcorn (SWAC),11,6-5,5,18,0.278
SFA (WAC),12,8-4,6,21,0.286
UNI (MVFC),12,6-6,8,28,0.286
Illinois St. (MVFC),11,4-7,5,17,0.294
Furman (SoCon),11,6-5,4,13,0.308
Richmond (CAA),11,6-5,5,16,0.312
Columbia (Ivy League),10,7-3,8,25,0.320
Sacred Heart (NEC),12,8-4,6,18,0.333
Youngstown St. (MVFC),10,3-7,5,15,0.333
Morehead St. (Pioneer),11,7-4,12,35,0.343
San Diego (Pioneer),11,7-4,9,26,0.346
Sacramento St. (Big Sky),12,9-3,8,23,0.348
Florida A&M (SWAC),12,9-3,7,20,0.350
Central Ark. (ASUN),11,5-6,5,14,0.357
Montana St. (Big Sky),15,12-3,10,28,0.357
Princeton (Ivy League),10,9-1,10,28,0.357
Alabama St. (SWAC),11,5-6,6,16,0.375
Dayton (Pioneer),10,6-4,14,36,0.389
North Dakota (MVFC),11,5-6,7,18,0.389
Robert Morris (Big South),10,4-6,7,18,0.389
Lehigh (Patriot),11,3-8,8,20,0.400
Mississippi Val. (SWAC),11,4-7,6,15,0.400
Bryant (NEC),11,7-4,9,22,0.409
Delaware (CAA),11,5-6,7,17,0.412
Grambling (SWAC),11,4-7,7,17,0.412
Sam Houston (WAC),12,11-1,7,17,0.412
Elon (CAA),11,6-5,10,24,0.417
Jacksonville St. (ASUN),11,5-6,5,12,0.417
Kennesaw St. (Big South),13,11-2,10,24,0.417
Missouri St. (MVFC),12,8-4,11,26,0.423
Stetson (Pioneer),10,3-7,11,26,0.423
Butler (Pioneer),11,3-8,6,14,0.429
Maine (CAA),11,6-5,9,21,0.429
North Dakota St. (MVFC),15,14-1,16,37,0.432
Campbell (Big South),11,3-8,13,30,0.433
Southeast Mo. St. (OVC),11,4-7,10,23,0.435
Portland St. (Big Sky),11,5-6,8,18,0.444
UT Martin (OVC),13,10-3,12,27,0.444
Villanova (CAA),13,10-3,13,29,0.448
Montana (Big Sky),13,10-3,14,31,0.452
Indiana St. (MVFC),11,5-6,10,22,0.455
Eastern Ky. (ASUN),11,7-4,11,24,0.458
UC Davis (Big Sky),12,8-4,11,24,0.458
