Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Davidson (Pioneer),11,8-3,151,80,0.530
Southeastern La. (Southland),13,9-4,167,87,0.521
Eastern Wash. (Big Sky),13,10-3,205,101,0.493
Kennesaw St. (Big South),13,11-2,173,83,0.480
North Dakota St. (MVFC),15,14-1,180,85,0.472
Hampton (Big South),11,5-6,152,71,0.467
UIW (Southland),13,10-3,177,81,0.458
Nicholls (Southland),11,6-5,139,63,0.453
The Citadel (SoCon),11,4-7,176,79,0.449
Portland St. (Big Sky),11,5-6,146,65,0.445
Missouri St. (MVFC),12,8-4,173,77,0.445
James Madison (CAA),14,12-2,196,87,0.444
Bryant (NEC),11,7-4,151,67,0.444
Dartmouth (Ivy League),10,9-1,122,54,0.443
Morehead St. (Pioneer),11,7-4,159,70,0.440
Duquesne (NEC),10,7-3,123,54,0.439
Sam Houston (WAC),12,11-1,169,74,0.438
ETSU (SoCon),13,11-2,166,72,0.434
Brown (Ivy League),10,2-8,164,71,0.433
Youngstown St. (MVFC),10,3-7,141,61,0.433
South Dakota St. (MVFC),15,11-4,190,82,0.432
Elon (CAA),11,6-5,163,70,0.429
Monmouth (Big South),11,7-4,163,70,0.429
Abilene Christian (WAC),11,5-6,140,60,0.429
Dayton (Pioneer),10,6-4,136,58,0.426
Mercer (SoCon),10,7-3,127,54,0.425
VMI (SoCon),11,6-5,167,71,0.425
Fordham (Patriot),11,6-5,136,57,0.419
Central Ark. (ASUN),11,5-6,141,59,0.418
Southern U. (SWAC),11,4-7,153,64,0.418
Samford (SoCon),11,4-7,154,64,0.416
Norfolk St. (MEAC),11,6-5,142,59,0.415
Georgetown (Patriot),10,2-8,160,66,0.412
North Dakota (MVFC),11,5-6,148,61,0.412
Jacksonville St. (ASUN),11,5-6,153,63,0.412
UT Martin (OVC),13,10-3,187,77,0.412
Holy Cross (Patriot),13,10-3,180,74,0.411
Alabama A&M (SWAC),10,7-3,132,54,0.409
Princeton (Ivy League),10,9-1,152,62,0.408
Murray St. (OVC),11,6-5,157,64,0.408
Chattanooga (SoCon),11,6-5,145,59,0.407
UC Davis (Big Sky),12,8-4,182,74,0.407
Montana St. (Big Sky),15,12-3,202,82,0.406
Robert Morris (Big South),10,4-6,138,56,0.406
Furman (SoCon),11,6-5,161,65,0.404
Weber St. (Big Sky),11,6-5,161,65,0.404
SFA (WAC),12,8-4,166,67,0.404
Sacred Heart (NEC),12,8-4,156,62,0.397
South Dakota (MVFC),12,7-5,164,65,0.396
