Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Southeast Mo. St. (OVC),11,4-7,33,15,8,10,33,1.000
Youngstown St. (MVFC),10,3-7,25,12,8,5,25,1.000
Duquesne (NEC),10,7-3,39,10,11,16,37,0.949
Eastern Ky. (ASUN),11,7-4,33,12,12,7,31,0.939
Villanova (CAA),13,10-3,46,20,13,10,43,0.935
Austin Peay (OVC),11,6-5,30,12,5,11,28,0.933
Montana St. (Big Sky),15,12-3,48,19,12,13,44,0.917
N.C. Central (MEAC),11,6-5,34,13,8,10,31,0.912
Samford (SoCon),11,4-7,55,25,12,13,50,0.909
ETSU (SoCon),13,11-2,53,24,12,12,48,0.906
Missouri St. (MVFC),12,8-4,49,20,10,14,44,0.898
Southeastern La. (Southland),13,9-4,75,31,26,10,67,0.893
Central Ark. (ASUN),11,5-6,44,21,15,3,39,0.886
James Madison (CAA),14,12-2,61,12,20,22,54,0.885
Sam Houston (WAC),12,11-1,52,22,17,7,46,0.885
Fordham (Patriot),11,6-5,43,12,20,6,38,0.884
Weber St. (Big Sky),11,6-5,41,19,9,8,36,0.878
Alabama A&M (SWAC),10,7-3,48,11,26,5,42,0.875
Bryant (NEC),11,7-4,48,19,18,5,42,0.875
South Dakota St. (MVFC),15,11-4,64,25,21,10,56,0.875
Houston Christian (Southland),11,0-11,23,6,7,7,20,0.870
Bucknell (Patriot),11,1-10,15,6,2,5,13,0.867
Saint Francis (PA) (NEC),11,5-6,30,6,9,11,26,0.867
Eastern Wash. (Big Sky),13,10-3,74,25,29,10,64,0.865
Holy Cross (Patriot),13,10-3,51,28,12,4,44,0.863
Columbia (Ivy League),10,7-3,36,13,5,13,31,0.861
Hampton (Big South),11,5-6,36,17,6,8,31,0.861
Furman (SoCon),11,6-5,35,17,4,9,30,0.857
Yale (Ivy League),10,5-5,28,14,7,3,24,0.857
Brown (Ivy League),10,2-8,41,11,18,6,35,0.854
Bethune-Cookman (SWAC),11,2-9,34,14,11,4,29,0.853
Georgetown (Patriot),10,2-8,27,11,7,5,23,0.852
Penn (Ivy League),10,3-7,27,11,5,7,23,0.852
Texas Southern (SWAC),10,2-8,40,22,7,5,34,0.850
VMI (SoCon),11,6-5,53,20,13,12,45,0.849
Southern U. (SWAC),11,4-7,33,15,7,6,28,0.848
Western Ill. (MVFC),11,2-9,33,7,16,5,28,0.848
Grambling (SWAC),11,4-7,32,7,8,12,27,0.844
Howard (MEAC),11,3-8,32,13,8,6,27,0.844
South Carolina St. (MEAC),12,7-5,43,13,12,11,36,0.837
Valparaiso (Pioneer),11,4-7,43,17,7,12,36,0.837
