Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Campbell (Big South),11,3-8,13,29,0,2.23
Wofford (SoCon),11,1-10,10,29,0,2.90
Montana (Big Sky),13,10-3,26,83,0,3.19
Southern Ill. (MVFC),13,8-5,12,39,0,3.25
Kennesaw St. (Big South),13,11-2,5,17,0,3.40
UIW (Southland),13,10-3,7,24,0,3.43
McNeese (Southland),11,4-7,14,51,0,3.64
Dayton (Pioneer),10,6-4,7,26,0,3.71
James Madison (CAA),14,12-2,14,52,0,3.71
Saint Francis (PA) (NEC),11,5-6,11,41,0,3.73
Lehigh (Patriot),11,3-8,17,64,0,3.76
Abilene Christian (WAC),11,5-6,12,48,0,4.00
Rhode Island (CAA),11,7-4,19,76,0,4.00
Austin Peay (OVC),11,6-5,12,49,0,4.08
Elon (CAA),11,6-5,13,54,0,4.15
Maine (CAA),11,6-5,12,52,1,4.33
Samford (SoCon),11,4-7,7,31,0,4.43
Holy Cross (Patriot),13,10-3,10,45,0,4.50
Lafayette (Patriot),11,3-8,16,74,1,4.62
Houston Christian (Southland),11,0-11,15,72,0,4.80
UC Davis (Big Sky),12,8-4,22,106,0,4.82
Illinois St. (MVFC),11,4-7,27,132,1,4.89
North Dakota (MVFC),11,5-6,9,44,0,4.89
Texas Southern (SWAC),10,2-8,19,93,2,4.89
Chattanooga (SoCon),11,6-5,10,49,0,4.90
Central Conn. St. (NEC),11,4-7,16,80,0,5.00
Murray St. (OVC),11,6-5,13,65,0,5.00
Eastern Wash. (Big Sky),13,10-3,19,96,0,5.05
Missouri St. (MVFC),12,8-4,21,112,0,5.33
Sam Houston (WAC),12,11-1,12,65,0,5.42
Southern U. (SWAC),11,4-7,12,68,0,5.67
Cal Poly (Big Sky),11,2-9,25,143,1,5.72
North Dakota St. (MVFC),15,14-1,15,88,1,5.87
Princeton (Ivy League),10,9-1,11,65,0,5.91
Hampton (Big South),11,5-6,19,114,0,6.00
Weber St. (Big Sky),11,6-5,10,60,0,6.00
Brown (Ivy League),10,2-8,20,125,0,6.25
Yale (Ivy League),10,5-5,20,125,1,6.25
Dartmouth (Ivy League),10,9-1,3,19,0,6.33
Northwestern St. (Southland),11,3-8,18,115,0,6.39
Stony Brook (CAA),11,5-6,13,84,0,6.46
New Hampshire (CAA),11,3-8,20,130,0,6.50
Jackson St. (SWAC),13,11-2,21,138,0,6.57
Fordham (Patriot),11,6-5,13,86,0,6.62
Georgetown (Patriot),10,2-8,18,120,0,6.67
Richmond (CAA),11,6-5,19,127,1,6.68
Youngstown St. (MVFC),10,3-7,18,121,0,6.72
Tennessee Tech (OVC),11,3-8,19,128,1,6.74
Montana St. (Big Sky),15,12-3,20,135,0,6.75
ETSU (SoCon),13,11-2,18,122,0,6.78
