Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
South Carolina St. (MEAC),4,3-1,14,1,5,1,7,0.500
Fordham (Patriot),3,2-1,13,3,1,3,7,0.538
Bucknell (Patriot),4,2-2,12,2,3,2,7,0.583
Charleston So. (Big South),4,2-2,12,3,3,1,7,0.583
Drake (Pioneer),5,2-3,15,5,0,4,9,0.600
Stony Brook (CAA),4,1-3,11,3,4,0,7,0.636
Sacred Heart (NEC),5,3-2,17,3,5,3,11,0.647
Duquesne (NEC),5,4-1,15,4,4,2,10,0.667
Southeast Mo. St. (OVC),8,4-4,27,6,7,5,18,0.667
UNI (MVFC),7,3-4,21,2,6,6,14,0.667
UAlbany (CAA),4,1-3,16,3,7,1,11,0.688
Alabama A&M (SWAC),4,4-0,13,3,6,0,9,0.692
Sam Houston (Southland),10,10-0,33,5,11,7,23,0.697
Prairie View (SWAC),3,2-1,10,2,4,1,7,0.700
Richmond (CAA),4,3-1,10,3,1,3,7,0.700
Lafayette (Patriot),3,2-1,7,1,2,2,5,0.714
Missouri St. (MVFC),10,5-5,32,6,8,9,23,0.719
Alabama St. (SWAC),5,2-3,18,6,4,3,13,0.722
UT Martin (OVC),7,3-4,18,6,5,2,13,0.722
Northwestern St. (Southland),6,1-5,26,7,7,5,19,0.731
LIU (NEC),4,2-2,19,7,6,1,14,0.737
Jacksonville St. (OVC),13,10-3,42,15,7,9,31,0.738
Idaho (Big Sky),6,2-4,23,6,6,5,17,0.739
South Dakota St. (MVFC),10,8-2,27,8,5,7,20,0.741
Kennesaw St. (Big South),5,4-1,12,4,4,1,9,0.750
Wagner (NEC),2,0-2,8,5,0,1,6,0.750
Idaho St. (Big Sky),6,2-4,26,8,8,4,20,0.769
Lehigh (Patriot),3,0-3,9,0,2,5,7,0.778
Stetson (Pioneer),4,0-4,18,4,4,6,14,0.778
Abilene Christian (Southland),6,1-5,28,12,5,5,22,0.786
Morehead St. (Pioneer),7,4-3,28,14,3,5,22,0.786
San Diego (Pioneer),6,4-2,14,2,4,5,11,0.786
South Dakota (MVFC),4,1-3,14,5,1,5,11,0.786
Northern Ariz. (Big Sky),5,3-2,19,4,8,3,15,0.789
SFA (Southland),10,6-4,38,15,6,9,30,0.789
Murray St. (OVC),7,5-2,24,11,3,5,19,0.792
Eastern Wash. (Big Sky),7,5-2,29,14,6,3,23,0.793
Holy Cross (Patriot),4,3-1,10,2,2,4,8,0.800
Howard (MEAC),2,0-2,5,2,1,1,4,0.800
Mississippi Val. (SWAC),3,0-3,15,5,5,2,12,0.800
Rhode Island (CAA),3,2-1,10,3,2,3,8,0.800
UC Davis (Big Sky),5,3-2,15,5,3,4,12,0.800
VMI (SoCon),8,6-2,25,7,6,7,20,0.800
Jackson St. (SWAC),6,3-3,21,9,6,2,17,0.810
Youngstown St. (MVFC),7,1-6,21,9,3,5,17,0.810
ETSU (SoCon),6,4-2,16,9,1,3,13,0.812
Valparaiso (Pioneer),6,4-2,16,9,2,2,13,0.812
The Citadel (SoCon),12,2-10,38,18,9,4,31,0.816
Houston Christian (Southland),4,1-3,22,7,9,2,18,0.818
Wofford (SoCon),5,1-4,22,11,4,3,18,0.818
Western Caro. (SoCon),9,1-8,39,25,3,4,32,0.821
Tennessee St. (OVC),7,2-5,28,12,6,5,23,0.821
Delaware St. (MEAC),5,2-3,17,6,4,4,14,0.824
Presbyterian (Pioneer),7,4-3,23,7,6,6,19,0.826
Ark.-Pine Bluff (SWAC),5,4-1,18,6,6,3,15,0.833
Butler (Pioneer),6,0-6,24,8,9,3,20,0.833
Furman (SoCon),7,3-4,18,6,3,6,15,0.833
Illinois St. (MVFC),4,1-3,12,6,2,2,10,0.833
Portland St. (Big Sky),1,0-1,6,4,1,0,5,0.833
Robert Morris (Big South),3,0-3,12,7,0,3,10,0.833
Tennessee Tech (OVC),7,2-5,25,9,7,5,21,0.840
Southeastern La. (Southland),7,4-3,32,17,4,6,27,0.844
Monmouth (Big South),4,3-1,13,2,5,4,11,0.846
Samford (SoCon),7,4-3,26,11,5,6,22,0.846
Southern U. (SWAC),5,4-1,13,4,5,2,11,0.846
McNeese (Southland),7,3-4,33,6,11,11,28,0.848
Bryant (NEC),4,2-2,7,4,2,0,6,0.857
Chattanooga (SoCon),5,3-2,21,8,4,6,18,0.857
Eastern Ill. (OVC),6,1-5,28,13,5,6,24,0.857
Grambling (SWAC),4,0-4,14,9,2,1,12,0.857
James Madison (CAA),8,7-1,21,9,3,6,18,0.857
Davidson (Pioneer),7,4-3,29,10,10,5,25,0.862
Southern Utah (Big Sky),6,1-5,23,6,8,6,20,0.870
Campbell (Big South),4,0-4,24,17,2,2,21,0.875
Nicholls (Southland),7,4-3,24,3,13,5,21,0.875
Delaware (CAA),8,7-1,17,6,4,5,15,0.882
Mercer (SoCon),11,5-6,43,26,5,7,38,0.884
Eastern Ky. (OVC),9,3-6,35,16,11,4,31,0.886
Southern Ill. (MVFC),10,6-4,44,23,5,11,39,0.886
Central Ark. (Southland),9,5-4,36,12,11,9,32,0.889
Gardner-Webb (Big South),4,2-2,18,7,6,3,16,0.889
Villanova (CAA),4,2-2,18,10,1,5,16,0.889
Cal Poly (Big Sky),3,0-3,19,6,8,3,17,0.895
Maine (CAA),4,2-2,19,10,2,5,17,0.895
