Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Prairie View (SWAC),3,2-1,22,32,162,38,12.7
Ark.-Pine Bluff (SWAC),5,4-1,39,40,245,59,11.8
Wagner (NEC),2,0-2,16,12,62,22,11.0
Sam Houston (Southland),10,10-0,70,60,389,100,10.0
New Hampshire (CAA),1,0-1,5,10,48,10,10.0
Weber St. (Big Sky),6,5-1,44,18,179,53,8.8
Howard (MEAC),2,0-2,10,14,71,17,8.5
Gardner-Webb (Big South),4,2-2,19,28,165,33,8.2
Austin Peay (OVC),9,4-5,46,54,268,73,8.1
Central Ark. (Southland),9,5-4,54,36,343,72,8.0
Northwestern St. (Southland),6,1-5,32,32,196,48,8.0
Fordham (Patriot),3,2-1,18,12,79,24,8.0
Montana (Big Sky),2,2-0,6,20,34,16,8.0
Alabama St. (SWAC),5,2-3,31,16,162,39,7.8
Chattanooga (SoCon),5,3-2,34,10,140,39,7.8
UT Martin (OVC),7,3-4,34,40,170,54,7.7
Drake (Pioneer),5,2-3,27,22,136,38,7.6
Sacred Heart (NEC),5,3-2,29,18,90,38,7.6
Bucknell (Patriot),4,2-2,26,8,116,30,7.5
LIU (NEC),4,2-2,22,16,105,30,7.5
Stetson (Pioneer),4,0-4,19,22,93,30,7.5
Colgate (Patriot),2,0-2,13,4,54,15,7.5
Tennessee St. (OVC),7,2-5,40,24,200,52,7.4
Southern U. (SWAC),5,4-1,26,22,179,37,7.4
Lafayette (Patriot),3,2-1,17,10,85,22,7.3
Bryant (NEC),4,2-2,23,12,115,29,7.2
Charleston So. (Big South),4,2-2,22,14,93,29,7.2
ETSU (SoCon),6,4-2,31,24,171,43,7.2
Alabama A&M (SWAC),4,4-0,24,8,109,28,7.0
UAlbany (CAA),4,1-3,23,10,100,28,7.0
Monmouth (Big South),4,3-1,23,10,149,28,7.0
Richmond (CAA),4,3-1,20,16,132,28,7.0
South Carolina St. (MEAC),4,3-1,24,8,107,28,7.0
Portland St. (Big Sky),1,0-1,2,10,11,7,7.0
McNeese (Southland),7,3-4,38,20,209,48,6.9
Morehead St. (Pioneer),7,4-3,33,30,130,48,6.9
Nicholls (Southland),7,4-3,37,22,183,48,6.9
Samford (SoCon),7,4-3,34,28,233,48,6.9
San Diego (Pioneer),6,4-2,27,28,165,41,6.8
Delaware St. (MEAC),5,2-3,32,4,108,34,6.8
Kennesaw St. (Big South),5,4-1,26,16,147,34,6.8
James Madison (CAA),8,7-1,40,28,192,54,6.8
Missouri St. (MVFC),10,5-5,53,28,268,67,6.7
Jacksonville St. (OVC),13,10-3,63,47,336,86,6.7
South Dakota St. (MVFC),10,8-2,59,14,214,66,6.6
SFA (Southland),10,6-4,49,32,262,65,6.5
Idaho (Big Sky),6,2-4,29,20,164,39,6.5
Stony Brook (CAA),4,1-3,19,14,68,26,6.5
Mercer (SoCon),11,5-6,52,38,276,71,6.5
VMI (SoCon),8,6-2,38,26,222,51,6.4
UIW (Southland),6,3-3,28,20,141,38,6.3
Western Ill. (MVFC),6,1-5,28,20,154,38,6.3
Mississippi Val. (SWAC),3,0-3,17,4,64,19,6.3
Robert Morris (Big South),3,0-3,13,12,54,19,6.3
UNI (MVFC),7,3-4,32,24,159,44,6.3
North Dakota St. (MVFC),10,7-3,45,34,262,62,6.2
UC Davis (Big Sky),5,3-2,26,10,110,31,6.2
Elon (CAA),6,1-5,24,26,139,37,6.2
Jackson St. (SWAC),6,3-3,24,26,146,37,6.2
Tennessee Tech (OVC),7,2-5,26,32,146,42,6.0
Eastern Ill. (OVC),6,1-5,27,18,124,36,6.0
Southern Utah (Big Sky),6,1-5,31,10,161,36,6.0
Northern Ariz. (Big Sky),5,3-2,16,28,108,30,6.0
Grambling (SWAC),4,0-4,13,22,76,24,6.0
Illinois St. (MVFC),4,1-3,24,0,88,24,6.0
North Dakota (MVFC),7,5-2,34,12,170,40,5.7
Lehigh (Patriot),3,0-3,14,6,41,17,5.7
Murray St. (OVC),7,5-2,28,22,188,39,5.6
Presbyterian (Pioneer),7,4-3,31,16,139,39,5.6
Southeast Mo. St. (OVC),8,4-4,34,20,115,44,5.5
Holy Cross (Patriot),4,3-1,18,8,105,22,5.5
Texas Southern (SWAC),2,0-2,9,4,47,11,5.5
Eastern Wash. (Big Sky),7,5-2,27,22,134,38,5.4
Valparaiso (Pioneer),6,4-2,21,22,108,32,5.3
Rhode Island (CAA),3,2-1,13,6,57,16,5.3
Furman (SoCon),7,3-4,26,22,95,37,5.3
Delaware (CAA),8,7-1,33,14,168,40,5.0
Abilene Christian (Southland),6,1-5,23,14,93,30,5.0
The Citadel (SoCon),12,2-10,50,18,201,59,4.9
Duquesne (NEC),5,4-1,21,6,76,24,4.8
Villanova (CAA),4,2-2,11,16,92,19,4.8
Eastern Ky. (OVC),9,3-6,36,12,183,42,4.7
Idaho St. (Big Sky),6,2-4,21,14,107,28,4.7
William & Mary (CAA),3,1-2,13,2,73,14,4.7
Southern Ill. (MVFC),10,6-4,40,12,145,46,4.6
Southeastern La. (Southland),7,4-3,24,16,128,32,4.6
Butler (Pioneer),6,0-6,19,16,66,27,4.5
Wofford (SoCon),5,1-4,20,4,100,22,4.4
Lamar University (Southland),6,2-4,18,16,92,26,4.3
South Dakota (MVFC),4,1-3,12,10,65,17,4.2
Davidson (Pioneer),7,4-3,26,6,89,29,4.1
Cal Poly (Big Sky),3,0-3,11,2,41,12,4.0
Youngstown St. (MVFC),7,1-6,26,2,96,27,3.9
Maine (CAA),4,2-2,11,8,41,15,3.8
Western Caro. (SoCon),9,1-8,25,16,129,33,3.7
Campbell (Big South),4,0-4,9,2,32,10,2.5
Houston Christian (Southland),4,1-3,6,4,28,8,2.0
Merrimack (NEC),3,0-3,19,12,118,25,8.3
Utah Tech (FCS Independent),5,2-3,29,10,122,34,6.8
Tarleton St. (FCS Independent),8,5-3,37,32,159,53,6.6
North Ala. (FCS Independent),4,0-4,17,10,82,22,5.5
