Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Furman (SoCon),7,3-4,23,173,24.71
Cal Poly (Big Sky),3,0-3,9,80,26.67
North Dakota St. (MVFC),10,7-3,27,281,28.10
South Dakota (MVFC),4,1-3,14,121,30.25
Eastern Ill. (OVC),6,1-5,29,187,31.17
Illinois St. (MVFC),4,1-3,15,126,31.50
North Dakota (MVFC),7,5-2,24,222,31.71
VMI (SoCon),8,6-2,31,256,32.00
Colgate (Patriot),2,0-2,8,65,32.50
Richmond (CAA),4,3-1,18,138,34.50
Butler (Pioneer),6,0-6,22,211,35.17
Lamar University (Southland),6,2-4,23,211,35.17
Youngstown St. (MVFC),7,1-6,29,249,35.57
Bucknell (Patriot),4,2-2,15,143,35.75
UNI (MVFC),7,3-4,41,267,38.14
Fordham (Patriot),3,2-1,14,117,39.00
Lafayette (Patriot),3,2-1,12,117,39.00
Gardner-Webb (Big South),4,2-2,19,159,39.75
Valparaiso (Pioneer),6,4-2,27,240,40.00
Samford (SoCon),7,4-3,35,284,40.57
Drake (Pioneer),5,2-3,26,210,42.00
Mercer (SoCon),11,5-6,50,464,42.18
Bryant (NEC),4,2-2,19,169,42.25
Elon (CAA),6,1-5,31,262,43.67
South Dakota St. (MVFC),10,8-2,54,438,43.80
UC Davis (Big Sky),5,3-2,20,219,43.80
Western Caro. (SoCon),9,1-8,49,395,43.89
LIU (NEC),4,2-2,23,178,44.50
Delaware (CAA),8,7-1,37,361,45.12
SFA (Southland),10,6-4,56,459,45.90
Morehead St. (Pioneer),7,4-3,36,323,46.14
James Madison (CAA),8,7-1,36,370,46.25
Presbyterian (Pioneer),7,4-3,42,325,46.43
Rhode Island (CAA),3,2-1,19,141,47.00
Holy Cross (Patriot),4,3-1,20,189,47.25
Duquesne (NEC),5,4-1,30,237,47.40
ETSU (SoCon),6,4-2,39,285,47.50
Idaho (Big Sky),6,2-4,32,286,47.67
Southern U. (SWAC),5,4-1,32,244,48.80
Sam Houston (Southland),10,10-0,54,491,49.10
Davidson (Pioneer),7,4-3,37,344,49.14
Idaho St. (Big Sky),6,2-4,29,298,49.67
Central Ark. (Southland),9,5-4,49,449,49.89
Murray St. (OVC),7,5-2,35,353,50.43
Wagner (NEC),2,0-2,16,101,50.50
Mississippi Val. (SWAC),3,0-3,20,152,50.67
Northwestern St. (Southland),6,1-5,38,309,51.50
UAlbany (CAA),4,1-3,30,207,51.75
Kennesaw St. (Big South),5,4-1,26,261,52.20
Robert Morris (Big South),3,0-3,20,159,53.00
Campbell (Big South),4,0-4,28,215,53.75
San Diego (Pioneer),6,4-2,35,327,54.50
Eastern Ky. (OVC),9,3-6,63,493,54.78
Portland St. (Big Sky),1,0-1,5,55,55.00
Texas Southern (SWAC),2,0-2,12,110,55.00
Charleston So. (Big South),4,2-2,24,221,55.25
Chattanooga (SoCon),5,3-2,30,278,55.60
Southern Utah (Big Sky),6,1-5,31,334,55.67
UT Martin (OVC),7,3-4,39,390,55.71
The Citadel (SoCon),12,2-10,80,673,56.08
Nicholls (Southland),7,4-3,41,394,56.29
Abilene Christian (Southland),6,1-5,41,339,56.50
Tennessee Tech (OVC),7,2-5,42,398,56.86
Missouri St. (MVFC),10,5-5,68,573,57.30
Northern Ariz. (Big Sky),5,3-2,35,291,58.20
Jackson St. (SWAC),6,3-3,41,350,58.33
Lehigh (Patriot),3,0-3,18,175,58.33
Grambling (SWAC),4,0-4,29,235,58.75
Monmouth (Big South),4,3-1,20,236,59.00
Montana (Big Sky),2,2-0,11,118,59.00
Western Ill. (MVFC),6,1-5,44,354,59.00
Southern Ill. (MVFC),10,6-4,61,591,59.10
Tennessee St. (OVC),7,2-5,53,420,60.00
William & Mary (CAA),3,1-2,18,180,60.00
Delaware St. (MEAC),5,2-3,32,303,60.60
Howard (MEAC),2,0-2,13,127,63.50
McNeese (Southland),7,3-4,50,445,63.57
Stony Brook (CAA),4,1-3,31,258,64.50
Wofford (SoCon),5,1-4,41,336,67.20
Jacksonville St. (OVC),13,10-3,106,879,67.62
Eastern Wash. (Big Sky),7,5-2,44,484,69.14
Austin Peay (OVC),9,4-5,71,626,69.56
UIW (Southland),6,3-3,45,422,70.33
Weber St. (Big Sky),6,5-1,43,424,70.67
Alabama St. (SWAC),5,2-3,39,355,71.00
Sacred Heart (NEC),5,3-2,31,359,71.80
Stetson (Pioneer),4,0-4,25,289,72.25
Prairie View (SWAC),3,2-1,24,220,73.33
Southeast Mo. St. (OVC),8,4-4,68,590,73.75
Maine (CAA),4,2-2,32,310,77.50
Southeastern La. (Southland),7,4-3,61,554,79.14
Alabama A&M (SWAC),4,4-0,30,322,80.50
Ark.-Pine Bluff (SWAC),5,4-1,46,436,87.20
Villanova (CAA),4,2-2,37,377,94.25
New Hampshire (CAA),1,0-1,12,95,95.00
South Carolina St. (MEAC),4,3-1,38,386,96.50
Houston Christian (Southland),4,1-3,47,422,105.50
North Ala. (FCS Independent),4,0-4,21,157,39.25
Utah Tech (FCS Independent),5,2-3,21,208,41.60
Merrimack (NEC),3,0-3,17,136,45.33
Tarleton St. (FCS Independent),8,5-3,52,451,56.38
