Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
UIW (Southland),6,3-3,466,3314,7.11,33,552.3
Houston Christian (Southland),4,1-3,322,2190,6.80,17,547.5
Eastern Wash. (Big Sky),7,5-2,564,3686,6.54,33,526.6
Nicholls (Southland),7,4-3,545,3651,6.70,45,521.6
Montana (Big Sky),2,2-0,157,1032,6.57,15,516.0
Samford (SoCon),7,4-3,547,3597,6.58,31,513.9
Southeastern La. (Southland),7,4-3,551,3560,6.46,34,508.6
Alabama A&M (SWAC),4,4-0,291,1828,6.28,21,457.0
UC Davis (Big Sky),5,3-2,374,2273,6.08,22,454.6
Northwestern St. (Southland),6,1-5,440,2689,6.11,18,448.2
James Madison (CAA),8,7-1,576,3580,6.22,32,447.5
Monmouth (Big South),4,3-1,296,1767,5.97,20,441.8
Sam Houston (Southland),10,10-0,687,4403,6.41,45,440.3
Fordham (Patriot),3,2-1,227,1300,5.73,10,433.3
Southern U. (SWAC),5,4-1,344,2159,6.28,22,431.8
Idaho St. (Big Sky),6,2-4,446,2587,5.80,19,431.2
VMI (SoCon),8,6-2,619,3421,5.53,29,427.6
Southern Ill. (MVFC),10,6-4,714,4251,5.95,34,425.1
Weber St. (Big Sky),6,5-1,396,2513,6.35,21,418.8
Jackson St. (SWAC),6,3-3,432,2486,5.75,28,414.3
Duquesne (NEC),5,4-1,334,2020,6.05,17,404.0
South Dakota St. (MVFC),10,8-2,598,4031,6.74,36,403.1
McNeese (Southland),7,3-4,497,2806,5.65,23,400.9
Villanova (CAA),4,2-2,268,1603,5.98,14,400.8
North Dakota (MVFC),7,5-2,453,2766,6.11,26,395.1
Idaho (Big Sky),6,2-4,450,2321,5.16,16,386.8
Jacksonville St. (OVC),13,10-3,846,4993,5.90,44,384.1
Sacred Heart (NEC),5,3-2,341,1917,5.62,18,383.4
Southern Utah (Big Sky),6,1-5,409,2292,5.60,20,382.0
Northern Ariz. (Big Sky),5,3-2,353,1899,5.38,12,379.8
Davidson (Pioneer),7,4-3,520,2636,5.07,23,376.6
Eastern Ky. (OVC),9,3-6,588,3388,5.76,26,376.4
Ark.-Pine Bluff (SWAC),5,4-1,360,1854,5.15,19,370.8
Wofford (SoCon),5,1-4,324,1848,5.70,15,369.6
San Diego (Pioneer),6,4-2,401,2214,5.52,16,369.0
Prairie View (SWAC),3,2-1,214,1100,5.14,8,366.7
Central Ark. (Southland),9,5-4,621,3263,5.25,30,362.6
SFA (Southland),10,6-4,646,3595,5.57,29,359.5
Presbyterian (Pioneer),7,4-3,474,2505,5.28,21,357.9
Kennesaw St. (Big South),5,4-1,320,1786,5.58,17,357.2
Alabama St. (SWAC),5,2-3,362,1779,4.91,17,355.8
Texas Southern (SWAC),2,0-2,150,710,4.73,5,355.0
Western Ill. (MVFC),6,1-5,413,2099,5.08,12,349.8
Charleston So. (Big South),4,2-2,285,1390,4.88,11,347.5
Campbell (Big South),4,0-4,264,1371,5.19,12,342.8
Delaware (CAA),8,7-1,549,2739,4.99,23,342.4
North Dakota St. (MVFC),10,7-3,615,3419,5.56,29,341.9
Austin Peay (OVC),9,4-5,637,3076,4.83,29,341.8
Abilene Christian (Southland),6,1-5,393,2050,5.22,14,341.7
Furman (SoCon),7,3-4,489,2374,4.85,19,339.1
Richmond (CAA),4,3-1,262,1355,5.17,12,338.8
UT Martin (OVC),7,3-4,489,2343,4.79,20,334.7
Mercer (SoCon),11,5-6,735,3664,4.99,32,333.1
Maine (CAA),4,2-2,261,1329,5.09,12,332.2
Gardner-Webb (Big South),4,2-2,283,1321,4.67,10,330.2
Illinois St. (MVFC),4,1-3,282,1318,4.67,7,329.5
Butler (Pioneer),6,0-6,389,1975,5.08,11,329.2
Murray St. (OVC),7,5-2,435,2288,5.26,21,326.9
Grambling (SWAC),4,0-4,275,1306,4.75,9,326.5
South Dakota (MVFC),4,1-3,269,1295,4.81,8,323.8
Southeast Mo. St. (OVC),8,4-4,528,2575,4.88,26,321.9
Eastern Ill. (OVC),6,1-5,410,1923,4.69,13,320.5
Howard (MEAC),2,0-2,132,641,4.86,5,320.5
Chattanooga (SoCon),5,3-2,317,1601,5.05,13,320.2
Rhode Island (CAA),3,2-1,183,956,5.22,10,318.7
ETSU (SoCon),6,4-2,393,1907,4.85,14,317.8
South Carolina St. (MEAC),4,3-1,251,1263,5.03,9,315.8
Lafayette (Patriot),3,2-1,179,934,5.22,7,311.3
Colgate (Patriot),2,0-2,138,610,4.42,2,305.0
UNI (MVFC),7,3-4,438,2123,4.85,12,303.3
Morehead St. (Pioneer),7,4-3,437,2109,4.83,19,301.3
Tennessee St. (OVC),7,2-5,450,2108,4.68,13,301.1
Stetson (Pioneer),4,0-4,261,1186,4.54,6,296.5
Tennessee Tech (OVC),7,2-5,453,2060,4.55,16,294.3
William & Mary (CAA),3,1-2,170,880,5.18,7,293.3
Portland St. (Big Sky),1,0-1,61,293,4.80,1,293.0
The Citadel (SoCon),12,2-10,837,3501,4.18,24,291.8
UAlbany (CAA),4,1-3,289,1161,4.02,9,290.2
Cal Poly (Big Sky),3,0-3,216,856,3.96,6,285.3
LIU (NEC),4,2-2,252,1123,4.46,9,280.8
Stony Brook (CAA),4,1-3,254,1123,4.42,8,280.8
Missouri St. (MVFC),10,5-5,661,2800,4.24,17,280.0
Mississippi Val. (SWAC),3,0-3,200,833,4.16,5,277.7
Western Caro. (SoCon),9,1-8,528,2480,4.70,17,275.6
Bryant (NEC),4,2-2,270,1102,4.08,9,275.5
Youngstown St. (MVFC),7,1-6,442,1887,4.27,13,269.6
Bucknell (Patriot),4,2-2,270,1070,3.96,7,267.5
Valparaiso (Pioneer),6,4-2,385,1591,4.13,12,265.2
Holy Cross (Patriot),4,3-1,236,1059,4.49,9,264.8
Lamar University (Southland),6,2-4,405,1587,3.92,10,264.5
Delaware St. (MEAC),5,2-3,313,1290,4.12,11,258.0
Elon (CAA),6,1-5,342,1521,4.45,12,253.5
Drake (Pioneer),5,2-3,277,1216,4.39,11,243.2
Robert Morris (Big South),3,0-3,175,676,3.86,4,225.3
Lehigh (Patriot),3,0-3,176,626,3.56,2,208.7
New Hampshire (CAA),1,0-1,59,186,3.15,2,186.0
Wagner (NEC),2,0-2,100,352,3.52,1,176.0
Utah Tech (FCS Independent),5,2-3,340,2079,6.11,19,415.8
Tarleton St. (FCS Independent),8,5-3,589,3286,5.58,26,410.8
North Ala. (FCS Independent),4,0-4,241,1052,4.37,6,263.0
Merrimack (NEC),3,0-3,178,652,3.66,5,217.3
