Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Montana (Big Sky),2,2-0,1,1,0,0,1,0,10,5.0
Drake (Pioneer),5,2-3,7,5,1,0,5,0,64,12.8
Delaware (CAA),8,7-1,14,13,0,0,6,0,115,14.4
Bryant (NEC),4,2-2,8,7,0,0,1,0,58,14.5
South Dakota St. (MVFC),10,8-2,17,15,0,0,11,0,150,15.0
UNI (MVFC),7,3-4,12,11,0,0,8,0,107,15.3
Lehigh (Patriot),3,0-3,4,4,0,0,6,0,46,15.3
James Madison (CAA),8,7-1,16,15,0,0,7,0,132,16.5
Holy Cross (Patriot),4,3-1,8,8,0,0,4,0,68,17.0
Richmond (CAA),4,3-1,8,8,0,0,4,0,68,17.0
San Diego (Pioneer),6,4-2,12,12,0,0,7,0,105,17.5
Duquesne (NEC),5,4-1,12,6,2,0,2,0,88,17.6
Jacksonville St. (OVC),13,10-3,28,25,0,0,12,0,229,17.6
Kennesaw St. (Big South),5,4-1,13,10,0,0,1,0,91,18.2
Valparaiso (Pioneer),6,4-2,15,12,1,0,2,0,110,18.3
Sacred Heart (NEC),5,3-2,11,10,0,0,4,2,92,18.4
Monmouth (Big South),4,3-1,9,8,0,0,4,0,74,18.5
South Carolina St. (MEAC),4,3-1,10,10,0,0,1,1,75,18.8
ETSU (SoCon),6,4-2,14,14,0,0,5,0,113,18.8
North Dakota St. (MVFC),10,7-3,24,18,2,0,8,0,190,19.0
Bucknell (Patriot),4,2-2,10,9,0,0,2,1,77,19.2
Sam Houston (Southland),10,10-0,24,20,3,0,8,1,196,19.6
Southern U. (SWAC),5,4-1,13,12,0,0,2,1,98,19.6
Fordham (Patriot),3,2-1,7,6,1,0,3,0,59,19.7
Charleston So. (Big South),4,2-2,11,11,0,0,1,0,80,20.0
Lafayette (Patriot),3,2-1,8,7,0,0,2,0,61,20.3
Weber St. (Big Sky),6,5-1,13,11,0,0,11,0,122,20.3
Furman (SoCon),7,3-4,17,14,0,0,9,0,143,20.4
Chattanooga (SoCon),5,3-2,12,10,0,0,7,0,103,20.6
North Dakota (MVFC),7,5-2,18,18,0,0,7,0,147,21.0
Illinois St. (MVFC),4,1-3,10,9,1,0,5,0,86,21.5
Prairie View (SWAC),3,2-1,8,6,0,0,3,1,65,21.7
VMI (SoCon),8,6-2,22,21,0,0,7,0,174,21.8
Youngstown St. (MVFC),7,1-6,19,12,3,0,7,0,153,21.9
UT Martin (OVC),7,3-4,21,17,0,0,3,1,154,22.0
Wagner (NEC),2,0-2,6,5,0,0,1,0,44,22.0
Stony Brook (CAA),4,1-3,12,11,0,0,2,0,89,22.2
SFA (Southland),10,6-4,28,23,2,0,9,1,224,22.4
Southeast Mo. St. (OVC),8,4-4,24,18,2,0,5,0,181,22.6
William & Mary (CAA),3,1-2,9,7,1,0,2,0,69,23.0
Presbyterian (Pioneer),7,4-3,21,19,0,0,6,0,163,23.3
Murray St. (OVC),7,5-2,20,20,0,0,8,0,164,23.4
UC Davis (Big Sky),5,3-2,14,11,1,0,7,0,118,23.6
UAlbany (CAA),4,1-3,13,11,1,0,1,1,96,24.0
Delaware St. (MEAC),5,2-3,15,11,2,0,5,0,120,24.0
New Hampshire (CAA),1,0-1,3,3,0,0,1,0,24,24.0
Alabama St. (SWAC),5,2-3,15,14,0,0,5,1,121,24.2
Alabama A&M (SWAC),4,4-0,14,11,1,0,0,0,97,24.2
Villanova (CAA),4,2-2,12,10,0,0,5,0,97,24.2
South Dakota (MVFC),4,1-3,11,10,2,0,6,0,98,24.5
Morehead St. (Pioneer),7,4-3,23,22,1,0,5,0,177,25.3
Jackson St. (SWAC),6,3-3,21,21,0,0,3,0,156,26.0
Tennessee Tech (OVC),7,2-5,24,21,0,0,7,0,186,26.6
Missouri St. (MVFC),10,5-5,32,28,2,0,14,1,268,26.8
Idaho (Big Sky),6,2-4,20,18,1,0,7,0,161,26.8
Eastern Wash. (Big Sky),7,5-2,25,24,1,0,4,0,188,26.9
Howard (MEAC),2,0-2,6,5,1,0,3,1,54,27.0
Northern Ariz. (Big Sky),5,3-2,18,13,1,0,4,0,135,27.0
LIU (NEC),4,2-2,15,11,1,0,2,0,109,27.2
Samford (SoCon),7,4-3,24,21,1,0,8,0,191,27.3
Rhode Island (CAA),3,2-1,10,10,0,0,4,0,82,27.3
Southern Utah (Big Sky),6,1-5,21,15,0,0,7,1,164,27.3
Davidson (Pioneer),7,4-3,26,19,2,0,5,0,194,27.7
Ark.-Pine Bluff (SWAC),5,4-1,18,15,1,1,4,0,139,27.8
Wofford (SoCon),5,1-4,18,16,0,0,5,0,139,27.8
Gardner-Webb (Big South),4,2-2,15,13,0,0,3,0,112,28.0
McNeese (Southland),7,3-4,23,22,0,0,14,0,202,28.9
Central Ark. (Southland),9,5-4,33,29,1,0,10,1,261,29.0
Butler (Pioneer),6,0-6,23,23,0,0,4,1,175,29.2
Stetson (Pioneer),4,0-4,14,12,0,0,7,0,117,29.2
Southern Ill. (MVFC),10,6-4,38,33,0,0,12,0,297,29.7
Mercer (SoCon),11,5-6,42,40,1,0,12,0,330,30.0
The Citadel (SoCon),12,2-10,49,46,1,0,6,0,360,30.0
Northwestern St. (Southland),6,1-5,23,22,0,0,7,0,181,30.2
Tennessee St. (OVC),7,2-5,28,24,1,0,6,1,214,30.6
Elon (CAA),6,1-5,24,23,0,0,6,0,185,30.8
Colgate (Patriot),2,0-2,8,8,0,0,2,1,64,32.0
Idaho St. (Big Sky),6,2-4,25,22,1,0,6,0,192,32.0
Robert Morris (Big South),3,0-3,12,12,0,0,4,1,98,32.7
Western Ill. (MVFC),6,1-5,24,23,0,0,10,0,197,32.8
Eastern Ky. (OVC),9,3-6,40,39,0,1,6,0,299,33.2
Austin Peay (OVC),9,4-5,38,35,1,0,12,0,301,33.4
Eastern Ill. (OVC),6,1-5,24,19,1,0,12,0,201,33.5
Maine (CAA),4,2-2,17,14,0,0,6,0,134,33.5
Nicholls (Southland),7,4-3,32,26,1,0,6,0,238,34.0
