Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
The Citadel (SoCon),12,2-10,6,8,14,18,8,26,-12,-1.00
Southern Ill. (MVFC),10,6-4,6,5,11,9,13,22,-11,-1.10
San Diego (Pioneer),6,4-2,5,5,10,6,11,17,-7,-1.17
UAlbany (CAA),4,1-3,2,1,3,3,5,8,-5,-1.25
Gardner-Webb (Big South),4,2-2,3,4,7,4,8,12,-5,-1.25
Illinois St. (MVFC),4,1-3,2,4,6,5,6,11,-5,-1.25
Stetson (Pioneer),4,0-4,1,3,4,1,8,9,-5,-1.25
Mississippi Val. (SWAC),3,0-3,3,3,6,8,2,10,-4,-1.33
Wagner (NEC),2,0-2,1,1,2,2,3,5,-3,-1.50
Howard (MEAC),2,0-2,0,0,0,3,2,5,-5,-2.50
Colgate (Patriot),2,0-2,1,1,2,2,6,8,-6,-3.00
Utah Tech (FCS Independent),5,2-3,8,3,11,6,0,6,5,1.00
Merrimack (NEC),3,0-3,4,1,5,1,5,6,-1,-0.33
Tarleton St. (FCS Independent),8,5-3,8,4,12,10,6,16,-4,-0.50
North Ala. (FCS Independent),4,0-4,2,3,5,3,5,8,-3,-0.75
