Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Montana (Big Sky),2,2-0,15,14,0,0,1,0,107,53.5
Nicholls (Southland),7,4-3,47,39,1,0,6,0,341,48.7
UIW (Southland),6,3-3,34,31,1,0,5,0,252,42.0
Samford (SoCon),7,4-3,34,33,0,0,15,0,282,40.3
Alabama A&M (SWAC),4,4-0,21,19,1,1,4,0,161,40.2
Southeastern La. (Southland),7,4-3,36,32,1,0,9,0,277,39.6
Eastern Wash. (Big Sky),7,5-2,35,31,1,0,7,0,264,37.7
Southern U. (SWAC),5,4-1,25,24,0,0,4,1,188,37.6
Sam Houston (Southland),10,10-0,49,45,0,0,12,0,375,37.5
Jackson St. (SWAC),6,3-3,29,19,2,0,5,1,214,35.7
Monmouth (Big South),4,3-1,20,18,1,0,0,0,140,35.0
Ark.-Pine Bluff (SWAC),5,4-1,24,19,0,0,3,1,174,34.8
Houston Christian (Southland),4,1-3,17,16,0,1,5,0,135,33.8
James Madison (CAA),8,7-1,32,31,1,0,14,1,269,33.6
UC Davis (Big Sky),5,3-2,22,20,1,0,4,0,166,33.2
Central Ark. (Southland),9,5-4,36,32,2,0,13,0,291,32.3
Fordham (Patriot),3,2-1,12,12,0,0,3,1,95,31.7
North Dakota (MVFC),7,5-2,29,26,0,0,3,0,209,29.9
Kennesaw St. (Big South),5,4-1,19,19,0,0,5,0,148,29.6
VMI (SoCon),8,6-2,29,25,1,0,11,0,234,29.2
Villanova (CAA),4,2-2,14,12,0,0,7,0,117,29.2
South Dakota St. (MVFC),10,8-2,36,34,0,0,14,0,292,29.2
Jacksonville St. (OVC),13,10-3,47,45,0,0,14,0,369,28.4
Murray St. (OVC),7,5-2,25,22,1,0,7,0,195,27.9
Southeast Mo. St. (OVC),8,4-4,29,27,0,0,6,1,221,27.6
Weber St. (Big Sky),6,5-1,22,17,2,0,4,0,165,27.5
Southern Ill. (MVFC),10,6-4,34,30,1,0,11,1,271,27.1
Southern Utah (Big Sky),6,1-5,21,16,1,0,5,0,159,26.5
Sacred Heart (NEC),5,3-2,18,11,2,0,3,0,132,26.4
Davidson (Pioneer),7,4-3,24,21,0,0,6,0,183,26.1
McNeese (Southland),7,3-4,23,18,0,0,9,0,183,26.1
Presbyterian (Pioneer),7,4-3,24,19,1,0,6,0,183,26.1
North Dakota St. (MVFC),10,7-3,33,28,4,0,8,1,260,26.0
Rhode Island (CAA),3,2-1,10,8,1,0,2,1,78,26.0
Wofford (SoCon),5,1-4,16,16,0,0,6,0,130,26.0
SFA (Southland),10,6-4,32,28,0,0,13,0,259,25.9
Idaho St. (Big Sky),6,2-4,19,17,0,0,8,0,155,25.8
Duquesne (NEC),5,4-1,17,15,0,0,4,0,129,25.8
Delaware (CAA),8,7-1,24,24,0,0,12,1,206,25.8
UT Martin (OVC),7,3-4,21,17,1,0,10,0,175,25.0
Gardner-Webb (Big South),4,2-2,13,12,0,0,3,0,99,24.8
Eastern Ky. (OVC),9,3-6,27,22,0,0,11,0,217,24.1
Mercer (SoCon),11,5-6,36,34,0,0,5,0,265,24.1
Richmond (CAA),4,3-1,12,10,1,0,4,0,96,24.0
Austin Peay (OVC),9,4-5,29,24,1,0,5,0,215,23.9
Northwestern St. (Southland),6,1-5,18,13,2,0,6,0,143,23.8
Alabama St. (SWAC),5,2-3,17,17,0,0,0,0,119,23.8
San Diego (Pioneer),6,4-2,17,14,1,0,8,0,142,23.7
Northern Ariz. (Big Sky),5,3-2,13,10,0,0,9,1,117,23.4
Idaho (Big Sky),6,2-4,16,14,0,0,10,0,140,23.3
Morehead St. (Pioneer),7,4-3,22,21,0,0,2,0,159,22.7
Prairie View (SWAC),3,2-1,8,8,0,0,4,0,68,22.7
Holy Cross (Patriot),4,3-1,10,10,0,0,6,1,90,22.5
Maine (CAA),4,2-2,12,12,0,0,2,0,90,22.5
Chattanooga (SoCon),5,3-2,13,12,1,0,5,0,107,21.4
Furman (SoCon),7,3-4,19,16,0,0,6,0,148,21.1
Delaware St. (MEAC),5,2-3,13,12,1,0,3,2,105,21.0
ETSU (SoCon),6,4-2,15,15,0,0,7,0,126,21.0
Texas Southern (SWAC),2,0-2,5,4,0,0,2,1,42,21.0
Charleston So. (Big South),4,2-2,11,8,0,0,3,0,83,20.8
Abilene Christian (Southland),6,1-5,15,12,1,0,6,1,124,20.7
Campbell (Big South),4,0-4,12,5,1,0,1,0,82,20.5
Eastern Ill. (OVC),6,1-5,15,13,0,0,5,1,120,20.0
New Hampshire (CAA),1,0-1,3,2,0,0,0,0,20,20.0
Tennessee Tech (OVC),7,2-5,17,17,0,0,7,0,140,20.0
Western Ill. (MVFC),6,1-5,15,11,2,0,5,0,120,20.0
LIU (NEC),4,2-2,10,10,0,0,3,0,79,19.8
UNI (MVFC),7,3-4,13,10,2,0,15,0,137,19.6
Cal Poly (Big Sky),3,0-3,7,7,0,0,3,0,58,19.3
Howard (MEAC),2,0-2,5,1,2,0,1,0,38,19.0
Lafayette (Patriot),3,2-1,7,6,0,0,3,0,57,19.0
UAlbany (CAA),4,1-3,9,9,0,0,4,0,75,18.8
Valparaiso (Pioneer),6,4-2,13,13,0,0,7,0,112,18.7
Tennessee St. (OVC),7,2-5,13,7,1,0,14,0,129,18.4
William & Mary (CAA),3,1-2,7,7,0,0,2,0,55,18.3
Drake (Pioneer),5,2-3,11,11,0,0,4,1,91,18.2
Bucknell (Patriot),4,2-2,8,8,0,0,5,0,71,17.8
South Dakota (MVFC),4,1-3,8,8,0,0,5,0,71,17.8
Bryant (NEC),4,2-2,9,7,0,0,3,0,70,17.5
Missouri St. (MVFC),10,5-5,20,19,0,0,12,0,175,17.5
Elon (CAA),6,1-5,12,9,1,0,7,0,104,17.3
Illinois St. (MVFC),4,1-3,8,6,0,0,5,0,69,17.2
South Carolina St. (MEAC),4,3-1,9,9,0,0,2,0,69,17.2
Grambling (SWAC),4,0-4,9,9,0,0,1,0,66,16.5
Western Caro. (SoCon),9,1-8,19,18,0,0,5,0,147,16.3
Lamar University (Southland),6,2-4,11,11,0,0,6,1,97,16.2
The Citadel (SoCon),12,2-10,26,19,2,0,5,0,194,16.2
Youngstown St. (MVFC),7,1-6,13,10,2,0,6,0,110,15.7
Butler (Pioneer),6,0-6,11,9,2,0,4,0,91,15.2
Stony Brook (CAA),4,1-3,8,5,0,0,1,0,56,14.0
Mississippi Val. (SWAC),3,0-3,5,5,0,0,2,0,41,13.7
Stetson (Pioneer),4,0-4,6,5,0,0,2,0,47,11.8
Robert Morris (Big South),3,0-3,4,3,0,0,1,0,30,10.0
Colgate (Patriot),2,0-2,2,1,1,0,1,0,18,9.0
Portland St. (Big Sky),1,0-1,1,1,0,0,0,0,7,7.0
Lehigh (Patriot),3,0-3,2,1,0,0,1,0,16,5.3
Wagner (NEC),2,0-2,1,1,0,0,0,0,7,3.5
Tarleton St. (FCS Independent),8,5-3,31,29,0,1,12,1,255,31.9
Utah Tech (FCS Independent),5,2-3,20,14,1,0,7,0,157,31.4
North Ala. (FCS Independent),4,0-4,6,6,0,0,3,0,51,12.8
Merrimack (NEC),3,0-3,5,2,1,0,0,1,36,12.0
