Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Chattanooga (SoCon),5,3-2,50,86,498,4,5.79,9.96,99.6
Bryant (NEC),4,2-2,45,74,438,3,5.92,9.73,109.5
Howard (MEAC),2,0-2,18,35,227,3,6.49,12.61,113.5
Delaware (CAA),8,7-1,88,174,947,7,5.44,10.76,118.4
Duquesne (NEC),5,4-1,56,102,615,6,6.03,10.98,123.0
Fordham (Patriot),3,2-1,42,83,409,1,4.93,9.74,136.3
UAlbany (CAA),4,1-3,59,109,577,8,5.29,9.78,144.2
Maine (CAA),4,2-2,58,118,598,5,5.07,10.31,149.5
Montana (Big Sky),2,2-0,31,58,314,1,5.41,10.13,157.0
Wagner (NEC),2,0-2,33,49,328,0,6.69,9.94,164.0
Youngstown St. (MVFC),7,1-6,98,176,1152,7,6.55,11.76,164.6
Lehigh (Patriot),3,0-3,58,93,495,4,5.32,8.53,165.0
Robert Morris (Big South),3,0-3,40,60,498,4,8.30,12.45,166.0
Presbyterian (Pioneer),7,4-3,103,194,1169,9,6.03,11.35,167.0
William & Mary (CAA),3,1-2,47,86,503,4,5.85,10.70,167.7
Kennesaw St. (Big South),5,4-1,86,141,840,7,5.96,9.77,168.0
South Carolina St. (MEAC),4,3-1,58,113,681,9,6.03,11.74,170.2
James Madison (CAA),8,7-1,122,231,1368,6,5.92,11.21,171.0
Morehead St. (Pioneer),7,4-3,105,185,1204,6,6.51,11.47,172.0
Valparaiso (Pioneer),6,4-2,93,165,1033,4,6.26,11.11,172.2
South Dakota St. (MVFC),10,8-2,180,295,1722,7,5.84,9.57,172.2
ETSU (SoCon),6,4-2,118,175,1040,4,5.94,8.81,173.3
Illinois St. (MVFC),4,1-3,67,130,695,3,5.35,10.37,173.8
Rhode Island (CAA),3,2-1,54,91,523,3,5.75,9.69,174.3
UNI (MVFC),7,3-4,134,203,1236,8,6.09,9.22,176.6
Sacred Heart (NEC),5,3-2,84,149,884,7,5.93,10.52,176.8
Stetson (Pioneer),4,0-4,58,94,723,7,7.69,12.47,180.8
Southeast Mo. St. (OVC),8,4-4,120,248,1449,14,5.84,12.08,181.1
Murray St. (OVC),7,5-2,113,215,1268,5,5.90,11.22,181.1
Alabama St. (SWAC),5,2-3,79,160,924,7,5.78,11.70,184.8
Southern Ill. (MVFC),10,6-4,141,240,1849,11,7.70,13.11,184.9
Campbell (Big South),4,0-4,47,72,741,4,10.29,15.77,185.2
North Dakota St. (MVFC),10,7-3,159,273,1858,10,6.81,11.69,185.8
Eastern Wash. (Big Sky),7,5-2,101,186,1301,10,6.99,12.88,185.9
The Citadel (SoCon),12,2-10,164,272,2237,23,8.22,13.64,186.4
San Diego (Pioneer),6,4-2,71,153,1123,8,7.34,15.82,187.2
Elon (CAA),6,1-5,104,162,1127,7,6.96,10.84,187.8
New Hampshire (CAA),1,0-1,23,36,189,3,5.25,8.22,189.0
Jacksonville St. (OVC),13,10-3,233,424,2475,12,5.84,10.62,190.4
Southern U. (SWAC),5,4-1,85,145,961,8,6.63,11.31,192.2
Mercer (SoCon),11,5-6,204,308,2118,10,6.88,10.38,192.5
South Dakota (MVFC),4,1-3,66,111,771,3,6.95,11.68,192.8
Tennessee Tech (OVC),7,2-5,117,184,1350,12,7.34,11.54,192.9
Tennessee St. (OVC),7,2-5,110,196,1354,11,6.91,12.31,193.4
Prairie View (SWAC),3,2-1,57,90,583,6,6.48,10.23,194.3
Delaware St. (MEAC),5,2-3,75,144,975,9,6.77,13.00,195.0
Monmouth (Big South),4,3-1,70,125,785,5,6.28,11.21,196.2
Furman (SoCon),7,3-4,104,177,1374,5,7.76,13.21,196.3
Abilene Christian (Southland),6,1-5,85,130,1181,11,9.08,13.89,196.8
Drake (Pioneer),5,2-3,93,170,986,2,5.80,10.60,197.2
VMI (SoCon),8,6-2,111,205,1583,12,7.72,14.26,197.9
Alabama A&M (SWAC),4,4-0,79,139,795,7,5.72,10.06,198.8
Richmond (CAA),4,3-1,63,105,800,4,7.62,12.70,200.0
UT Martin (OVC),7,3-4,106,205,1403,13,6.84,13.24,200.4
Charleston So. (Big South),4,2-2,54,97,816,6,8.41,15.11,204.0
SFA (Southland),10,6-4,180,326,2094,8,6.42,11.63,209.4
Bucknell (Patriot),4,2-2,82,121,868,6,7.17,10.59,217.0
Austin Peay (OVC),9,4-5,151,283,1956,13,6.91,12.95,217.3
Butler (Pioneer),6,0-6,114,167,1308,13,7.83,11.47,218.0
Texas Southern (SWAC),2,0-2,33,60,440,4,7.33,13.33,220.0
Jackson St. (SWAC),6,3-3,121,201,1324,10,6.59,10.94,220.7
Colgate (Patriot),2,0-2,32,46,443,2,9.63,13.84,221.5
North Dakota (MVFC),7,5-2,128,219,1565,7,7.15,12.23,223.6
Central Ark. (Southland),9,5-4,171,297,2022,15,6.81,11.82,224.7
Holy Cross (Patriot),4,3-1,86,148,906,5,6.12,10.53,226.5
Davidson (Pioneer),7,4-3,140,205,1587,15,7.74,11.34,226.7
Western Ill. (MVFC),6,1-5,112,161,1361,9,8.45,12.15,226.8
Gardner-Webb (Big South),4,2-2,88,149,909,7,6.10,10.33,227.2
Stony Brook (CAA),4,1-3,74,124,913,9,7.36,12.34,228.2
Wofford (SoCon),5,1-4,77,125,1142,7,9.14,14.83,228.4
Weber St. (Big Sky),6,5-1,118,236,1377,8,5.83,11.67,229.5
Samford (SoCon),7,4-3,120,216,1622,12,7.51,13.52,231.7
Western Caro. (SoCon),9,1-8,157,241,2090,16,8.67,13.31,232.2
Missouri St. (MVFC),10,5-5,194,306,2353,18,7.69,12.13,235.3
Villanova (CAA),4,2-2,80,122,942,2,7.72,11.78,235.5
LIU (NEC),4,2-2,78,138,945,7,6.85,12.12,236.2
UC Davis (Big Sky),5,3-2,103,172,1200,7,6.98,11.65,240.0
Nicholls (Southland),7,4-3,148,233,1749,22,7.51,11.82,249.9
Eastern Ky. (OVC),9,3-6,186,286,2291,21,8.01,12.32,254.6
McNeese (Southland),7,3-4,144,260,1797,14,6.91,12.48,256.7
Grambling (SWAC),4,0-4,60,97,1031,9,10.63,17.18,257.8
Ark.-Pine Bluff (SWAC),5,4-1,106,195,1289,10,6.61,12.16,257.8
Lamar University (Southland),6,2-4,116,189,1549,14,8.20,13.35,258.2
Eastern Ill. (OVC),6,1-5,122,200,1550,8,7.75,12.70,258.3
Portland St. (Big Sky),1,0-1,21,31,261,2,8.42,12.43,261.0
Sam Houston (Southland),10,10-0,217,386,2621,15,6.79,12.08,262.1
Southern Utah (Big Sky),6,1-5,128,201,1601,12,7.97,12.51,266.8
Lafayette (Patriot),3,2-1,70,106,816,5,7.70,11.66,272.0
Idaho St. (Big Sky),6,2-4,122,204,1653,13,8.10,13.55,275.5
Southeastern La. (Southland),7,4-3,126,211,1935,13,9.17,15.36,276.4
Northern Ariz. (Big Sky),5,3-2,123,194,1391,13,7.17,11.31,278.2
Mississippi Val. (SWAC),3,0-3,65,116,865,8,7.46,13.31,288.3
Northwestern St. (Southland),6,1-5,130,209,1813,12,8.67,13.95,302.2
UIW (Southland),6,3-3,147,231,1908,13,8.26,12.98,318.0
Idaho (Big Sky),6,2-4,133,223,1991,12,8.93,14.97,331.8
Cal Poly (Big Sky),3,0-3,78,105,1036,12,9.87,13.28,345.3
Houston Christian (Southland),4,1-3,107,164,1447,15,8.82,13.52,361.8
Merrimack (NEC),3,0-3,29,64,396,4,6.19,13.66,132.0
Tarleton St. (FCS Independent),8,5-3,108,228,1302,7,5.71,12.06,162.8
Utah Tech (FCS Independent),5,2-3,74,142,844,5,5.94,11.41,168.8
North Ala. (FCS Independent),4,0-4,60,96,728,10,7.58,12.13,182.0
