Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Montana (Big Sky),2,2-0,4,28,0.143
Villanova (CAA),4,2-2,10,41,0.244
San Diego (Pioneer),6,4-2,23,84,0.274
Lehigh (Patriot),3,0-3,11,40,0.275
Fordham (Patriot),3,2-1,12,43,0.279
Missouri St. (MVFC),10,5-5,41,143,0.287
Illinois St. (MVFC),4,1-3,17,59,0.288
Bryant (NEC),4,2-2,14,48,0.292
Bucknell (Patriot),4,2-2,14,48,0.292
UT Martin (OVC),7,3-4,29,99,0.293
Delaware (CAA),8,7-1,31,102,0.304
Wagner (NEC),2,0-2,7,23,0.304
James Madison (CAA),8,7-1,32,105,0.305
Jacksonville St. (OVC),13,10-3,59,191,0.309
Samford (SoCon),7,4-3,35,113,0.310
Monmouth (Big South),4,3-1,19,61,0.311
Alabama St. (SWAC),5,2-3,23,73,0.315
Duquesne (NEC),5,4-1,19,60,0.317
Sacred Heart (NEC),5,3-2,21,66,0.318
Gardner-Webb (Big South),4,2-2,20,62,0.323
Kennesaw St. (Big South),5,4-1,20,61,0.328
North Dakota St. (MVFC),10,7-3,45,137,0.328
Southern U. (SWAC),5,4-1,23,70,0.329
Southeast Mo. St. (OVC),8,4-4,39,118,0.331
South Carolina St. (MEAC),4,3-1,17,51,0.333
Texas Southern (SWAC),2,0-2,8,24,0.333
Chattanooga (SoCon),5,3-2,24,71,0.338
Ark.-Pine Bluff (SWAC),5,4-1,24,70,0.343
Sam Houston (Southland),10,10-0,56,161,0.348
McNeese (Southland),7,3-4,39,112,0.348
Central Ark. (Southland),9,5-4,46,132,0.348
UNI (MVFC),7,3-4,36,101,0.356
Mississippi Val. (SWAC),3,0-3,15,42,0.357
Portland St. (Big Sky),1,0-1,5,14,0.357
Furman (SoCon),7,3-4,36,100,0.360
Valparaiso (Pioneer),6,4-2,29,79,0.367
Prairie View (SWAC),3,2-1,18,49,0.367
Tennessee Tech (OVC),7,2-5,33,89,0.371
Charleston So. (Big South),4,2-2,23,62,0.371
South Dakota St. (MVFC),10,8-2,56,150,0.373
Lafayette (Patriot),3,2-1,16,42,0.381
Richmond (CAA),4,3-1,21,55,0.382
Idaho (Big Sky),6,2-4,33,86,0.384
Delaware St. (MEAC),5,2-3,25,65,0.385
Drake (Pioneer),5,2-3,32,83,0.386
Nicholls (Southland),7,4-3,39,101,0.386
Wofford (SoCon),5,1-4,26,67,0.388
Austin Peay (OVC),9,4-5,52,133,0.391
Murray St. (OVC),7,5-2,40,102,0.392
Maine (CAA),4,2-2,22,56,0.393
ETSU (SoCon),6,4-2,35,89,0.393
Jackson St. (SWAC),6,3-3,34,85,0.400
Abilene Christian (Southland),6,1-5,32,80,0.400
Holy Cross (Patriot),4,3-1,24,60,0.400
Stony Brook (CAA),4,1-3,24,60,0.400
Eastern Wash. (Big Sky),7,5-2,40,98,0.408
SFA (Southland),10,6-4,61,149,0.409
The Citadel (SoCon),12,2-10,60,146,0.411
Idaho St. (Big Sky),6,2-4,37,90,0.411
Weber St. (Big Sky),6,5-1,42,102,0.412
Presbyterian (Pioneer),7,4-3,45,109,0.413
Eastern Ill. (OVC),6,1-5,36,87,0.414
UC Davis (Big Sky),5,3-2,36,87,0.414
North Dakota (MVFC),7,5-2,40,96,0.417
Rhode Island (CAA),3,2-1,19,45,0.422
Northern Ariz. (Big Sky),5,3-2,30,71,0.423
Morehead St. (Pioneer),7,4-3,44,104,0.423
Howard (MEAC),2,0-2,15,35,0.429
VMI (SoCon),8,6-2,56,130,0.431
UAlbany (CAA),4,1-3,23,53,0.434
Youngstown St. (MVFC),7,1-6,37,85,0.435
Southern Ill. (MVFC),10,6-4,53,120,0.442
Alabama A&M (SWAC),4,4-0,27,61,0.443
New Hampshire (CAA),1,0-1,8,18,0.444
Tennessee St. (OVC),7,2-5,44,98,0.449
Mercer (SoCon),11,5-6,71,158,0.449
Western Ill. (MVFC),6,1-5,38,84,0.452
Robert Morris (Big South),3,0-3,17,37,0.459
Elon (CAA),6,1-5,42,91,0.462
Lamar University (Southland),6,2-4,33,71,0.465
William & Mary (CAA),3,1-2,20,43,0.465
Northwestern St. (Southland),6,1-5,45,96,0.469
Eastern Ky. (OVC),9,3-6,55,116,0.474
Colgate (Patriot),2,0-2,14,29,0.483
Southern Utah (Big Sky),6,1-5,44,91,0.484
LIU (NEC),4,2-2,30,61,0.492
UIW (Southland),6,3-3,44,88,0.500
South Dakota (MVFC),4,1-3,31,62,0.500
Stetson (Pioneer),4,0-4,31,60,0.517
Western Caro. (SoCon),9,1-8,68,129,0.527
Houston Christian (Southland),4,1-3,30,56,0.536
Butler (Pioneer),6,0-6,37,69,0.536
Davidson (Pioneer),7,4-3,40,74,0.541
Grambling (SWAC),4,0-4,32,57,0.561
Southeastern La. (Southland),7,4-3,53,93,0.570
Campbell (Big South),4,0-4,22,37,0.595
Cal Poly (Big Sky),3,0-3,26,43,0.605
Merrimack (NEC),3,0-3,12,44,0.273
Tarleton St. (FCS Independent),8,5-3,48,128,0.375
Utah Tech (FCS Independent),5,2-3,31,78,0.397
North Ala. (FCS Independent),4,0-4,19,42,0.452
