Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Alabama A&M (SWAC),4,4-0,17,5,9,3,17,1.000
Rhode Island (CAA),3,2-1,11,7,2,2,11,1.000
Texas Southern (SWAC),2,0-2,6,2,2,2,6,1.000
Idaho (Big Sky),6,2-4,21,8,5,7,20,0.952
Sacred Heart (NEC),5,3-2,18,8,6,3,17,0.944
Wofford (SoCon),5,1-4,18,11,1,5,17,0.944
South Dakota St. (MVFC),10,8-2,31,11,8,10,29,0.935
Elon (CAA),6,1-5,15,5,2,7,14,0.933
Southeastern La. (Southland),7,4-3,42,12,18,9,39,0.929
Maine (CAA),4,2-2,13,4,6,2,12,0.923
Richmond (CAA),4,3-1,13,5,4,3,12,0.923
Missouri St. (MVFC),10,5-5,24,10,2,10,22,0.917
Drake (Pioneer),5,2-3,11,4,4,2,10,0.909
UNI (MVFC),7,3-4,22,9,1,10,20,0.909
Davidson (Pioneer),7,4-3,21,11,3,5,19,0.905
Illinois St. (MVFC),4,1-3,10,3,2,4,9,0.900
Abilene Christian (Southland),6,1-5,19,8,4,5,17,0.895
James Madison (CAA),8,7-1,38,17,6,11,34,0.895
Bucknell (Patriot),4,2-2,9,2,1,5,8,0.889
Nicholls (Southland),7,4-3,45,21,13,6,40,0.889
Chattanooga (SoCon),5,3-2,17,9,2,4,15,0.882
North Dakota (MVFC),7,5-2,25,13,7,2,22,0.880
Presbyterian (Pioneer),7,4-3,25,9,7,6,22,0.880
Southern Ill. (MVFC),10,6-4,40,16,9,10,35,0.875
Jacksonville St. (OVC),13,10-3,55,29,7,12,48,0.873
Central Ark. (Southland),9,5-4,31,6,13,8,27,0.871
Eastern Wash. (Big Sky),7,5-2,31,9,14,4,27,0.871
Southern U. (SWAC),5,4-1,23,13,5,2,20,0.870
Sam Houston (Southland),10,10-0,45,21,9,9,39,0.867
Kennesaw St. (Big South),5,4-1,22,13,1,5,19,0.864
Jackson St. (SWAC),6,3-3,29,10,10,5,25,0.862
VMI (SoCon),8,6-2,41,12,13,10,35,0.854
SFA (Southland),10,6-4,34,11,8,10,29,0.853
UAlbany (CAA),4,1-3,13,2,5,4,11,0.846
Furman (SoCon),7,3-4,19,7,5,4,16,0.842
Northwestern St. (Southland),6,1-5,19,4,7,5,16,0.842
Eastern Ky. (OVC),9,3-6,31,7,8,11,26,0.839
Campbell (Big South),4,0-4,12,7,2,1,10,0.833
Prairie View (SWAC),3,2-1,12,4,2,4,10,0.833
South Dakota (MVFC),4,1-3,12,4,1,5,10,0.833
Villanova (CAA),4,2-2,18,7,3,5,15,0.833
Youngstown St. (MVFC),7,1-6,18,6,4,5,15,0.833
Southeast Mo. St. (OVC),8,4-4,35,18,5,6,29,0.829
Idaho St. (Big Sky),6,2-4,23,7,4,8,19,0.826
UIW (Southland),6,3-3,23,4,11,4,19,0.826
Murray St. (OVC),7,5-2,22,12,3,3,18,0.818
North Dakota St. (MVFC),10,7-3,32,16,4,6,26,0.812
Southern Utah (Big Sky),6,1-5,21,4,10,3,17,0.810
Mercer (SoCon),11,5-6,35,19,6,3,28,0.800
Montana (Big Sky),2,2-0,15,8,4,0,12,0.800
UC Davis (Big Sky),5,3-2,20,8,6,2,16,0.800
UT Martin (OVC),7,3-4,29,5,10,8,23,0.793
Charleston So. (Big South),4,2-2,14,4,5,2,11,0.786
Holy Cross (Patriot),4,3-1,14,3,4,4,11,0.786
McNeese (Southland),7,3-4,28,10,5,7,22,0.786
Northern Ariz. (Big Sky),5,3-2,18,6,3,5,14,0.778
Stetson (Pioneer),4,0-4,9,2,3,2,7,0.778
