Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Bryant (NEC),4,2-2,224,883,3.94,7,8,220.8
New Hampshire (CAA),1,0-1,73,222,3.04,3,3,222.0
Montana (Big Sky),2,2-0,118,463,3.92,1,1,231.5
Delaware (CAA),8,7-1,448,1915,4.27,13,14,239.4
James Madison (CAA),8,7-1,457,1947,4.26,15,16,243.4
Chattanooga (SoCon),5,3-2,311,1229,3.95,12,12,245.8
Lehigh (Patriot),3,0-3,185,758,4.10,4,4,252.7
Howard (MEAC),2,0-2,134,522,3.90,5,6,261.0
San Diego (Pioneer),6,4-2,347,1596,4.60,11,12,266.0
Illinois St. (MVFC),4,1-3,259,1075,4.15,9,10,268.8
UAlbany (CAA),4,1-3,259,1090,4.21,12,13,272.5
Drake (Pioneer),5,2-3,344,1372,3.99,7,7,274.4
Richmond (CAA),4,3-1,225,1114,4.95,8,8,278.5
Kennesaw St. (Big South),5,4-1,303,1405,4.64,13,13,281.0
Jacksonville St. (OVC),13,10-3,883,3676,4.16,27,28,282.8
Valparaiso (Pioneer),6,4-2,358,1700,4.75,14,15,283.3
UNI (MVFC),7,3-4,440,1994,4.53,10,12,284.9
ETSU (SoCon),6,4-2,401,1727,4.31,13,14,287.8
South Dakota St. (MVFC),10,8-2,655,2879,4.40,17,17,287.9
Sacred Heart (NEC),5,3-2,310,1462,4.72,11,11,292.4
Fordham (Patriot),3,2-1,199,880,4.42,6,7,293.3
Monmouth (Big South),4,3-1,260,1182,4.55,8,9,295.5
Bucknell (Patriot),4,2-2,234,1184,5.06,9,10,296.0
North Dakota St. (MVFC),10,7-3,626,3059,4.89,24,24,305.9
Youngstown St. (MVFC),7,1-6,430,2191,5.10,17,19,313.0
Southern U. (SWAC),5,4-1,328,1585,4.83,13,13,317.0
Wagner (NEC),2,0-2,133,634,4.77,6,6,317.0
William & Mary (CAA),3,1-2,199,961,4.83,9,9,320.3
Duquesne (NEC),5,4-1,306,1608,5.25,12,12,321.6
Tennessee Tech (OVC),7,2-5,421,2258,5.36,21,24,322.6
Furman (SoCon),7,3-4,440,2264,5.15,13,17,323.4
Prairie View (SWAC),3,2-1,221,981,4.44,8,8,327.0
South Carolina St. (MEAC),4,3-1,265,1308,4.94,10,10,327.0
UT Martin (OVC),7,3-4,452,2305,5.10,21,21,329.3
Holy Cross (Patriot),4,3-1,271,1319,4.87,8,8,329.8
Alabama St. (SWAC),5,2-3,348,1650,4.74,14,15,330.0
Lafayette (Patriot),3,2-1,197,1006,5.11,7,8,335.3
Charleston So. (Big South),4,2-2,266,1342,5.05,10,11,335.5
Alabama A&M (SWAC),4,4-0,276,1369,4.96,12,14,342.2
Presbyterian (Pioneer),7,4-3,495,2405,4.86,19,21,343.6
Colgate (Patriot),2,0-2,139,693,4.99,7,8,346.5
Delaware St. (MEAC),5,2-3,332,1746,5.26,15,15,349.2
Gardner-Webb (Big South),4,2-2,297,1404,4.73,15,15,351.0
Murray St. (OVC),7,5-2,488,2464,5.05,17,20,352.0
Southeast Mo. St. (OVC),8,4-4,557,2844,5.11,23,24,355.5
Missouri St. (MVFC),10,5-5,672,3556,5.29,26,32,355.6
Sam Houston (Southland),10,10-0,745,3570,4.79,22,24,357.0
The Citadel (SoCon),12,2-10,709,4300,6.06,43,49,358.3
Austin Peay (OVC),9,4-5,635,3238,5.10,37,38,359.8
North Dakota (MVFC),7,5-2,469,2527,5.39,18,18,361.0
Maine (CAA),4,2-2,277,1447,5.22,16,17,361.8
Stony Brook (CAA),4,1-3,272,1450,5.33,12,12,362.5
Stetson (Pioneer),4,0-4,265,1457,5.50,11,14,364.2
Ark.-Pine Bluff (SWAC),5,4-1,359,1827,5.09,17,18,365.4
