Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Colgate (Patriot),2,0-2,2,-5,0,-2.50
Bucknell (Patriot),4,2-2,3,-1,0,-0.33
Robert Morris (Big South),3,0-3,4,-1,0,-0.25
Maine (CAA),4,2-2,3,0,0,0.00
Chattanooga (SoCon),5,3-2,4,5,0,1.25
Drake (Pioneer),5,2-3,8,11,0,1.38
Texas Southern (SWAC),2,0-2,2,3,0,1.50
LIU (NEC),4,2-2,2,4,0,2.00
Fordham (Patriot),3,2-1,4,9,1,2.25
Abilene Christian (Southland),6,1-5,8,19,0,2.38
San Diego (Pioneer),6,4-2,5,12,0,2.40
Montana (Big Sky),2,2-0,2,5,0,2.50
Charleston So. (Big South),4,2-2,5,15,0,3.00
Lehigh (Patriot),3,0-3,1,3,0,3.00
New Hampshire (CAA),1,0-1,1,3,0,3.00
Davidson (Pioneer),7,4-3,6,19,0,3.17
Southeastern La. (Southland),7,4-3,8,26,0,3.25
Tennessee Tech (OVC),7,2-5,12,39,1,3.25
ETSU (SoCon),6,4-2,11,37,0,3.36
Rhode Island (CAA),3,2-1,8,29,0,3.62
North Dakota St. (MVFC),10,7-3,14,54,0,3.86
Holy Cross (Patriot),4,3-1,3,12,0,4.00
Tennessee St. (OVC),7,2-5,6,24,1,4.00
Richmond (CAA),4,3-1,7,29,0,4.14
Presbyterian (Pioneer),7,4-3,8,34,0,4.25
Eastern Wash. (Big Sky),7,5-2,7,30,0,4.29
Western Ill. (MVFC),6,1-5,14,66,0,4.71
Idaho (Big Sky),6,2-4,10,48,0,4.80
Elon (CAA),6,1-5,10,49,1,4.90
Southern U. (SWAC),5,4-1,5,25,0,5.00
Southern Utah (Big Sky),6,1-5,4,20,0,5.00
UIW (Southland),6,3-3,5,25,0,5.00
Central Ark. (Southland),9,5-4,13,69,1,5.31
McNeese (Southland),7,3-4,13,69,0,5.31
William & Mary (CAA),3,1-2,5,27,0,5.40
Delaware St. (MEAC),5,2-3,6,33,0,5.50
South Dakota (MVFC),4,1-3,6,33,0,5.50
Eastern Ky. (OVC),9,3-6,24,139,1,5.79
Mercer (SoCon),11,5-6,21,122,0,5.81
Lafayette (Patriot),3,2-1,7,41,0,5.86
UT Martin (OVC),7,3-4,9,53,0,5.89
