Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Montana (Big Sky),2,2-0,0,0,0.00
Davidson (Pioneer),7,4-3,1,15,0.14
North Dakota (MVFC),7,5-2,2,3,0.29
North Dakota St. (MVFC),10,7-3,8,57,0.80
Southern Utah (Big Sky),6,1-5,5,32,0.83
Murray St. (OVC),7,5-2,6,23,0.86
Butler (Pioneer),6,0-6,6,30,1.00
Portland St. (Big Sky),1,0-1,1,1,1.00
South Dakota St. (MVFC),10,8-2,10,61,1.00
Villanova (CAA),4,2-2,4,38,1.00
Wagner (NEC),2,0-2,2,13,1.00
San Diego (Pioneer),6,4-2,7,61,1.17
Ark.-Pine Bluff (SWAC),5,4-1,6,30,1.20
UC Davis (Big Sky),5,3-2,6,42,1.20
Bryant (NEC),4,2-2,5,35,1.25
LIU (NEC),4,2-2,5,41,1.25
South Carolina St. (MEAC),4,3-1,5,49,1.25
Jacksonville St. (OVC),13,10-3,17,100,1.31
Lafayette (Patriot),3,2-1,4,22,1.33
Southern U. (SWAC),5,4-1,7,43,1.40
Wofford (SoCon),5,1-4,7,46,1.40
Alabama A&M (SWAC),4,4-0,6,53,1.50
Colgate (Patriot),2,0-2,3,13,1.50
Southern Ill. (MVFC),10,6-4,15,105,1.50
Stony Brook (CAA),4,1-3,6,38,1.50
Morehead St. (Pioneer),7,4-3,11,57,1.57
Duquesne (NEC),5,4-1,8,24,1.60
Kennesaw St. (Big South),5,4-1,8,47,1.60
Southeast Mo. St. (OVC),8,4-4,13,94,1.62
Sam Houston (Southland),10,10-0,17,92,1.70
Eastern Wash. (Big Sky),7,5-2,12,92,1.71
Nicholls (Southland),7,4-3,12,66,1.71
Houston Christian (Southland),4,1-3,7,52,1.75
Maine (CAA),4,2-2,7,22,1.75
Austin Peay (OVC),9,4-5,16,75,1.78
ETSU (SoCon),6,4-2,11,54,1.83
The Citadel (SoCon),12,2-10,23,134,1.92
UAlbany (CAA),4,1-3,8,57,2.00
Drake (Pioneer),5,2-3,10,75,2.00
Fordham (Patriot),3,2-1,6,41,2.00
Gardner-Webb (Big South),4,2-2,8,54,2.00
Howard (MEAC),2,0-2,4,12,2.00
Idaho (Big Sky),6,2-4,12,66,2.00
James Madison (CAA),8,7-1,16,92,2.00
Mercer (SoCon),11,5-6,22,166,2.00
New Hampshire (CAA),1,0-1,2,14,2.00
Richmond (CAA),4,3-1,8,54,2.00
Robert Morris (Big South),3,0-3,6,45,2.00
Valparaiso (Pioneer),6,4-2,12,67,2.00
Weber St. (Big Sky),6,5-1,12,63,2.00
Western Caro. (SoCon),9,1-8,18,106,2.00
William & Mary (CAA),3,1-2,6,30,2.00
SFA (Southland),10,6-4,21,94,2.10
UNI (MVFC),7,3-4,15,103,2.14
Youngstown St. (MVFC),7,1-6,15,67,2.14
Eastern Ill. (OVC),6,1-5,13,99,2.17
Western Ill. (MVFC),6,1-5,13,73,2.17
Alabama St. (SWAC),5,2-3,11,75,2.20
Chattanooga (SoCon),5,3-2,11,69,2.20
Northern Ariz. (Big Sky),5,3-2,11,71,2.20
Central Ark. (Southland),9,5-4,20,116,2.22
Bucknell (Patriot),4,2-2,9,64,2.25
VMI (SoCon),8,6-2,18,130,2.25
UT Martin (OVC),7,3-4,16,120,2.29
Jackson St. (SWAC),6,3-3,14,86,2.33
Furman (SoCon),7,3-4,17,124,2.43
Samford (SoCon),7,4-3,17,122,2.43
Monmouth (Big South),4,3-1,10,60,2.50
Eastern Ky. (OVC),9,3-6,23,163,2.56
Abilene Christian (Southland),6,1-5,16,122,2.67
Tennessee St. (OVC),7,2-5,19,116,2.71
Tennessee Tech (OVC),7,2-5,19,121,2.71
Delaware (CAA),8,7-1,22,139,2.75
Sacred Heart (NEC),5,3-2,14,92,2.80
Northwestern St. (Southland),6,1-5,17,110,2.83
UIW (Southland),6,3-3,17,134,2.83
Elon (CAA),6,1-5,18,141,3.00
Illinois St. (MVFC),4,1-3,12,62,3.00
McNeese (Southland),7,3-4,21,120,3.00
Prairie View (SWAC),3,2-1,9,71,3.00
Idaho St. (Big Sky),6,2-4,19,100,3.17
Delaware St. (MEAC),5,2-3,16,110,3.20
Campbell (Big South),4,0-4,13,68,3.25
Holy Cross (Patriot),4,3-1,13,56,3.25
Stetson (Pioneer),4,0-4,13,72,3.25
Lamar University (Southland),6,2-4,20,127,3.33
Rhode Island (CAA),3,2-1,10,55,3.33
Southeastern La. (Southland),7,4-3,24,129,3.43
Texas Southern (SWAC),2,0-2,7,54,3.50
Charleston So. (Big South),4,2-2,15,104,3.75
Presbyterian (Pioneer),7,4-3,29,156,4.14
Mississippi Val. (SWAC),3,0-3,13,71,4.33
Grambling (SWAC),4,0-4,18,105,4.50
Missouri St. (MVFC),10,5-5,46,287,4.60
Lehigh (Patriot),3,0-3,15,94,5.00
South Dakota (MVFC),4,1-3,20,118,5.00
Cal Poly (Big Sky),3,0-3,21,117,7.00
Utah Tech (FCS Independent),5,2-3,6,32,1.20
Tarleton St. (FCS Independent),8,5-3,11,68,1.38
Merrimack (NEC),3,0-3,9,60,3.00
North Ala. (FCS Independent),4,0-4,14,82,3.50
