Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Idaho St. (Big Sky),6,2-4,2,2,1.000
James Madison (CAA),8,7-1,12,14,0.857
Delaware (CAA),8,7-1,9,11,0.818
Holy Cross (Patriot),4,3-1,4,5,0.800
William & Mary (CAA),3,1-2,4,5,0.800
Southeastern La. (Southland),7,4-3,12,16,0.750
Texas Southern (SWAC),2,0-2,3,4,0.750
UNI (MVFC),7,3-4,3,4,0.750
Youngstown St. (MVFC),7,1-6,11,15,0.733
Montana (Big Sky),2,2-0,5,7,0.714
Eastern Wash. (Big Sky),7,5-2,14,20,0.700
VMI (SoCon),8,6-2,14,20,0.700
Richmond (CAA),4,3-1,7,10,0.700
Southern Utah (Big Sky),6,1-5,8,12,0.667
Wofford (SoCon),5,1-4,6,9,0.667
Wagner (NEC),2,0-2,2,3,0.667
Southeast Mo. St. (OVC),8,4-4,11,17,0.647
Tennessee Tech (OVC),7,2-5,11,17,0.647
Nicholls (Southland),7,4-3,9,14,0.643
Austin Peay (OVC),9,4-5,14,22,0.636
Delaware St. (MEAC),5,2-3,5,8,0.625
Duquesne (NEC),5,4-1,5,8,0.625
The Citadel (SoCon),12,2-10,26,42,0.619
Kennesaw St. (Big South),5,4-1,8,13,0.615
Bryant (NEC),4,2-2,6,10,0.600
Houston Christian (Southland),4,1-3,3,5,0.600
Southern Ill. (MVFC),10,6-4,11,19,0.579
Davidson (Pioneer),7,4-3,15,26,0.577
Eastern Ky. (OVC),9,3-6,8,14,0.571
Monmouth (Big South),4,3-1,8,14,0.571
Alabama St. (SWAC),5,2-3,5,9,0.556
Presbyterian (Pioneer),7,4-3,12,22,0.545
Sam Houston (Southland),10,10-0,8,15,0.533
SFA (Southland),10,6-4,10,20,0.500
Furman (SoCon),7,3-4,9,18,0.500
Idaho (Big Sky),6,2-4,8,16,0.500
Northwestern St. (Southland),6,1-5,7,14,0.500
UT Martin (OVC),7,3-4,7,14,0.500
Western Ill. (MVFC),6,1-5,7,14,0.500
Samford (SoCon),7,4-3,6,12,0.500
Bucknell (Patriot),4,2-2,5,10,0.500
Central Ark. (Southland),9,5-4,4,8,0.500
Colgate (Patriot),2,0-2,4,8,0.500
Prairie View (SWAC),3,2-1,4,8,0.500
Campbell (Big South),4,0-4,3,6,0.500
LIU (NEC),4,2-2,3,6,0.500
Alabama A&M (SWAC),4,4-0,2,4,0.500
Drake (Pioneer),5,2-3,2,4,0.500
South Dakota St. (MVFC),10,8-2,5,11,0.455
UAlbany (CAA),4,1-3,4,9,0.444
Northern Ariz. (Big Sky),5,3-2,4,9,0.444
Jacksonville St. (OVC),13,10-3,7,16,0.438
Elon (CAA),6,1-5,3,7,0.429
San Diego (Pioneer),6,4-2,3,7,0.429
Villanova (CAA),4,2-2,3,7,0.429
Butler (Pioneer),6,0-6,8,19,0.421
North Dakota St. (MVFC),10,7-3,5,12,0.417
UC Davis (Big Sky),5,3-2,5,12,0.417
Abilene Christian (Southland),6,1-5,6,15,0.400
Fordham (Patriot),3,2-1,4,10,0.400
Mississippi Val. (SWAC),3,0-3,4,10,0.400
Grambling (SWAC),4,0-4,2,5,0.400
Howard (MEAC),2,0-2,2,5,0.400
Illinois St. (MVFC),4,1-3,2,5,0.400
New Hampshire (CAA),1,0-1,2,5,0.400
South Dakota (MVFC),4,1-3,2,5,0.400
Weber St. (Big Sky),6,5-1,2,5,0.400
Mercer (SoCon),11,5-6,5,13,0.385
Chattanooga (SoCon),5,3-2,6,16,0.375
Morehead St. (Pioneer),7,4-3,3,8,0.375
Sacred Heart (NEC),5,3-2,3,8,0.375
Lamar University (Southland),6,2-4,4,11,0.364
Valparaiso (Pioneer),6,4-2,4,11,0.364
UIW (Southland),6,3-3,5,14,0.357
Missouri St. (MVFC),10,5-5,5,15,0.333
McNeese (Southland),7,3-4,3,9,0.333
Charleston So. (Big South),4,2-2,2,6,0.333
Jackson St. (SWAC),6,3-3,2,6,0.333
Lafayette (Patriot),3,2-1,2,6,0.333
Murray St. (OVC),7,5-2,2,6,0.333
Robert Morris (Big South),3,0-3,2,6,0.333
South Carolina St. (MEAC),4,3-1,2,6,0.333
Southern U. (SWAC),5,4-1,2,6,0.333
Rhode Island (CAA),3,2-1,1,3,0.333
Eastern Ill. (OVC),6,1-5,10,31,0.323
Ark.-Pine Bluff (SWAC),5,4-1,3,10,0.300
North Dakota (MVFC),7,5-2,3,10,0.300
Cal Poly (Big Sky),3,0-3,3,11,0.273
Western Caro. (SoCon),9,1-8,4,16,0.250
Tennessee St. (OVC),7,2-5,3,12,0.250
Stetson (Pioneer),4,0-4,3,13,0.231
ETSU (SoCon),6,4-2,2,9,0.222
Gardner-Webb (Big South),4,2-2,3,14,0.214
Maine (CAA),4,2-2,1,6,0.167
Stony Brook (CAA),4,1-3,1,6,0.167
Lehigh (Patriot),3,0-3,1,7,0.143
Portland St. (Big Sky),1,0-1,0,3,0.000
Utah Tech (FCS Independent),5,2-3,7,10,0.700
North Ala. (FCS Independent),4,0-4,3,7,0.429
Tarleton St. (FCS Independent),8,5-3,6,16,0.375
Merrimack (NEC),3,0-3,1,6,0.167
