Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
New Hampshire (CAA),1,0-1,2,14,0,7.00
Eastern Ill. (OVC),6,1-5,16,165,0,10.31
Villanova (CAA),4,2-2,11,115,0,10.45
UAlbany (CAA),4,1-3,9,99,0,11.00
William & Mary (CAA),3,1-2,4,51,0,12.75
Chattanooga (SoCon),5,3-2,15,196,0,13.07
Colgate (Patriot),2,0-2,3,41,0,13.67
Lafayette (Patriot),3,2-1,6,88,0,14.67
Duquesne (NEC),5,4-1,16,235,0,14.69
Sacred Heart (NEC),5,3-2,18,269,0,14.94
Cal Poly (Big Sky),3,0-3,2,30,0,15.00
Southern U. (SWAC),5,4-1,13,197,0,15.15
UT Martin (OVC),7,3-4,16,243,0,15.19
Central Ark. (Southland),9,5-4,26,395,0,15.19
Delaware St. (MEAC),5,2-3,13,198,0,15.23
Mississippi Val. (SWAC),3,0-3,9,140,0,15.56
Gardner-Webb (Big South),4,2-2,12,187,0,15.58
Holy Cross (Patriot),4,3-1,12,189,0,15.75
Montana (Big Sky),2,2-0,6,95,0,15.83
Elon (CAA),6,1-5,10,160,0,16.00
Jackson St. (SWAC),6,3-3,31,501,0,16.16
Howard (MEAC),2,0-2,6,97,0,16.17
Southeast Mo. St. (OVC),8,4-4,24,391,0,16.29
Weber St. (Big Sky),6,5-1,13,212,0,16.31
Wagner (NEC),2,0-2,3,49,0,16.33
UC Davis (Big Sky),5,3-2,12,201,0,16.75
James Madison (CAA),8,7-1,14,236,0,16.86
Furman (SoCon),7,3-4,16,270,0,16.88
Delaware (CAA),8,7-1,23,392,0,17.04
Southern Ill. (MVFC),10,6-4,30,514,0,17.13
South Carolina St. (MEAC),4,3-1,9,155,0,17.22
Murray St. (OVC),7,5-2,13,226,0,17.38
Nicholls (Southland),7,4-3,25,436,0,17.44
SFA (Southland),10,6-4,32,565,0,17.66
Charleston So. (Big South),4,2-2,14,248,0,17.71
The Citadel (SoCon),12,2-10,21,375,1,17.86
Lamar University (Southland),6,2-4,10,179,0,17.90
Richmond (CAA),4,3-1,15,269,0,17.93
Davidson (Pioneer),7,4-3,34,622,0,18.29
Alabama St. (SWAC),5,2-3,17,312,0,18.35
South Dakota St. (MVFC),10,8-2,17,316,0,18.59
Drake (Pioneer),5,2-3,9,168,0,18.67
UIW (Southland),6,3-3,18,336,1,18.67
Rhode Island (CAA),3,2-1,9,169,0,18.78
Western Ill. (MVFC),6,1-5,9,169,0,18.78
North Dakota St. (MVFC),10,7-3,24,453,0,18.88
Portland St. (Big Sky),1,0-1,1,19,0,19.00
Stony Brook (CAA),4,1-3,9,171,0,19.00
Bucknell (Patriot),4,2-2,12,231,0,19.25
Monmouth (Big South),4,3-1,16,311,0,19.44
Lehigh (Patriot),3,0-3,5,98,0,19.60
Jacksonville St. (OVC),13,10-3,32,629,1,19.66
Kennesaw St. (Big South),5,4-1,15,295,0,19.67
Robert Morris (Big South),3,0-3,6,118,0,19.67
Eastern Wash. (Big Sky),7,5-2,38,755,0,19.87
Tennessee St. (OVC),7,2-5,11,219,0,19.91
Alabama A&M (SWAC),4,4-0,22,443,1,20.14
Ark.-Pine Bluff (SWAC),5,4-1,21,425,0,20.24
Grambling (SWAC),4,0-4,10,208,0,20.80
Missouri St. (MVFC),10,5-5,17,355,0,20.88
Valparaiso (Pioneer),6,4-2,17,363,0,21.35
Sam Houston (Southland),10,10-0,40,855,1,21.38
North Dakota (MVFC),7,5-2,22,472,0,21.45
Fordham (Patriot),3,2-1,12,260,0,21.67
Wofford (SoCon),5,1-4,21,455,0,21.67
Tennessee Tech (OVC),7,2-5,19,413,0,21.74
Austin Peay (OVC),9,4-5,23,500,0,21.74
Northwestern St. (Southland),6,1-5,19,417,0,21.95
South Dakota (MVFC),4,1-3,10,220,1,22.00
Morehead St. (Pioneer),7,4-3,21,464,0,22.10
Mercer (SoCon),11,5-6,29,646,0,22.28
Abilene Christian (Southland),6,1-5,10,223,0,22.30
Idaho (Big Sky),6,2-4,12,268,0,22.33
Samford (SoCon),7,4-3,13,292,0,22.46
Southern Utah (Big Sky),6,1-5,20,451,0,22.55
UNI (MVFC),7,3-4,16,367,1,22.94
Prairie View (SWAC),3,2-1,8,184,0,23.00
Western Caro. (SoCon),9,1-8,24,556,1,23.17
San Diego (Pioneer),6,4-2,18,420,1,23.33
Maine (CAA),4,2-2,15,351,1,23.40
Presbyterian (Pioneer),7,4-3,27,634,0,23.48
Southeastern La. (Southland),7,4-3,23,542,0,23.57
Idaho St. (Big Sky),6,2-4,18,435,0,24.17
LIU (NEC),4,2-2,14,341,0,24.36
VMI (SoCon),8,6-2,25,617,1,24.68
Campbell (Big South),4,0-4,12,297,1,24.75
McNeese (Southland),7,3-4,18,451,1,25.06
Eastern Ky. (OVC),9,3-6,26,667,1,25.65
Texas Southern (SWAC),2,0-2,7,184,1,26.29
Butler (Pioneer),6,0-6,16,426,1,26.62
ETSU (SoCon),6,4-2,11,295,0,26.82
Bryant (NEC),4,2-2,5,137,0,27.40
Houston Christian (Southland),4,1-3,4,110,0,27.50
Stetson (Pioneer),4,0-4,7,197,1,28.14
Northern Ariz. (Big Sky),5,3-2,15,438,1,29.20
Youngstown St. (MVFC),7,1-6,7,210,1,30.00
Illinois St. (MVFC),4,1-3,7,215,0,30.71
North Ala. (FCS Independent),4,0-4,7,104,0,14.86
Merrimack (NEC),3,0-3,5,79,0,15.80
Tarleton St. (FCS Independent),8,5-3,25,530,2,21.20
Utah Tech (FCS Independent),5,2-3,19,430,1,22.63
