Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Howard (MEAC),2,0-2,0,1,0.000
Montana (Big Sky),2,2-0,0,4,0.000
Mississippi Val. (SWAC),3,0-3,1,7,0.143
Alabama St. (SWAC),5,2-3,1,6,0.167
Monmouth (Big South),4,3-1,2,12,0.167
Butler (Pioneer),6,0-6,2,9,0.222
Alabama A&M (SWAC),4,4-0,1,4,0.250
Eastern Wash. (Big Sky),7,5-2,4,16,0.250
Holy Cross (Patriot),4,3-1,3,12,0.250
Illinois St. (MVFC),4,1-3,1,4,0.250
Northwestern St. (Southland),6,1-5,2,8,0.250
Southeastern La. (Southland),7,4-3,2,8,0.250
UAlbany (CAA),4,1-3,2,7,0.286
Delaware (CAA),8,7-1,3,10,0.300
Colgate (Patriot),2,0-2,1,3,0.333
Idaho (Big Sky),6,2-4,3,9,0.333
Southern Utah (Big Sky),6,1-5,3,9,0.333
Stetson (Pioneer),4,0-4,2,6,0.333
Villanova (CAA),4,2-2,2,6,0.333
Western Ill. (MVFC),6,1-5,1,3,0.333
Southeast Mo. St. (OVC),8,4-4,9,25,0.360
The Citadel (SoCon),12,2-10,9,25,0.360
Stony Brook (CAA),4,1-3,3,8,0.375
UT Martin (OVC),7,3-4,6,16,0.375
Sam Houston (Southland),10,10-0,11,29,0.379
Murray St. (OVC),7,5-2,5,13,0.385
North Dakota (MVFC),7,5-2,5,13,0.385
Ark.-Pine Bluff (SWAC),5,4-1,4,10,0.400
Furman (SoCon),7,3-4,4,10,0.400
Grambling (SWAC),4,0-4,2,5,0.400
Lafayette (Patriot),3,2-1,2,5,0.400
Missouri St. (MVFC),10,5-5,6,15,0.400
Presbyterian (Pioneer),7,4-3,7,17,0.412
Bucknell (Patriot),4,2-2,5,12,0.417
Davidson (Pioneer),7,4-3,3,7,0.429
Tennessee Tech (OVC),7,2-5,6,14,0.429
Delaware St. (MEAC),5,2-3,5,11,0.455
Gardner-Webb (Big South),4,2-2,5,11,0.455
Lamar University (Southland),6,2-4,5,11,0.455
SFA (Southland),10,6-4,10,22,0.455
San Diego (Pioneer),6,4-2,5,11,0.455
Valparaiso (Pioneer),6,4-2,5,11,0.455
Duquesne (NEC),5,4-1,6,13,0.462
Wofford (SoCon),5,1-4,7,15,0.467
VMI (SoCon),8,6-2,8,17,0.471
Morehead St. (Pioneer),7,4-3,11,23,0.478
South Dakota St. (MVFC),10,8-2,13,27,0.481
Central Ark. (Southland),9,5-4,8,16,0.500
Charleston So. (Big South),4,2-2,8,16,0.500
ETSU (SoCon),6,4-2,5,10,0.500
Jacksonville St. (OVC),13,10-3,14,28,0.500
Lehigh (Patriot),3,0-3,3,6,0.500
Prairie View (SWAC),3,2-1,3,6,0.500
Rhode Island (CAA),3,2-1,3,6,0.500
Robert Morris (Big South),3,0-3,2,4,0.500
Sacred Heart (NEC),5,3-2,3,6,0.500
Texas Southern (SWAC),2,0-2,2,4,0.500
UIW (Southland),6,3-3,6,12,0.500
UNI (MVFC),7,3-4,5,10,0.500
Samford (SoCon),7,4-3,12,23,0.522
Eastern Ill. (OVC),6,1-5,7,13,0.538
Jackson St. (SWAC),6,3-3,6,11,0.545
Tennessee St. (OVC),7,2-5,6,11,0.545
William & Mary (CAA),3,1-2,4,7,0.571
Drake (Pioneer),5,2-3,7,12,0.583
Mercer (SoCon),11,5-6,14,24,0.583
Bryant (NEC),4,2-2,3,5,0.600
LIU (NEC),4,2-2,3,5,0.600
Northern Ariz. (Big Sky),5,3-2,9,15,0.600
Wagner (NEC),2,0-2,3,5,0.600
Western Caro. (SoCon),9,1-8,12,20,0.600
Youngstown St. (MVFC),7,1-6,3,5,0.600
North Dakota St. (MVFC),10,7-3,11,18,0.611
Idaho St. (Big Sky),6,2-4,8,13,0.615
Southern U. (SWAC),5,4-1,5,8,0.625
Austin Peay (OVC),9,4-5,12,19,0.632
Kennesaw St. (Big South),5,4-1,7,11,0.636
Abilene Christian (Southland),6,1-5,9,14,0.643
Campbell (Big South),4,0-4,2,3,0.667
Eastern Ky. (OVC),9,3-6,8,12,0.667
Elon (CAA),6,1-5,14,21,0.667
Maine (CAA),4,2-2,6,9,0.667
Nicholls (Southland),7,4-3,7,10,0.700
UC Davis (Big Sky),5,3-2,7,10,0.700
Fordham (Patriot),3,2-1,5,7,0.714
Richmond (CAA),4,3-1,5,7,0.714
South Carolina St. (MEAC),4,3-1,8,11,0.727
James Madison (CAA),8,7-1,6,8,0.750
McNeese (Southland),7,3-4,12,16,0.750
Portland St. (Big Sky),1,0-1,3,4,0.750
Weber St. (Big Sky),6,5-1,8,10,0.800
Southern Ill. (MVFC),10,6-4,13,16,0.812
Chattanooga (SoCon),5,3-2,9,11,0.818
Houston Christian (Southland),4,1-3,7,8,0.875
Cal Poly (Big Sky),3,0-3,4,4,1.000
New Hampshire (CAA),1,0-1,1,1,1.000
South Dakota (MVFC),4,1-3,4,4,1.000
Merrimack (NEC),3,0-3,2,5,0.400
Utah Tech (FCS Independent),5,2-3,5,12,0.417
Tarleton St. (FCS Independent),8,5-3,8,13,0.615
North Ala. (FCS Independent),4,0-4,6,8,0.750
