Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
New Hampshire (CAA),1,0-1,37,33,0.89,0,33.0
Lafayette (Patriot),3,2-1,91,190,2.09,2,63.3
James Madison (CAA),8,7-1,226,579,2.56,9,72.4
Montana (Big Sky),2,2-0,60,149,2.48,0,74.5
Drake (Pioneer),5,2-3,174,386,2.22,5,77.2
Richmond (CAA),4,3-1,120,314,2.62,4,78.5
San Diego (Pioneer),6,4-2,194,473,2.44,3,78.8
Bucknell (Patriot),4,2-2,113,316,2.80,3,79.0
Lehigh (Patriot),3,0-3,92,263,2.86,0,87.7
Jacksonville St. (OVC),13,10-3,459,1201,2.62,15,92.4
Sam Houston (Southland),10,10-0,359,949,2.64,7,94.9
Illinois St. (MVFC),4,1-3,129,380,2.95,6,95.0
Monmouth (Big South),4,3-1,135,397,2.94,3,99.2
Holy Cross (Patriot),4,3-1,123,413,3.36,3,103.2
Ark.-Pine Bluff (SWAC),5,4-1,164,538,3.28,7,107.6
UNI (MVFC),7,3-4,237,758,3.20,2,108.3
Valparaiso (Pioneer),6,4-2,193,667,3.46,10,111.2
Bryant (NEC),4,2-2,150,445,2.97,4,111.2
Idaho (Big Sky),6,2-4,211,670,3.18,7,111.7
Kennesaw St. (Big South),5,4-1,162,565,3.49,6,113.0
ETSU (SoCon),6,4-2,226,687,3.04,9,114.5
Sacred Heart (NEC),5,3-2,161,578,3.59,4,115.6
South Dakota St. (MVFC),10,8-2,360,1157,3.21,10,115.7
North Dakota St. (MVFC),10,7-3,353,1201,3.40,14,120.1
Missouri St. (MVFC),10,5-5,366,1203,3.29,8,120.3
Delaware (CAA),8,7-1,274,968,3.53,6,121.0
Gardner-Webb (Big South),4,2-2,148,495,3.34,8,123.8
Southern U. (SWAC),5,4-1,183,624,3.41,5,124.8
Colgate (Patriot),2,0-2,93,250,2.69,5,125.0
Furman (SoCon),7,3-4,263,890,3.38,8,127.1
UC Davis (Big Sky),5,3-2,202,637,3.15,6,127.4
UAlbany (CAA),4,1-3,150,513,3.42,4,128.2
UT Martin (OVC),7,3-4,247,902,3.65,8,128.9
Tennessee Tech (OVC),7,2-5,237,908,3.83,9,129.7
Mississippi Val. (SWAC),3,0-3,102,391,3.83,5,130.3
Charleston So. (Big South),4,2-2,169,526,3.11,4,131.5
Prairie View (SWAC),3,2-1,131,398,3.04,2,132.7
Nicholls (Southland),7,4-3,235,932,3.97,6,133.1
Eastern Ill. (OVC),6,1-5,226,805,3.56,13,134.2
Stony Brook (CAA),4,1-3,148,537,3.63,3,134.2
North Dakota (MVFC),7,5-2,250,962,3.85,11,137.4
Weber St. (Big Sky),6,5-1,221,843,3.81,4,140.5
Villanova (CAA),4,2-2,142,569,4.01,10,142.2
Austin Peay (OVC),9,4-5,352,1282,3.64,24,142.4
Alabama A&M (SWAC),4,4-0,137,574,4.19,5,143.5
Davidson (Pioneer),7,4-3,193,1013,5.25,11,144.7
