Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Davidson (Pioneer),7,4-3,428,1960,4.58,16,280.0
Kennesaw St. (Big South),5,4-1,284,1340,4.72,13,268.0
Nicholls (Southland),7,4-3,311,1844,5.93,25,263.4
The Citadel (SoCon),12,2-10,721,2908,4.03,19,242.3
Wofford (SoCon),5,1-4,232,1164,5.02,11,232.8
James Madison (CAA),8,7-1,393,1861,4.74,20,232.6
South Dakota St. (MVFC),10,8-2,380,2317,6.10,20,231.7
UC Davis (Big Sky),5,3-2,232,1132,4.88,12,226.4
Montana (Big Sky),2,2-0,85,439,5.16,9,219.5
North Dakota St. (MVFC),10,7-3,426,2184,5.13,20,218.4
Southern U. (SWAC),5,4-1,218,1061,4.87,13,212.2
Villanova (CAA),4,2-2,147,843,5.73,10,210.8
Sacred Heart (NEC),5,3-2,232,1039,4.48,10,207.8
Weber St. (Big Sky),6,5-1,241,1237,5.13,11,206.2
Jacksonville St. (OVC),13,10-3,538,2457,4.57,29,189.0
Southern Ill. (MVFC),10,6-4,416,1860,4.47,17,186.0
North Dakota (MVFC),7,5-2,250,1294,5.18,15,184.9
Monmouth (Big South),4,3-1,168,728,4.33,11,182.0
Bryant (NEC),4,2-2,180,719,3.99,8,179.8
Holy Cross (Patriot),4,3-1,158,715,4.53,5,178.8
McNeese (Southland),7,3-4,302,1246,4.13,13,178.0
UIW (Southland),6,3-3,162,1051,6.49,8,175.2
Illinois St. (MVFC),4,1-3,172,678,3.94,4,169.5
Youngstown St. (MVFC),7,1-6,301,1184,3.93,9,169.1
South Carolina St. (MEAC),4,3-1,160,673,4.21,3,168.2
Northwestern St. (Southland),6,1-5,191,1007,5.27,9,167.8
Mercer (SoCon),11,5-6,491,1845,3.76,20,167.7
Jackson St. (SWAC),6,3-3,219,1005,4.59,12,167.5
Duquesne (NEC),5,4-1,204,825,4.04,8,165.0
Idaho (Big Sky),6,2-4,233,986,4.23,9,164.3
Stetson (Pioneer),4,0-4,154,655,4.25,3,163.8
Samford (SoCon),7,4-3,253,1125,4.45,18,160.7
Stony Brook (CAA),4,1-3,150,639,4.26,6,159.8
Sam Houston (Southland),10,10-0,353,1588,4.50,25,158.8
Furman (SoCon),7,3-4,313,1111,3.55,7,158.7
Eastern Wash. (Big Sky),7,5-2,259,1106,4.27,12,158.0
Alabama St. (SWAC),5,2-3,184,768,4.17,8,153.6
Richmond (CAA),4,3-1,144,613,4.26,6,153.2
Mississippi Val. (SWAC),3,0-3,112,459,4.10,4,153.0
Gardner-Webb (Big South),4,2-2,148,607,4.10,7,151.8
Valparaiso (Pioneer),6,4-2,249,910,3.65,8,151.7
Delaware St. (MEAC),5,2-3,220,753,3.42,4,150.6
ETSU (SoCon),6,4-2,219,896,4.09,9,149.3
Delaware (CAA),8,7-1,345,1194,3.46,13,149.2
Rhode Island (CAA),3,2-1,108,443,4.10,8,147.7
Southeast Mo. St. (OVC),8,4-4,300,1180,3.93,18,147.5
Lamar University (Southland),6,2-4,294,873,2.97,5,145.5
LIU (NEC),4,2-2,151,576,3.81,5,144.0
Murray St. (OVC),7,5-2,252,993,3.94,12,141.9
Campbell (Big South),4,0-4,157,567,3.61,7,141.8
Western Caro. (SoCon),9,1-8,298,1214,4.07,11,134.9
