Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Ga. Southern (Sun Belt),13,10-3,12,15,27,5,0,5,22,1.69
Kansas (Big 12),12,3-9,11,16,27,7,4,11,16,1.33
Utah St. (Mountain West),13,11-2,10,22,32,12,6,18,14,1.08
UCF (AAC),13,12-1,14,14,28,7,7,14,14,1.08
Ohio (MAC),13,9-4,16,16,32,11,8,19,13,1.00
Syracuse (ACC),13,10-3,13,18,31,6,12,18,13,1.00
Florida (SEC),13,10-3,12,14,26,8,6,14,12,0.92
LSU (SEC),13,10-3,8,17,25,8,5,13,12,0.92
Fresno St. (Mountain West),14,12-2,7,19,26,8,6,14,12,0.86
Boise St. (Mountain West),13,10-3,17,7,24,5,8,13,11,0.85
Troy (Sun Belt),13,10-3,13,18,31,13,8,21,10,0.77
Arizona St. (Pac-12),13,7-6,9,12,21,4,7,11,10,0.77
Eastern Mich. (MAC),13,7-6,11,13,24,10,4,14,10,0.77
Army West Point (FBS Independent),13,11-2,13,5,18,5,3,8,10,0.77
Maryland (Big Ten),12,5-7,5,18,23,9,5,14,9,0.75
Auburn (SEC),13,8-5,8,14,22,8,5,13,9,0.69
Iowa (Big Ten),13,9-4,7,20,27,7,11,18,9,0.69
FIU (C-USA),13,9-4,5,17,22,5,8,13,9,0.69
Texas (Big 12),14,10-4,8,12,20,5,6,11,9,0.64
Georgia Tech (ACC),13,7-6,13,12,25,13,4,17,8,0.62
Washington St. (Pac-12),13,11-2,11,12,23,5,10,15,8,0.62
Vanderbilt (SEC),13,6-7,9,13,22,8,6,14,8,0.62
SMU (AAC),12,5-7,11,11,22,7,8,15,7,0.58
West Virginia (Big 12),12,8-4,9,15,24,7,10,17,7,0.58
Boston College (ACC),12,7-5,8,18,26,10,9,19,7,0.58
Mississippi St. (SEC),13,8-5,7,13,20,3,10,13,7,0.54
Miami (OH) (MAC),12,6-6,8,8,16,5,5,10,6,0.50
Northwestern (Big Ten),14,9-5,14,12,26,3,16,19,7,0.50
Clemson (ACC),15,15-0,12,12,24,9,8,17,7,0.47
App State (Sun Belt),13,11-2,6,17,23,5,12,17,6,0.46
Temple (AAC),13,8-5,13,18,31,6,19,25,6,0.46
Ohio St. (Big Ten),14,13-1,12,11,23,9,8,17,6,0.43
Indiana (Big Ten),12,5-7,13,13,26,8,13,21,5,0.42
Alabama (SEC),15,14-1,7,14,21,7,8,15,6,0.40
North Texas (C-USA),13,9-4,4,18,22,8,9,17,5,0.38
Oregon (Pac-12),13,9-4,6,17,23,10,8,18,5,0.38
Houston (AAC),13,8-5,10,14,24,10,9,19,5,0.38
Michigan (Big Ten),13,10-3,6,11,17,3,9,12,5,0.38
Middle Tenn. (C-USA),14,8-6,8,16,24,8,11,19,5,0.36
