Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Miami (FL) (ACC),13,7-6,93,86,471,136,10.5
Clemson (ACC),15,15-0,113,46,617,136,9.1
East Carolina (AAC),12,3-9,80,50,383,105,8.8
Penn St. (Big Ten),13,9-4,91,32,443,107,8.2
UCF (AAC),13,12-1,82,48,334,106,8.2
West Virginia (Big 12),12,8-4,85,22,366,96,8.0
UAB (C-USA),14,11-3,94,34,466,111,7.9
Mississippi St. (SEC),13,8-5,63,80,461,103,7.9
Nevada (Mountain West),13,8-5,85,36,375,103,7.9
NIU (MAC),14,8-6,91,38,483,110,7.9
Utah (Pac-12),14,9-5,90,38,436,109,7.8
Louisiana Tech (C-USA),13,8-5,78,46,415,101,7.8
Texas A&M (SEC),13,9-4,77,46,398,100,7.7
Arkansas St. (Sun Belt),13,8-5,66,68,370,100,7.7
ULM (Sun Belt),12,6-6,66,52,349,92,7.7
Troy (Sun Belt),13,10-3,71,56,405,99,7.6
SMU (AAC),12,5-7,65,52,309,91,7.6
North Texas (C-USA),13,9-4,75,44,407,97,7.5
Memphis (AAC),14,8-6,88,32,382,104,7.4
Oklahoma St. (Big 12),13,7-6,83,26,344,96,7.4
Auburn (SEC),13,8-5,74,44,374,96,7.4
Syracuse (ACC),13,10-3,87,18,429,96,7.4
Utah St. (Mountain West),13,11-2,75,40,365,95,7.3
North Carolina (ACC),11,2-9,63,32,319,79,7.2
Ole Miss (SEC),12,5-7,54,64,317,86,7.2
Alabama (SEC),15,14-1,83,48,395,107,7.1
Marshall (C-USA),13,9-4,79,26,407,92,7.1
Ohio St. (Big Ten),14,13-1,88,22,421,99,7.1
Texas (Big 12),14,10-4,81,35,365,99,7.0
Toledo (MAC),13,7-6,62,56,358,90,6.9
Western Mich. (MAC),13,7-6,69,42,363,90,6.9
Southern California (Pac-12),12,5-7,65,36,311,83,6.9
Michigan (Big Ten),13,10-3,71,34,376,88,6.8
TCU (Big 12),13,7-6,79,18,320,88,6.8
South Fla. (AAC),13,7-6,62,52,306,88,6.8
Washington St. (Pac-12),13,11-2,68,40,381,88,6.8
Iowa St. (Big 12),13,8-5,66,44,368,88,6.8
Akron (MAC),12,4-8,62,38,345,81,6.8
Arizona St. (Pac-12),13,7-6,72,30,352,87,6.7
Houston (AAC),13,8-5,68,38,306,87,6.7
Kentucky (SEC),13,10-3,75,24,377,87,6.7
Boston College (ACC),12,7-5,59,42,320,80,6.7
Florida (SEC),13,10-3,67,38,323,86,6.6
App State (Sun Belt),13,11-2,66,40,309,86,6.6
Southern Miss. (C-USA),11,6-5,57,30,247,72,6.5
Tulane (AAC),13,7-6,68,34,352,85,6.5
Michigan St. (Big Ten),13,7-6,52,66,318,85,6.5
Colorado (Pac-12),12,5-7,67,22,306,78,6.5
UTSA (C-USA),12,3-9,63,30,250,78,6.5
Central Mich. (MAC),12,1-11,68,18,313,77,6.4
LSU (SEC),13,10-3,67,32,398,83,6.4
Wake Forest (ACC),13,7-6,63,40,276,83,6.4
