Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Miami (FL) (ACC),13,7-6,169,317,1763,11,5.56,10.43,135.6
Michigan (Big Ten),13,10-3,164,331,1921,14,5.80,11.71,147.8
Eastern Mich. (MAC),13,7-6,189,342,1953,12,5.71,10.33,150.2
Central Mich. (MAC),12,1-11,174,306,1808,11,5.91,10.39,150.7
App State (Sun Belt),13,11-2,209,370,2107,8,5.69,10.08,162.1
Bowling Green (MAC),12,3-9,138,262,2011,21,7.68,14.57,167.6
Mississippi St. (SEC),13,8-5,220,398,2184,8,5.49,9.93,168.0
Tulsa (AAC),12,3-9,180,310,2095,11,6.76,11.64,174.6
California (Pac-12),13,7-6,223,387,2276,13,5.88,10.21,175.1
Southern Miss. (C-USA),11,6-5,179,335,1932,13,5.77,10.79,175.6
Arkansas St. (Sun Belt),13,8-5,193,338,2311,23,6.84,11.97,177.8
Georgia (SEC),14,11-3,258,423,2524,13,5.97,9.78,180.3
Florida (SEC),13,10-3,206,380,2350,16,6.18,11.41,180.8
UAB (C-USA),14,11-3,215,395,2536,14,6.42,11.80,181.1
Penn St. (Big Ten),13,9-4,223,416,2359,14,5.67,10.58,181.5
Virginia (ACC),13,8-5,196,373,2379,12,6.38,12.14,183.0
Iowa (Big Ten),13,9-4,230,402,2393,19,5.95,10.40,184.1
Kentucky (SEC),13,10-3,216,376,2422,14,6.44,11.21,186.3
Rutgers (Big Ten),12,1-11,197,354,2240,21,6.33,11.37,186.7
Temple (AAC),13,8-5,241,438,2436,23,5.56,10.11,187.4
Army West Point (FBS Independent),13,11-2,193,328,2454,17,7.48,12.72,188.8
Wisconsin (Big Ten),13,8-5,209,360,2458,14,6.83,11.76,189.1
Fresno St. (Mountain West),14,12-2,231,447,2652,15,5.93,11.48,189.4
Clemson (ACC),15,15-0,238,447,2844,13,6.36,11.95,189.6
Washington (Pac-12),14,10-4,295,457,2661,12,5.82,9.02,190.1
Cincinnati (AAC),13,11-2,197,405,2477,19,6.12,12.57,190.5
Akron (MAC),12,4-8,222,367,2293,13,6.25,10.33,191.1
Louisiana Tech (C-USA),13,8-5,220,389,2491,16,6.40,11.32,191.6
BYU (FBS Independent),13,7-6,260,430,2522,13,5.87,9.70,194.0
FIU (C-USA),13,9-4,225,373,2523,19,6.76,11.21,194.1
Buffalo (MAC),14,10-4,217,404,2719,24,6.73,12.53,194.2
Wyoming (Mountain West),12,6-6,241,394,2360,15,5.99,9.79,196.7
Alabama (SEC),15,14-1,244,465,2974,22,6.40,12.19,198.3
UTEP (C-USA),12,1-11,203,322,2387,21,7.41,11.76,198.9
South Fla. (AAC),13,7-6,202,365,2588,15,7.09,12.81,199.1
Duke (ACC),13,8-5,229,418,2593,17,6.20,11.32,199.5
TCU (Big 12),13,7-6,226,407,2595,17,6.38,11.48,199.6
LSU (SEC),13,10-3,223,449,2601,18,5.79,11.66,200.1
Texas St. (Sun Belt),12,3-9,224,388,2419,15,6.23,10.80,201.6
Louisville (ACC),12,2-10,187,290,2475,25,8.53,13.24,206.3
