Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Army West Point (FBS Independent),13,11-2,196,112,0.571
Boise St. (Mountain West),13,10-3,202,106,0.525
Alabama (SEC),15,14-1,165,86,0.521
Oklahoma (Big 12),14,12-2,140,71,0.507
UCF (AAC),13,12-1,175,88,0.503
Virginia (ACC),13,8-5,171,84,0.491
Cincinnati (AAC),13,11-2,197,96,0.487
Ohio (MAC),13,9-4,156,76,0.487
Michigan (Big Ten),13,10-3,185,90,0.486
Georgia (SEC),14,11-3,162,77,0.475
NC State (ACC),13,9-4,184,87,0.473
Texas Tech (Big 12),12,5-7,182,86,0.473
Utah St. (Mountain West),13,11-2,182,86,0.473
Memphis (AAC),14,8-6,191,90,0.471
Louisiana (Sun Belt),14,7-7,181,85,0.470
FIU (C-USA),13,9-4,173,81,0.468
Ohio St. (Big Ten),14,13-1,204,95,0.466
Missouri (SEC),13,8-5,207,96,0.464
Texas (Big 12),14,10-4,207,96,0.464
Clemson (ACC),15,15-0,202,93,0.460
Houston (AAC),13,8-5,194,89,0.459
Washington (Pac-12),14,10-4,194,88,0.454
Oklahoma St. (Big 12),13,7-6,194,87,0.448
UAB (C-USA),14,11-3,190,85,0.447
Fresno St. (Mountain West),14,12-2,184,82,0.446
Georgia Tech (ACC),13,7-6,164,72,0.439
Arizona (Pac-12),12,5-7,181,79,0.436
West Virginia (Big 12),12,8-4,156,68,0.436
Baylor (Big 12),13,7-6,184,80,0.435
Iowa (Big Ten),13,9-4,191,83,0.435
Washington St. (Pac-12),13,11-2,173,75,0.434
Notre Dame (FBS Independent),13,12-1,193,83,0.430
Tulsa (AAC),12,3-9,200,86,0.430
Oregon (Pac-12),13,9-4,196,84,0.429
Colorado St. (Mountain West),12,3-9,189,81,0.429
Ball St. (MAC),12,4-8,190,81,0.426
Duke (ACC),13,8-5,205,87,0.424
Buffalo (MAC),14,10-4,198,84,0.424
Indiana (Big Ten),12,5-7,184,78,0.424
UConn (AAC),12,1-11,177,75,0.424
South Carolina (SEC),13,7-6,168,71,0.423
Coastal Carolina (Sun Belt),12,5-7,147,62,0.422
Charlotte (C-USA),12,5-7,178,75,0.421
App State (Sun Belt),13,11-2,169,71,0.420
Wake Forest (ACC),13,7-6,229,96,0.419
Arizona St. (Pac-12),13,7-6,180,75,0.417
Florida (SEC),13,10-3,173,72,0.416
Mississippi St. (SEC),13,8-5,171,71,0.415
Air Force (Mountain West),12,5-7,169,70,0.414
Wisconsin (Big Ten),13,8-5,155,64,0.413
Texas A&M (SEC),13,9-4,170,70,0.412
ULM (Sun Belt),12,6-6,154,63,0.409
Miami (FL) (ACC),13,7-6,177,72,0.407
Georgia St. (Sun Belt),12,2-10,161,65,0.404
Louisiana Tech (C-USA),13,8-5,186,75,0.403
Marshall (C-USA),13,9-4,189,76,0.402
Maryland (Big Ten),12,5-7,160,64,0.400
Arkansas St. (Sun Belt),13,8-5,200,80,0.400
LSU (SEC),13,10-3,205,82,0.400
Syracuse (ACC),13,10-3,211,84,0.398
Minnesota (Big Ten),13,7-6,166,66,0.398
Kentucky (SEC),13,10-3,161,64,0.398
Iowa St. (Big 12),13,8-5,169,67,0.396
Stanford (Pac-12),13,9-4,170,67,0.394
Kansas (Big 12),12,3-9,179,70,0.391
Bowling Green (MAC),12,3-9,177,69,0.390
Western Ky. (C-USA),12,3-9,185,72,0.389
Temple (AAC),13,8-5,185,72,0.389
Ga. Southern (Sun Belt),13,10-3,157,61,0.389
Northwestern (Big Ten),14,9-5,222,86,0.387
Purdue (Big Ten),13,6-7,181,70,0.387
Kansas St. (Big 12),12,5-7,169,65,0.385
Tennessee (SEC),12,5-7,157,60,0.382
Troy (Sun Belt),13,10-3,181,69,0.381
Navy (AAC),13,3-10,184,70,0.380
Middle Tenn. (C-USA),14,8-6,201,76,0.378
UCLA (Pac-12),12,3-9,175,66,0.377
Utah (Pac-12),14,9-5,199,75,0.377
South Fla. (AAC),13,7-6,195,73,0.374
Miami (OH) (MAC),12,6-6,179,67,0.374
UNLV (Mountain West),12,4-8,190,71,0.374
Virginia Tech (ACC),13,6-7,193,72,0.373
North Texas (C-USA),13,9-4,177,66,0.373
New Mexico (Mountain West),12,3-9,161,60,0.373
Nebraska (Big Ten),12,4-8,156,58,0.372
Penn St. (Big Ten),13,9-4,175,65,0.371
Southern California (Pac-12),12,5-7,167,62,0.371
Toledo (MAC),13,7-6,176,65,0.369
BYU (FBS Independent),13,7-6,168,62,0.369
Auburn (SEC),13,8-5,179,66,0.369
Vanderbilt (SEC),13,6-7,163,60,0.368
TCU (Big 12),13,7-6,193,71,0.368
Wyoming (Mountain West),12,6-6,174,64,0.368
Old Dominion (C-USA),12,4-8,174,64,0.368
Massachusetts (FBS Independent),12,4-8,158,58,0.367
Pittsburgh (ACC),14,7-7,183,67,0.366
Western Mich. (MAC),13,7-6,189,69,0.365
Oregon St. (Pac-12),12,2-10,195,71,0.364
New Mexico St. (FBS Independent),12,3-9,196,71,0.362
East Carolina (AAC),12,3-9,221,80,0.362
Colorado (Pac-12),12,5-7,183,66,0.361
NIU (MAC),14,8-6,211,76,0.360
Southern Miss. (C-USA),11,6-5,153,55,0.359
Louisville (ACC),12,2-10,166,59,0.355
Tulane (AAC),13,7-6,189,67,0.354
California (Pac-12),13,7-6,192,68,0.354
UTEP (C-USA),12,1-11,164,58,0.354
Ole Miss (SEC),12,5-7,156,55,0.353
South Alabama (Sun Belt),12,3-9,177,62,0.350
San Diego St. (Mountain West),13,7-6,180,63,0.350
Illinois (Big Ten),12,4-8,168,58,0.345
North Carolina (ACC),11,2-9,168,58,0.345
Kent St. (MAC),12,2-10,199,68,0.342
Boston College (ACC),12,7-5,186,63,0.339
Michigan St. (Big Ten),13,7-6,206,69,0.335
Eastern Mich. (MAC),13,7-6,181,60,0.331
Hawaii (Mountain West),14,8-6,178,59,0.331
Fla. Atlantic (C-USA),12,5-7,169,56,0.331
SMU (AAC),12,5-7,185,61,0.330
San Jose St. (Mountain West),12,1-11,186,61,0.328
UTSA (C-USA),12,3-9,172,56,0.326
Nevada (Mountain West),13,8-5,185,60,0.324
Rutgers (Big Ten),12,1-11,173,56,0.324
Texas St. (Sun Belt),12,3-9,166,53,0.319
Arkansas (SEC),12,2-10,168,52,0.310
Florida St. (ACC),12,5-7,189,55,0.291
Central Mich. (MAC),12,1-11,189,55,0.291
Akron (MAC),12,4-8,169,49,0.290
Rice (C-USA),13,2-11,195,56,0.287
Liberty (FBS Independent),12,6-6,191,80,0.419
