Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Miami (OH) (MAC),12,6-6,43,20,14,8,42,0.977
Akron (MAC),12,4-8,21,3,9,8,20,0.952
Navy (AAC),13,3-10,38,27,2,7,36,0.947
Maryland (Big Ten),12,5-7,31,11,8,10,29,0.935
Ga. Southern (Sun Belt),13,10-3,42,26,4,9,39,0.929
Purdue (Big Ten),13,6-7,49,13,16,16,45,0.918
Air Force (Mountain West),12,5-7,46,28,6,8,42,0.913
Oklahoma (Big 12),14,12-2,68,25,20,17,62,0.912
Iowa St. (Big 12),13,8-5,45,19,9,13,41,0.911
Tulane (AAC),13,7-6,33,19,3,8,30,0.909
Virginia Tech (ACC),13,6-7,42,15,14,9,38,0.905
Georgia (SEC),14,11-3,60,20,20,14,54,0.900
Kent St. (MAC),12,2-10,40,17,7,12,36,0.900
UCF (AAC),13,12-1,59,31,16,6,53,0.898
Utah (Pac-12),14,9-5,49,18,10,16,44,0.898
Penn St. (Big Ten),13,9-4,58,28,14,10,52,0.897
Louisiana (Sun Belt),14,7-7,48,20,15,8,43,0.896
Oklahoma St. (Big 12),13,7-6,67,28,17,15,60,0.896
Coastal Carolina (Sun Belt),12,5-7,38,15,8,11,34,0.895
Fresno St. (Mountain West),14,12-2,57,26,15,10,51,0.895
Syracuse (ACC),13,10-3,75,34,11,22,67,0.893
Stanford (Pac-12),13,9-4,46,12,17,12,41,0.891
Ohio (MAC),13,9-4,72,37,15,12,64,0.889
Memphis (AAC),14,8-6,63,27,19,10,56,0.889
Ole Miss (SEC),12,5-7,54,20,7,21,48,0.889
Nebraska (Big Ten),12,4-8,44,19,8,12,39,0.886
LSU (SEC),13,10-3,60,25,6,22,53,0.883
Tennessee (SEC),12,5-7,34,13,9,8,30,0.882
Mississippi St. (SEC),13,8-5,42,19,10,8,37,0.881
Clemson (ACC),15,15-0,75,34,23,9,66,0.880
Texas Tech (Big 12),12,5-7,58,22,18,11,51,0.879
Army West Point (FBS Independent),13,11-2,58,40,2,9,51,0.879
UNLV (Mountain West),12,4-8,41,16,15,5,36,0.878
Arizona St. (Pac-12),13,7-6,49,20,9,14,43,0.878
Houston (AAC),13,8-5,57,20,25,5,50,0.877
Michigan (Big Ten),13,10-3,57,21,13,16,50,0.877
Washington St. (Pac-12),13,11-2,64,22,28,6,56,0.875
NC State (ACC),13,9-4,71,25,18,19,62,0.873
Missouri (SEC),13,8-5,62,24,14,16,54,0.871
Utah St. (Mountain West),13,11-2,61,25,14,14,53,0.869
Wisconsin (Big Ten),13,8-5,53,21,16,9,46,0.868
North Texas (C-USA),13,9-4,60,21,17,14,52,0.867
South Fla. (AAC),13,7-6,45,19,5,15,39,0.867
Middle Tenn. (C-USA),14,8-6,52,12,16,17,45,0.865
Notre Dame (FBS Independent),13,12-1,52,17,15,13,45,0.865
East Carolina (AAC),12,3-9,37,10,10,12,32,0.865
Georgia St. (Sun Belt),12,2-10,37,14,11,7,32,0.865
Illinois (Big Ten),12,4-8,36,15,6,10,31,0.861
Southern Miss. (C-USA),11,6-5,35,10,10,10,30,0.857
Iowa (Big Ten),13,9-4,55,18,20,9,47,0.855
Massachusetts (FBS Independent),12,4-8,48,21,10,10,41,0.854
Miami (FL) (ACC),13,7-6,48,18,14,9,41,0.854
Louisiana Tech (C-USA),13,8-5,48,18,11,12,41,0.854
Wake Forest (ACC),13,7-6,61,18,19,15,52,0.852
App State (Sun Belt),13,11-2,54,21,17,8,46,0.852
Nevada (Mountain West),13,8-5,47,18,8,14,40,0.851
Northwestern (Big Ten),14,9-5,47,23,7,10,40,0.851
Duke (ACC),13,8-5,47,15,16,9,40,0.851
Texas A&M (SEC),13,9-4,67,22,18,17,57,0.851
BYU (FBS Independent),13,7-6,52,24,12,8,44,0.846
South Alabama (Sun Belt),12,3-9,39,16,11,6,33,0.846
Arizona (Pac-12),12,5-7,45,10,13,15,38,0.844
Rice (C-USA),13,2-11,32,9,9,9,27,0.844
Oregon (Pac-12),13,9-4,51,23,15,5,43,0.843
Colorado (Pac-12),12,5-7,38,15,9,8,32,0.842
Hawaii (Mountain West),14,8-6,57,10,26,12,48,0.842
Florida (SEC),13,10-3,56,15,18,14,47,0.839
Arkansas (SEC),12,2-10,37,8,8,15,31,0.838
Boise St. (Mountain West),13,10-3,49,19,12,10,41,0.837
Ball St. (MAC),12,4-8,42,15,13,7,35,0.833
Fla. Atlantic (C-USA),12,5-7,48,26,5,9,40,0.833
SMU (AAC),12,5-7,47,11,19,9,39,0.830
Michigan St. (Big Ten),13,7-6,41,10,10,14,34,0.829
Troy (Sun Belt),13,10-3,46,16,12,10,38,0.826
New Mexico (Mountain West),12,3-9,40,17,11,5,33,0.825
UAB (C-USA),14,11-3,57,27,6,14,47,0.825
Alabama (SEC),15,14-1,79,31,23,11,65,0.823
North Carolina (ACC),11,2-9,45,15,9,13,37,0.822
Pittsburgh (ACC),14,7-7,39,20,5,7,32,0.821
NIU (MAC),14,8-6,39,13,9,10,32,0.821
Colorado St. (Mountain West),12,3-9,39,8,18,6,32,0.821
Texas (Big 12),14,10-4,50,23,10,8,41,0.820
Indiana (Big Ten),12,5-7,44,13,12,11,36,0.818
Western Mich. (MAC),13,7-6,55,27,9,9,45,0.818
FIU (C-USA),13,9-4,49,18,14,8,40,0.816
Kentucky (SEC),13,10-3,38,17,5,9,31,0.816
Wyoming (Mountain West),12,6-6,27,7,5,10,22,0.815
Minnesota (Big Ten),13,7-6,59,22,15,11,48,0.814
Auburn (SEC),13,8-5,53,22,10,11,43,0.811
West Virginia (Big 12),12,8-4,53,17,18,8,43,0.811
UCLA (Pac-12),12,3-9,37,15,7,8,30,0.811
Charlotte (C-USA),12,5-7,42,15,9,10,34,0.810
UTSA (C-USA),12,3-9,26,7,8,6,21,0.808
Louisville (ACC),12,2-10,36,16,6,7,29,0.806
San Diego St. (Mountain West),13,7-6,36,12,6,11,29,0.806
Boston College (ACC),12,7-5,41,18,10,5,33,0.805
Temple (AAC),13,8-5,56,24,11,10,45,0.804
Cincinnati (AAC),13,11-2,50,27,10,3,40,0.800
Bowling Green (MAC),12,3-9,35,5,18,5,28,0.800
Southern California (Pac-12),12,5-7,35,12,7,9,28,0.800
Georgia Tech (ACC),13,7-6,58,39,1,6,46,0.793
Old Dominion (C-USA),12,4-8,58,23,14,9,46,0.793
Washington (Pac-12),14,10-4,62,21,14,14,49,0.790
Tulsa (AAC),12,3-9,52,23,7,11,41,0.788
Oregon St. (Pac-12),12,2-10,47,17,11,9,37,0.787
Toledo (MAC),13,7-6,61,23,16,9,48,0.787
Eastern Mich. (MAC),13,7-6,51,19,11,10,40,0.784
San Jose St. (Mountain West),12,1-11,37,7,12,10,29,0.784
Florida St. (ACC),12,5-7,32,10,9,6,25,0.781
UTEP (C-USA),12,1-11,32,15,4,6,25,0.781
Arkansas St. (Sun Belt),13,8-5,50,16,14,9,39,0.780
Marshall (C-USA),13,9-4,59,19,12,15,46,0.780
New Mexico St. (FBS Independent),12,3-9,40,13,8,10,31,0.775
Kansas St. (Big 12),12,5-7,40,13,6,12,31,0.775
Ohio St. (Big Ten),14,13-1,70,20,24,11,54,0.771
Central Mich. (MAC),12,1-11,26,8,6,6,20,0.769
South Carolina (SEC),13,7-6,56,15,17,11,43,0.768
TCU (Big 12),13,7-6,34,9,7,10,26,0.765
Western Ky. (C-USA),12,3-9,42,14,11,7,32,0.762
Vanderbilt (SEC),13,6-7,50,15,14,9,38,0.760
Buffalo (MAC),14,10-4,66,29,14,7,50,0.758
Texas St. (Sun Belt),12,3-9,33,12,8,5,25,0.758
Kansas (Big 12),12,3-9,28,4,11,6,21,0.750
Baylor (Big 12),13,7-6,55,20,12,9,41,0.745
UConn (AAC),12,1-11,35,11,15,0,26,0.743
Virginia (ACC),13,8-5,54,14,14,12,40,0.741
Rutgers (Big Ten),12,1-11,27,9,4,7,20,0.741
ULM (Sun Belt),12,6-6,49,20,7,9,36,0.735
California (Pac-12),13,7-6,39,9,10,9,28,0.718
Liberty (FBS Independent),12,6-6,50,26,11,6,43,0.860
