Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Georgia Tech (ACC),13,7-6,745,4225,5.67,46,325.0
Army West Point (FBS Independent),13,11-2,824,4062,4.93,47,312.5
Air Force (Mountain West),12,5-7,714,3402,4.76,33,283.5
Memphis (AAC),14,8-6,615,3919,6.37,48,279.9
Navy (AAC),13,3-10,732,3589,4.90,37,276.1
Wisconsin (Big Ten),13,8-5,571,3554,6.22,32,273.4
Ga. Southern (Sun Belt),13,10-3,643,3461,5.38,35,266.2
UCF (AAC),13,12-1,594,3448,5.80,43,265.2
Ohio (MAC),13,9-4,556,3361,6.04,40,258.5
Clemson (ACC),15,15-0,568,3723,6.55,49,248.2
Oklahoma (Big 12),14,12-2,527,3464,6.57,42,247.4
Illinois (Big Ten),12,4-8,493,2916,5.91,25,243.0
Fla. Atlantic (C-USA),12,5-7,566,2902,5.13,35,241.8
App State (Sun Belt),13,11-2,540,3125,5.79,31,240.4
Cincinnati (AAC),13,11-2,600,3113,5.19,38,239.5
Georgia (SEC),14,11-3,567,3343,5.90,30,238.8
Maryland (Big Ten),12,5-7,487,2762,5.67,26,230.2
Pittsburgh (ACC),14,7-7,571,3191,5.59,30,227.9
UNLV (Mountain West),12,4-8,544,2692,4.95,23,224.3
Mississippi St. (SEC),13,8-5,514,2907,5.66,26,223.6
Texas A&M (SEC),13,9-4,538,2847,5.29,28,219.0
Louisiana (Sun Belt),14,7-7,553,3062,5.54,31,218.7
Tulane (AAC),13,7-6,604,2836,4.70,29,218.2
Houston (AAC),13,8-5,536,2822,5.26,29,217.1
Toledo (MAC),13,7-6,532,2807,5.28,30,215.9
Wake Forest (ACC),13,7-6,625,2778,4.44,21,213.7
Florida (SEC),13,10-3,526,2771,5.27,23,213.2
Nebraska (Big Ten),12,4-8,464,2508,5.41,25,209.0
Penn St. (Big Ten),13,9-4,521,2664,5.11,34,204.9
Michigan (Big Ten),13,10-3,549,2649,4.83,26,203.8
Utah St. (Mountain West),13,11-2,480,2641,5.50,37,203.2
Arizona (Pac-12),12,5-7,492,2429,4.94,14,202.4
Missouri (SEC),13,8-5,553,2631,4.76,27,202.4
UAB (C-USA),14,11-3,623,2818,4.52,32,201.3
