Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington St. (Pac-12),13,11-2,677,478,10,4859,7.18,10.17,39,373.8
Ohio St. (Big Ten),14,13-1,561,396,8,5100,9.09,12.88,51,364.3
Texas Tech (Big 12),12,5-7,535,361,15,4231,7.91,11.72,28,352.6
West Virginia (Big 12),12,8-4,445,291,10,4216,9.47,14.49,38,351.3
Ole Miss (SEC),12,5-7,441,282,9,4157,9.43,14.74,21,346.4
Alabama (SEC),15,14-1,438,301,8,4854,11.08,16.13,52,323.6
Oklahoma (Big 12),14,12-2,401,274,7,4520,11.27,16.50,43,322.9
NC State (ACC),13,9-4,496,334,11,4071,8.21,12.19,25,313.2
Hawaii (Mountain West),14,8-6,545,320,12,4344,7.97,13.58,43,310.3
Oklahoma St. (Big 12),13,7-6,493,293,13,4028,8.17,13.75,33,309.8
Purdue (Big Ten),13,6-7,509,333,13,3998,7.85,12.01,28,307.5
North Texas (C-USA),13,9-4,504,321,9,3988,7.91,12.42,28,306.8
Colorado St. (Mountain West),12,3-9,501,303,16,3659,7.30,12.08,26,304.9
Massachusetts (FBS Independent),12,4-8,411,263,10,3577,8.70,13.60,27,298.1
Old Dominion (C-USA),12,4-8,480,293,12,3564,7.43,12.16,21,297.0
Houston (AAC),13,8-5,474,284,9,3841,8.10,13.52,45,295.5
Utah St. (Mountain West),13,11-2,465,303,6,3825,8.23,12.62,32,294.2
Boise St. (Mountain West),13,10-3,460,310,8,3796,8.25,12.25,31,292.0
Baylor (Big 12),13,7-6,486,296,13,3770,7.76,12.74,22,290.0
East Carolina (AAC),12,3-9,568,285,15,3417,6.02,11.99,18,284.8
Arkansas St. (Sun Belt),13,8-5,472,303,10,3659,7.75,12.08,28,281.5
Missouri (SEC),13,8-5,451,281,8,3632,8.05,12.93,28,279.4
Clemson (ACC),15,15-0,508,328,8,4185,8.24,12.76,37,279.0
Nevada (Mountain West),13,8-5,493,295,17,3624,7.35,12.28,25,278.8
Stanford (Pac-12),13,9-4,424,271,11,3550,8.37,13.10,29,273.1
South Carolina (SEC),13,7-6,443,272,14,3547,8.01,13.04,32,272.8
SMU (AAC),12,5-7,468,268,8,3260,6.97,12.16,28,271.7
Florida St. (ACC),12,5-7,455,260,13,3241,7.12,12.47,20,270.1
Fresno St. (Mountain West),14,12-2,440,301,6,3740,8.50,12.43,26,267.1
New Mexico St. (FBS Independent),12,3-9,537,297,16,3182,5.93,10.71,16,265.2
