Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Southern Miss. (CUSA),11,6-5,59,89,13,161
Charlotte (CUSA),12,5-7,64,116,17,197
Cincinnati (AAC),13,11-2,64,102,34,200
Army West Point (FBS Independent),13,11-2,78,107,19,204
Miami (FL) (ACC),13,7-6,107,80,18,205
Michigan (Big Ten),13,10-3,89,82,35,206
App State (Sun Belt),13,11-2,91,98,19,208
Air Force (Mountain West),12,5-7,76,121,12,209
Mississippi St. (SEC),13,8-5,90,98,24,212
Virginia (ACC),13,8-5,92,109,12,213
Michigan St. (Big Ten),13,7-6,55,139,19,213
Iowa (Big Ten),13,9-4,101,98,15,214
San Diego St. (Mountain West),13,7-6,77,120,19,216
Texas A&M (SEC),13,9-4,76,124,21,221
Texas St. (Sun Belt),12,3-9,100,106,15,221
Wyoming (Mountain West),12,6-6,96,111,16,223
Kentucky (SEC),13,10-3,104,101,21,226
California (Pac-12),13,7-6,106,103,18,227
Wisconsin (Big Ten),13,8-5,98,108,24,230
Florida (SEC),13,10-3,105,99,27,231
Boise St. (Mountain West),13,10-3,91,123,18,232
Arkansas St. (Sun Belt),13,8-5,119,88,25,232
Clemson (ACC),15,15-0,97,116,22,235
BYU (FBS Independent),13,7-6,98,120,19,237
Washington (Pac-12),14,10-4,88,135,14,237
Minnesota (Big Ten),13,7-6,101,120,16,237
Utah (Pac-12),14,9-5,82,128,28,238
Troy (Sun Belt),13,10-3,100,121,19,240
Georgia (SEC),14,11-3,99,121,20,240
NC State (ACC),13,9-4,89,134,18,241
UAB (CUSA),14,11-3,92,107,43,242
Marshall (CUSA),13,9-4,79,130,33,242
UTEP (CUSA),12,1-11,120,102,20,242
TCU (Big 12),13,7-6,110,116,16,242
Ga. Southern (Sun Belt),13,10-3,103,123,17,243
East Carolina (AAC),12,3-9,96,130,17,243
Tennessee (SEC),12,5-7,103,124,16,243
Missouri (SEC),13,8-5,84,137,23,244
Colorado (Pac-12),12,5-7,99,117,28,244
North Texas (CUSA),13,9-4,87,136,22,245
Eastern Mich. (MAC),13,7-6,135,81,29,245
Central Mich. (MAC),12,1-11,123,93,29,245
Iowa St. (Big 12),13,8-5,97,138,11,246
Southern California (Pac-12),12,5-7,94,128,24,246
Auburn (SEC),13,8-5,95,122,30,247
