Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Oklahoma (Big 12),14,12-2,89,88,0,1,17,1,677,48.4
Utah St. (Mountain West),13,11-2,79,78,0,0,22,0,618,47.5
Alabama (SEC),15,14-1,92,83,0,0,15,2,684,45.6
Clemson (ACC),15,15-0,90,88,0,0,12,0,664,44.3
Houston (AAC),13,8-5,78,75,2,0,8,0,571,43.9
UCF (AAC),13,12-1,75,74,1,0,12,0,562,43.2
Memphis (AAC),14,8-6,80,76,0,0,15,0,601,42.9
Ohio St. (Big Ten),14,13-1,79,76,0,0,13,2,593,42.4
Toledo (MAC),13,7-6,69,64,1,0,15,0,525,40.4
West Virginia (Big 12),12,8-4,62,59,1,0,16,1,483,40.3
Syracuse (ACC),13,10-3,62,61,0,0,30,0,523,40.2
Ohio (MAC),13,9-4,69,68,0,0,13,0,521,40.1
Oklahoma St. (Big 12),13,7-6,65,61,0,0,16,0,499,38.4
Georgia (SEC),14,11-3,68,65,0,0,19,0,530,37.9
Washington St. (Pac-12),13,11-2,66,60,0,1,10,0,488,37.5
Texas Tech (Big 12),12,5-7,57,55,0,0,17,0,448,37.3
App State (Sun Belt),13,11-2,64,63,0,0,12,1,485,37.3
Missouri (SEC),13,8-5,58,51,1,0,25,0,476,36.6
Texas A&M (SEC),13,9-4,57,51,3,0,23,0,468,36.0
Boise St. (Mountain West),13,10-3,61,58,0,0,12,0,460,35.4
Michigan (Big Ten),13,10-3,56,50,2,0,21,2,457,35.2
Florida (SEC),13,10-3,57,55,0,1,18,1,455,35.0
Cincinnati (AAC),13,11-2,63,59,0,0,5,1,454,34.9
Temple (AAC),13,8-5,60,56,1,0,12,0,454,34.9
Oregon (Pac-12),13,9-4,62,57,2,0,6,1,453,34.8
Fresno St. (Mountain West),14,12-2,64,57,1,0,14,0,485,34.6
FIU (C-USA),13,9-4,58,54,3,0,14,0,450,34.6
North Texas (C-USA),13,9-4,57,51,0,0,19,0,450,34.6
Buffalo (MAC),14,10-4,66,54,2,0,10,0,484,34.6
Ole Miss (SEC),12,5-7,49,47,0,0,22,0,407,33.9
NC State (ACC),13,9-4,53,51,1,0,23,0,440,33.8
Penn St. (Big Ten),13,9-4,56,53,0,0,16,1,439,33.8
Georgia Tech (ACC),13,7-6,58,53,2,0,10,1,437,33.6
Wake Forest (ACC),13,7-6,53,52,0,0,19,0,427,32.8
Massachusetts (FBS Independent),12,4-8,52,49,0,0,11,0,394,32.8
Army West Point (FBS Independent),13,11-2,57,57,0,0,9,0,426,32.8
LSU (SEC),13,10-3,48,42,2,0,29,0,421,32.4
Boston College (ACC),12,7-5,53,46,1,0,6,0,384,32.0
Western Mich. (MAC),13,7-6,55,47,3,0,11,0,416,32.0
Louisiana (Sun Belt),14,7-7,58,54,0,0,15,0,447,31.9
Notre Dame (FBS Independent),13,12-1,51,46,0,1,18,0,408,31.4
Arizona (Pac-12),12,5-7,46,39,0,0,19,2,376,31.3
