Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Fresno St. (Mountain West),14,12-2,26,7,5,5,17,0.654
Utah (Pac-12),14,9-5,40,11,9,7,27,0.675
Nevada (Mountain West),13,8-5,48,10,17,6,33,0.688
Clemson (ACC),15,15-0,36,8,7,11,26,0.722
Eastern Mich. (MAC),13,7-6,48,15,7,13,35,0.729
Alabama (SEC),15,14-1,41,9,15,6,30,0.732
Kent St. (MAC),12,2-10,60,30,9,5,44,0.733
Mississippi St. (SEC),13,8-5,34,5,5,15,25,0.735
Oklahoma St. (Big 12),13,7-6,53,18,11,10,39,0.736
Southern Miss. (C-USA),11,6-5,31,7,8,8,23,0.742
UCF (AAC),13,12-1,44,12,7,14,33,0.750
Kentucky (SEC),13,10-3,40,9,10,11,30,0.750
Notre Dame (FBS Independent),13,12-1,36,12,7,8,27,0.750
Penn St. (Big Ten),13,9-4,36,14,7,6,27,0.750
Texas A&M (SEC),13,9-4,37,12,13,3,28,0.757
Iowa St. (Big 12),13,8-5,46,9,17,9,35,0.761
Syracuse (ACC),13,10-3,51,15,11,13,39,0.765
Texas (Big 12),14,10-4,51,13,16,10,39,0.765
NC State (ACC),13,9-4,47,15,8,13,36,0.766
Army West Point (FBS Independent),13,11-2,30,11,9,3,23,0.767
Arizona (Pac-12),12,5-7,48,17,13,7,37,0.771
Troy (Sun Belt),13,10-3,44,15,13,6,34,0.773
FIU (C-USA),13,9-4,53,18,13,10,41,0.774
Tulane (AAC),13,7-6,45,13,13,10,35,0.778
North Texas (C-USA),13,9-4,45,15,8,12,35,0.778
Texas Tech (Big 12),12,5-7,46,11,15,10,36,0.783
Arkansas St. (Sun Belt),13,8-5,37,12,11,6,29,0.784
Central Mich. (MAC),12,1-11,47,20,8,9,37,0.787
Middle Tenn. (C-USA),14,8-6,47,11,18,8,37,0.787
Cincinnati (AAC),13,11-2,33,8,10,8,26,0.788
Virginia Tech (ACC),13,6-7,52,24,7,10,41,0.788
TCU (Big 12),13,7-6,38,14,7,9,30,0.789
Kansas (Big 12),12,3-9,48,16,14,8,38,0.792
Iowa (Big Ten),13,9-4,29,5,13,5,23,0.793
Stanford (Pac-12),13,9-4,49,14,10,15,39,0.796
App State (Sun Belt),13,11-2,30,9,4,11,24,0.800
Boston College (ACC),12,7-5,45,18,10,8,36,0.800
Michigan St. (Big Ten),13,7-6,30,7,5,12,24,0.800
Northwestern (Big Ten),14,9-5,45,10,11,15,36,0.800
Purdue (Big Ten),13,6-7,56,22,9,14,45,0.804
Charlotte (C-USA),12,5-7,41,14,10,9,33,0.805
Pittsburgh (ACC),14,7-7,52,18,13,11,42,0.808
Navy (AAC),13,3-10,52,26,11,5,42,0.808
Akron (MAC),12,4-8,53,22,8,13,43,0.811
Tulsa (AAC),12,3-9,53,19,8,16,43,0.811
Miami (OH) (MAC),12,6-6,43,17,16,2,35,0.814
Rutgers (Big Ten),12,1-11,43,13,15,7,35,0.814
Vanderbilt (SEC),13,6-7,54,14,14,16,44,0.815
Boise St. (Mountain West),13,10-3,38,11,10,10,31,0.816
Buffalo (MAC),14,10-4,38,17,8,6,31,0.816
Western Ky. (C-USA),12,3-9,49,13,10,17,40,0.816
Temple (AAC),13,8-5,49,17,17,6,40,0.816
Nebraska (Big Ten),12,4-8,55,23,10,12,45,0.818
Southern California (Pac-12),12,5-7,33,14,7,6,27,0.818
Washington (Pac-12),14,10-4,39,13,10,9,32,0.821
Ohio (MAC),13,9-4,39,14,12,6,32,0.821
Miami (FL) (ACC),13,7-6,39,12,7,13,32,0.821
South Carolina (SEC),13,7-6,62,27,10,14,51,0.823
San Jose St. (Mountain West),12,1-11,57,17,18,12,47,0.825
Arkansas (SEC),12,2-10,57,24,11,12,47,0.825
Ole Miss (SEC),12,5-7,63,20,16,16,52,0.825
