Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Army West Point (FBS Independent),13,11-2,501:12,38:33
Charlotte (C-USA),12,5-7,419:49,34:59
Texas A&M (SEC),13,9-4,449:28,34:34
Air Force (Mountain West),12,5-7,412:24,34:22
Michigan (Big Ten),13,10-3,445:56,34:18
Western Mich. (MAC),13,7-6,436:55,33:36
Georgia Tech (ACC),13,7-6,435:00,33:27
Navy (AAC),13,3-10,433:48,33:22
Ohio (MAC),13,9-4,433:06,33:18
Boise St. (Mountain West),13,10-3,431:55,33:13
Cincinnati (AAC),13,11-2,431:16,33:10
NC State (ACC),13,9-4,430:30,33:06
Southern Miss. (C-USA),11,6-5,361:16,32:50
Michigan St. (Big Ten),13,7-6,426:31,32:48
Coastal Carolina (Sun Belt),12,5-7,393:30,32:47
UAB (C-USA),14,11-3,458:39,32:45
Rice (C-USA),13,2-11,424:52,32:40
Baylor (Big 12),13,7-6,424:49,32:40
Pittsburgh (ACC),14,7-7,456:01,32:34
Virginia (ACC),13,8-5,423:17,32:33
Iowa (Big Ten),13,9-4,423:02,32:32
Texas (Big 12),14,10-4,454:44,32:28
Washington (Pac-12),14,10-4,452:50,32:20
Tulane (AAC),13,7-6,419:20,32:15
Washington St. (Pac-12),13,11-2,419:01,32:13
Minnesota (Big Ten),13,7-6,418:00,32:09
Ga. Southern (Sun Belt),13,10-3,417:54,32:08
Wisconsin (Big Ten),13,8-5,416:57,32:04
Ohio St. (Big Ten),14,13-1,447:13,31:56
Kansas St. (Big 12),12,5-7,382:04,31:50
LSU (SEC),13,10-3,413:48,31:49
UConn (AAC),12,1-11,380:35,31:42
Buffalo (MAC),14,10-4,441:41,31:32
North Texas (C-USA),13,9-4,409:25,31:29
Georgia (SEC),14,11-3,440:52,31:29
Colorado St. (Mountain West),12,3-9,373:11,31:05
Vanderbilt (SEC),13,6-7,403:54,31:04
Mississippi St. (SEC),13,8-5,403:13,31:01
TCU (Big 12),13,7-6,402:43,30:58
Missouri (SEC),13,8-5,401:33,30:53
Fresno St. (Mountain West),14,12-2,431:03,30:47
FIU (C-USA),13,9-4,399:29,30:43
Kentucky (SEC),13,10-3,398:37,30:39
Georgia St. (Sun Belt),12,2-10,367:03,30:35
App State (Sun Belt),13,11-2,397:29,30:34
Syracuse (ACC),13,10-3,396:14,30:28
Middle Tenn. (C-USA),14,8-6,426:15,30:26
BYU (FBS Independent),13,7-6,395:34,30:25
UNLV (Mountain West),12,4-8,364:39,30:23
Miami (OH) (MAC),12,6-6,364:31,30:22
East Carolina (AAC),12,3-9,364:19,30:21
Alabama (SEC),15,14-1,454:55,30:19
California (Pac-12),13,7-6,394:07,30:19
San Diego St. (Mountain West),13,7-6,393:58,30:18
Louisiana Tech (C-USA),13,8-5,393:20,30:15
Virginia Tech (ACC),13,6-7,392:55,30:13
Texas Tech (Big 12),12,5-7,362:40,30:13
Oregon St. (Pac-12),12,2-10,362:06,30:10
Arkansas St. (Sun Belt),13,8-5,391:34,30:07
Stanford (Pac-12),13,9-4,391:04,30:04
Troy (Sun Belt),13,10-3,390:34,30:02
South Alabama (Sun Belt),12,3-9,360:17,30:01
Northwestern (Big Ten),14,9-5,419:51,29:59
Wyoming (Mountain West),12,6-6,359:19,29:56
Florida (SEC),13,10-3,389:08,29:56
Eastern Mich. (MAC),13,7-6,388:32,29:53
Arkansas (SEC),12,2-10,358:18,29:51
Utah (Pac-12),14,9-5,417:39,29:49
UTEP (C-USA),12,1-11,357:33,29:47
Kansas (Big 12),12,3-9,357:28,29:47
Marshall (C-USA),13,9-4,386:44,29:44
Purdue (Big Ten),13,6-7,385:25,29:38
Louisville (ACC),12,2-10,355:32,29:37
Colorado (Pac-12),12,5-7,355:30,29:37
Arizona St. (Pac-12),13,7-6,383:44,29:31
Toledo (MAC),13,7-6,382:40,29:26
Western Ky. (C-USA),12,3-9,352:45,29:23
Fla. Atlantic (C-USA),12,5-7,352:42,29:23
Old Dominion (C-USA),12,4-8,352:22,29:21
Bowling Green (MAC),12,3-9,351:46,29:18
Hawaii (Mountain West),14,8-6,410:10,29:17
Nevada (Mountain West),13,8-5,380:18,29:15
